Sample_ID,ruralurban,Methanobacteria,Thermoplasmata,Actinobacteria,Coriobacteriia,Bacteroidia,Cytophagia,Flavobacteriia,Sphingobacteriia,X4C0d_2,Chloroplast,Bacilli,Clostridia,Erysipelotrichi,Fusobacteriia,X_Lentisphaeria_,Phycisphaerae,Planctomycetia,Alphaproteobacteria,Betaproteobacteria,Deltaproteobacteria,Epsilonproteobacteria,Gammaproteobacteria,Synergistia,TM7_3,Mollicutes,RF3,Verrucomicrobiae,Deinococci
086A,urban,0,0,2.63314372253193,1.27557872065587,5.62024568338016,0,1.27557872065587,0,0,1.73707192051837,3.1273058947835,5.7388616332539,3.56590579564194,2.03410542269582,0,0,0,0,4.05541590435984,0,1.27557872065587,4.24626234682069,0,0,1.27557872065587,0,2.10047827061575,0
116A,urban,0,0,3.46242496161028,2.87026321193694,5.67261702773368,0,0,0,0,1.42395715085162,2.86272034571767,5.6803973018657,3.64542369743036,3.94135514406839,0,0,0,0,1.59455999133837,4.17742348687063,1.13898813086571,4.24709609799823,1.8119675133277,0,0,0,0,0
099A,urban,0,0,3.57530624221762,1.87557728253727,5.60996050958349,0,0,0,0,0,3.03894395540287,5.55296061275853,3.21244375163329,5.34269587547639,0,0,0,0,2.44534631094123,1.75256218504439,1.75256218504439,3.91120067872037,1.97132900892688,1.87557728253727,1.29053079495106,0,0,0
120A,urban,0,0,2.8070712946667,2.8070712946667,5.68237279005036,0,0,0,0,0,2.53729457457356,5.66136671394942,3.34609384896923,4.20562988025891,0,0,0,1.22056399664827,4.48142577943097,3.64086705093777,0,3.74878161770159,1.22056399664827,0,0,0,1.22056399664827,0
15A,rural,0,0,3.47347037586268,2.553123935026,5.66095090016491,0,0,0,0,1.79549024498158,3.20704998676257,5.69632101924672,3.18321559586312,0,1.12348532344924,0,0,3.38635264046915,4.22846860292851,3.0630126544193,1.40785933224355,4.20746976914749,0,0,3.24509210345424,0,0,0
25A,rural,0,0,3.55784280819994,2.07007253118277,5.66084278314688,0,0,1.38563979699679,0,2.14863736861859,2.54472288467047,5.6634643920836,3.58761123225714,0,0,0,0,0,4.81995052047967,3.11591159960808,1.38563979699679,3.76191770967212,0,0,0,0,0,0
7A,rural,0,0,2.82562584303495,2.00537856061899,5.37711905024254,0,0,0,0,0,4.57278819206578,5.84846276964302,3.84760400404848,0,0,0,0,0,3.93393018275434,2.32762613692961,0,3.35021523309908,0,1.36692559695798,0,0,0,0
21A,rural,2.5818587953521,0,3.28751112792682,3.23701338272016,5.68685164153016,0,0,0,1.36923780881655,0,2.65226922128665,5.6749657814999,3.44384895447895,1.53909836740791,1.8338069697824,0,0,0,4.31171323135018,3.33499911940506,0,3.45763235482777,1.95715087593201,0,3.88244499942328,0,1.08638088245516,0
1A,rural,0,0,3.96261374881255,3.38619488199628,5.19681977927839,0,0,0,0,1.23865148325115,5.35874283234841,5.73083128333594,3.23011917291762,2.55646039023981,0,0,0,0,3.20873394021564,3.52259065875023,1.23865148325115,4.69997713828596,1.99539293893391,1.23865148325115,3.83302994686992,0,2.70504915187551,0
081A,urban,0,0,2.46436018725923,2.25142803388149,5.64653298238191,0,0,0,0,1.91191661364056,2.88026469918642,5.7226340021572,3.56373876392689,1.23371963585335,0,0,0,1.23371963585335,4.2664233044085,0,1.23371963585335,3.71553378949043,2.28901369737357,0,0,0,0,0
3A,rural,0,0,2.92547739820382,3.51460559759718,5.69906336437658,0,0,0,0,1.06631203006658,3.30170911907748,5.65918482181264,4.52469176350256,1.34829034463487,0,0,0,0,3.04891191659541,2.28486659349526,0,3.3242055100411,0,0,2.79887706064446,0,0,0
6A,rural,0,0,2.23898261497968,2.17245311900516,5.64810310366911,0,0,0,0,0,2.75386632110249,5.69098948237694,3.56467697561458,1.12425603086172,0,0,0,0,4.52572181264264,3.7937035819711,0,4.30175159416815,0,0,0,0,0,0
18A,rural,0,0,2.70698508842863,3.09593180156622,5.67004210481978,2.29615266392007,2.42054205410625,0,1.52884489225776,1.52884489225776,3.23205778718459,5.68013873574834,3.58409888077076,3.60932831618577,0,1.52884489225776,0,2.36278562640164,4.45433482799008,3.9120523745804,1.52884489225776,3.40806419705173,1.24047950387725,0,0,0,3.30840507905906,1.24047950387725
082A,urban,0,0,2.28482393112593,2.49782629664607,5.63055110749153,0,0,0,0,1.26540613087769,3.00502884326427,5.72648180306788,3.99708992204985,0,0,0,0,1.55448775625682,4.42559512852075,0,0,3.13911380969918,0,0,0,0,2.82161033211233,0
37A,rural,3.31677049396297,0,2.9368523384052,3.05437263864915,5.65268803799165,0,0,0,0,1.30519552902467,4.95579400121345,5.55704214080402,4.05842149466053,2.68198145866549,0,0,0,0,3.21789875843873,2.91713164069323,1.30519552902467,4.90504563527586,0,0,2.84006787322584,1.76773645582343,0,0
28A,rural,0,0,2.53875014326487,2.36328649489484,5.84457504259662,0,0,0,0,0,2.14269025225433,5.44137923079904,3.8679648316238,0,0,0,0,0,4.07070780213995,3.10992627037457,0,2.94168152608137,0,0,3.40296537368336,0,0,0
