Sample_ID,ruralurban,Methanobacteriaceae,X_Methanomassiliicoccaceae_,Actinomycetaceae,Cellulomonadaceae,Corynebacteriaceae,Dermabacteraceae,Microbacteriaceae,Micrococcaceae,Promicromonosporaceae,Bifidobacteriaceae,Coriobacteriaceae,Bacteroidaceae,Porphyromonadaceae,Prevotellaceae,Rikenellaceae,S24_7,X_Barnesiellaceae_,X_Odoribacteraceae_,X_Paraprevotellaceae_,Cytophagaceae,Cryomorphaceae,Flavobacteriaceae,X_Weeksellaceae_,Sphingobacteriaceae,Bacillaceae,Paenibacillaceae,Planococcaceae,Staphylococcaceae,Gemellaceae,Aerococcaceae,Carnobacteriaceae,Enterococcaceae,Lactobacillaceae,Leuconostocaceae,Streptococcaceae,Turicibacteraceae,Christensenellaceae,Clostridiaceae,Dehalobacteriaceae,EtOH8,Eubacteriaceae,Lachnospiraceae,Peptococcaceae,Peptostreptococcaceae,Ruminococcaceae,Veillonellaceae,X_Acidaminobacteraceae_,X_Mogibacteriaceae_,X_Tissierellaceae_,Erysipelotrichaceae,Fusobacteriaceae,Leptotrichiaceae,Victivallaceae,Phycisphaeraceae,Planctomycetaceae,Caulobacteraceae,Aurantimonadaceae,Brucellaceae,Methylobacteriaceae,Methylocystaceae,Rhizobiaceae,Rhodobacteraceae,mitochondria,Sphingomonadaceae,Alcaligenaceae,Burkholderiaceae,Comamonadaceae,Oxalobacteraceae,Neisseriaceae,Rhodocyclaceae,Desulfovibrionaceae,Campylobacteraceae,Aeromonadaceae,Succinivibrionaceae,Alteromonadaceae,Shewanellaceae,Cardiobacteriaceae,Enterobacteriaceae,Coxiellaceae,Francisellaceae,Alcanivoracaceae,Halomonadaceae,Pasteurellaceae,Moraxellaceae,Pseudomonadaceae,Pseudoalteromonadaceae,Vibrionaceae,Xanthomonadaceae,Dethiosulfovibrionaceae,Synergistaceae,Rs_045,Mycoplasmataceae,Verrucomicrobiaceae,Thermaceae
086A,urban,0,0,1.97141655811925,0,0,0,0,0,0,2.54776887045716,1.29061475682973,5.62818828809074,3.37517628540087,3.70561932142518,2.2246226458989,0,1.8756645985658,1.8756645985658,1.75264911521419,0,1.29061475682973,0,0,0,0,0,0,0,1.75264911521419,0,2.3113018069171,1.29061475682973,0,1.29061475682973,2.84818327378418,2.5911173758086,1.58037899860948,4.59187090600054,0,0,0,5.45076971623066,0,1.29061475682973,5.31240347219026,3.66232940715376,0,1.29061475682973,1.29061475682973,3.58176421428422,2.04982404942649,0,0,0,0,0,0,0,0,0,0,0,0,0,4.06990944263741,0,0,0,0,0,0,1.29061475682973,0,0,0,0,0,4.00102380547421,0,0,0,0,3.91717062786711,0,0,0,0,0,0,0,0,0,2.11621731187068,0
116A,urban,0,0,1.72502477176131,0,1.4320988094906,0,0,0,0,3.45924978992276,2.87870923301028,5.66000233713942,4.15176514560424,2.07263883584372,3.15243898450856,1.82029567199929,0,3.8382253520841,1.72502477176131,0,0,0,0,0,0,0,0,0,0,0,0,0,2.34711283068327,1.14683685080172,2.65972646172295,1.72502477176131,2.43851107099919,3.11504000185692,0,0,2.64716529620376,5.49733733398809,0,1.14683685080172,4.93240927286308,4.82236850492546,0,2.69536694975858,1.14683685080172,3.65387911513295,3.94981149803689,0,0,0,0,0,0,0,0,0,0,0,0,0,1.60280421685815,0,0,0,0,0,4.18588024282334,1.14683685080172,0,0,0,1.89838072922782,0,4.25145155230474,0,0,0,1.89838072922782,1.14683685080172,0,0,0,0,0,1.82029567199929,0,0,0,0,0
099A,urban,0,0,2.061054458208,0,1.30137176028616,0,0,1.88684579985756,0,3.56253350960415,1.88684579985756,5.6197964072743,0,2.18504882529761,3.09900318407234,1.76378153837648,1.30137176028616,0,1.59141513130862,0,0,0,0,0,0,0,0,0,1.76378153837648,0,1.88684579985756,0,2.3601936568355,0,2.87076316543418,1.30137176028616,0,3.18248872241819,0,0,0,5.36891437602704,0,1.59141513130862,4.83506013287927,4.56129405008236,0,0,0,3.22385547080754,5.35411445343759,0,0,0,0,0,0,0,0,0,0,0,0,0,2.235886101015,0,0,1.30137176028616,1.98262723201943,0,1.76378153837648,1.76378153837648,0,0,0,1.59141513130862,1.30137176028616,3.80938040944906,0,0,0,1.30137176028616,3.2661204664949,0,0,0,0,0,1.88684579985756,1.30137176028616,0,0,0,0
120A,urban,0,0,1.69149822943467,0,0,0,0,0,0,2.78594434935605,2.81889258550322,5.63803472355132,4.37130531429896,2.91354966809021,4.41685340343708,1.90979786938121,3.62052663287555,3.72535895842331,0,0,0,0,0,0,0,0,0,0,1.23170007958589,0,0,0,0,1.8142221736862,2.35350585543259,1.69149822943467,2.20814686849635,3.91307245127374,0,0,1.23170007958589,5.10718330357782,2.20814686849635,1.23170007958589,5.46147053285284,4.2388980294423,0,2.52895519860832,2.16268808505337,3.35792808787036,4.21746865596259,0,0,0,0,0,0,0,0,0,0,0,0,0,4.48353081422392,0,0,2.71144401400738,0,1.51980295575988,3.65270388377363,0,2.43748702150611,0,0,1.23170007958589,0,3.6304325744527,0,0,0,1.8142221736862,3.05708853344583,0,0,0,0,0,1.23170007958589,0,0,0,1.23170007958589,0
15A,rural,0,0,1.14496638645895,0,0,0,0,1.14496638645895,0,3.49304303443607,2.57624397879594,5.28307355618873,3.66666881879362,2.54529508726738,3.76597917656816,0,3.54578511960097,3.51422568804208,5.43728488910386,0,0,0,0,0,0,0,0,0,0,0,1.60084017800431,0,2.11602972429112,1.72304837364322,3.14642608032852,1.89639181531193,2.89857094475017,3.76112751017507,1.14496638645895,0,0,5.24389618344049,2.41539417216293,0,5.42858025117523,4.36337494738474,0,2.61888792393103,1.14496638645895,3.20638400848059,0,0,1.14496638645895,0,0,0,0,0,0,0,0,0,0,0,4.24561665718348,0,0,2.15712005729379,0,0,3.08617634583191,1.43015903116596,0,0,0,0,0,4.02282397016113,0,0,0,1.14496638645895,3.80998883057382,0,0,0,0,0,0,0,0,0,0,0
25A,rural,0,0,1.87606171698492,0,1.41034396737062,0,0,0,0,3.57221768184054,2.09559338883761,5.68162047824249,3.60274785234256,1.87606171698492,3.14162600545405,0,0,0,1.70284952822133,0,0,0,0,1.41034396737062,0,0,0,1.41034396737062,1.41034396737062,0,1.99955372933275,0,0,0,2.09559338883761,1.99955372933275,0,4.17419044203664,0,0,0,5.43491333685734,0,1.70284952822133,5.08588680431712,4.27794268735418,0,1.87606171698492,1.70284952822133,3.61333831374077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.84461003882909,0,0,0,0,0,3.14162600545405,1.41034396737062,0,0,0,0,0,3.75303660317374,0,0,0,1.41034396737062,2.62460537985684,0,0,0,0,1.41034396737062,0,0,0,0,0,0
7A,rural,0,0,2.57839907614059,0,0,0,0,1.37833236692632,0,2.45819187949031,2.01717434594182,5.3698143523885,2.77546935347653,3.10440169743482,2.5913303305397,0,3.01340090262684,2.42211117749929,3.8483793822831,0,0,0,0,0,0,0,1.09510644948897,0,1.96654332936227,0,1.76522870797425,0,3.08440069180455,0,4.56660474346646,2.29141180585264,1.09510644948897,4.08366887142928,0,0,0,5.39908377282154,0,1.37833236692632,5.63453768248197,3.52721343465989,0,1.76522870797425,1.37833236692632,3.85951418953568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.93673428526213,0,0,0,2.14106818835523,0,2.33948272780888,0,0,0,0,0,0,3.12352198807238,0,0,0,1.37833236692632,2.97827199841955,0,0,0,0,0,0,0,0,0,0,0
21A,rural,2.62463216106473,0,1.58079704140179,0,0,0,0,0,0,3.32277678383952,3.27987004163463,5.45990719020134,3.95489698500535,5.32006144748111,4.26533111586999,0,0,4.07533285864043,1.87608820481023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1259015652815,2.62463216106473,1.79806080795342,3.01162239630115,4.51799459320048,1.79806080795342,0,0,5.00386895404109,2.13669579781389,1.1259015652815,5.45364288007936,3.84423188993391,0,2.7556421018632,1.4103697687629,3.48671457776556,1.58079704140179,0,1.87608820481023,0,0,0,0,0,0,0,0,0,0,0,4.34596329126188,1.1259015652815,0,2.63719183745511,0,0,3.37786055700623,0,0,0,0,1.4103697687629,0,3.29916528414309,0,0,0,1.70287584103685,3.04190580449575,0,0,0,0,0,0,1.99958030553889,0,0,1.1259015652815,0
1A,rural,0,0,2.90102279181235,0,2.41548203909093,0,0,1.94168484683782,0,3.93325148305619,3.41107400301522,4.19535414382964,3.80481360288883,4.98637673383393,3.50736715018745,4.61540012744046,2.0200374594275,2.54000347326757,3.43653522090971,0,0,0,0,0,1.2621420178069,0,2.38563797136822,0,2.08639139854048,1.2621420178069,2.92842764347181,1.5511322410769,5.0306049518842,0,5.12483312018776,1.2621420178069,3.63575964662908,4.25810441301391,1.2621420178069,0,0,5.27279082083702,3.36823898126301,2.0200374594275,5.40973965909241,4.675954125374,0,3.13013572740276,2.0200374594275,3.25499399496989,2.58128227904651,0,0,0,0,0,0,0,0,0,0,0,0,0,3.22920151250939,0,0,0,0,0,3.54747245917981,1.2621420178069,0,3.71347436143108,0,1.2621420178069,0,4.63722983325534,0,0,0,1.5511322410769,3.65111591088309,0,0,0,0,0,2.0200374594275,0,1.2621420178069,0,2.72989050521286,0
081A,urban,0,0,0,0,1.26820013163494,0,1.55735943602223,1.55735943602223,0,2.35996854844033,2.28776245392008,5.39659869721851,4.20128066430762,5.31446070553229,3.93348462378409,0,0,3.29742260147556,1.7294205830536,0,0,0,0,0,0,0,0,0,1.85233015203183,0,0,0,1.26820013163494,0,2.80111473422234,2.02638271799081,1.94801809796005,3.45110474957951,0,0,0,5.32515028494256,0,1.55735943602223,5.3770587162899,4.53238711676983,0,1.7294205830536,0,3.60026003974975,1.26820013163494,0,0,0,0,0,0,0,0,0,0,0,1.26820013163494,0,4.30105170984523,0,0,0,0,0,0,1.26820013163494,0,1.26820013163494,0,1.85233015203183,0,3.70660849516781,0,0,0,1.7294205830536,2.60692794389492,1.26820013163494,0,0,0,0,2.32536440523921,0,0,0,0,0
