Sample_ID,ruralurban,Methanobrevibacter,Methanosphaera,vadinCA11,Actinomyces,Mobiluncus,Cellulomonas,Corynebacterium,Clavibacter,Kocuria,Rothia,Cellulosimicrobium,Alloscardovia,Bifidobacterium,Gardnerella,Scardovia,Adlercreutzia,Atopobium,Collinsella,Eggerthella,Slackia,X5_7N15,Bacteroides,Parabacteroides,Porphyromonas,Prevotella,Alistipes,Butyricimonas,Odoribacter,CF231,Paraprevotella,X_Prevotella_,Hymenobacter,Owenweeksia,Maribacter,Polaribacter,Tenacibaculum,Cloacibacterium,Anoxybacillus,Bacillus,Geobacillus,Paenibacillus,Macrococcus,Staphylococcus,Aerococcus,Alloiococcus,Granulicatella,Enterococcus,Melissococcus,Vagococcus,Lactobacillus,Leuconostoc,Weissella,Lactococcus,Streptococcus,Turicibacter,Christensenella,X02d06,Caloramator,Clostridium,SMB53,Sarcina,Dehalobacterium,Anaerofustis,Pseudoramibacter_Eubacterium,Anaerostipes,Blautia,Clostridium_1,Coprococcus,Dorea,Epulopiscium,Lachnobacterium,Lachnospira,Moryella,Oribacterium,Roseburia,Ruminococcus,Shuttleworthia,X_Ruminococcus_,Peptococcus,rc4_4,Peptostreptococcus,X_Clostridium_,Anaerotruncus,Butyricicoccus,Clostridium_2,Faecalibacterium,Oscillospira,Ruminococcus_1,Acidaminococcus,Dialister,Megamonas,Megasphaera,Phascolarctobacterium,Schwartzia,Selenomonas,Veillonella,WH1_8,Mogibacterium,X1_68,Anaerococcus,Finegoldia,Parvimonas,Peptoniphilus,WAL_1855D,Bulleidia,Catenibacterium,Coprobacillus,Holdemania,Sharpea,X_Eubacterium_,cc_115,p_75_a5,Cetobacterium,Fusobacterium,Leptotrichia,Sneathia,Victivallis,Planctomyces,Martelella,Ochrobactrum,Methylopila,Agrobacterium,Paracoccus,Carludovica,Lupinus,Oenothera,Spirodela,Zea,Novosphingobium,Sphingomonas,Oligella,Sutterella,Lautropia,Comamonas,Janthinobacterium,Oxalobacter,Eikenella,Microvirgula,Neisseria,Bilophila,Desulfovibrio,Arcobacter,Campylobacter,Succinatimonas,Succinivibrio,BD2_13,Shewanella,Cardiobacterium,Aquamonas,Citrobacter,Enterobacter,Erwinia,Escherichia,Klebsiella,Leminorella,Morganella,Pantoea,Plesiomonas,Proteus,Raoultella,Salmonella,Serratia,Shigella,Trabulsiella,Xenorhabdus,Rickettsiella,Francisella,Alcanivorax,Halomonas,Actinobacillus,Aggregatibacter,Haemophilus,Acinetobacter,Perlucidibaca,Psychrobacter,Pseudomonas,Pseudoalteromonas,Aliivibrio,Enterovibrio,Listonella,Photobacterium,Vibrio,Lysobacter,Stenotrophomonas,Pyramidobacter,TG5,Cloacibacillus,Synergistes,Mycoplasma,Akkermansia,Rubritalea,Thermus
086A,urban,0,0,0,2.13951716184996,0,0,0,0,0,0,0,0,2.71697371451195,0,0,0,1.45296661468305,0,0,0,0,5.79779074192616,3.54471988073776,0,3.8751944502291,0,1.45296661468305,1.91976314248308,0,0,1.91976314248308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.48021842546837,1.45296661468305,0,0,0,0,1.45296661468305,0,3.01758685133766,2.76036003745195,0,3.46691800453182,0,4.29353253303094,3.46691800453182,3.21580155655508,0,0,0,0,4.31936178442365,0,3.73849530116944,3.98765903197504,0,1.45296661468305,4.56515033181794,0,0,5.16297395173518,0,0,3.77391882664081,0,0,0,0,0,0,0,4.78608729287379,3.09095088781124,2.9693312347521,0,2.78052914528312,0,0,2.61453353383073,0,0,3.75552559034639,0,0,0,0,0,1.45296661468305,0,0,2.13951716184996,0,0,0,1.45296661468305,2.51788718974553,0,0,0,2.21817314284714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.23950027378914,0,0,0,0,0,0,0,0,0,0,1.45296661468305,0,0,0,0,0,0,1.74627616765273,1.74627616765273,2.9563803807541,2.51788718974553,2.34245440350187,0,0,3.69992376210847,2.28474435382111,0,0,1.74627616765273,1.45296661468305,0,0,1.74627616765273,0,0,0,0,0,2.48021842546837,4.06067305430799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.28474435382111,0,0
116A,urban,0,0,0,1.82831886616152,0,0,1.53369006343594,0,0,0,0,0,3.5623035985916,0,1.2451861754487,0,0,0,2.98364111285776,0,0,5.76505740882676,4.25681384203363,0,2.17690397039795,3.24531472579731,3.94326708444855,0,0,0,1.82831886616152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.45174830342856,1.2451861754487,0,2.12611253324255,2.65209435010826,1.82831886616152,1.53369006343594,0,0,1.2451861754487,2.33571470679689,0,0,1.2451861754487,2.7390685653022,1.53369006343594,5.12507523793251,0,3.51436103499067,4.37693459255501,1.82831886616152,1.2451861754487,3.07745791916059,0,1.2451861754487,2.58262666534973,0,0,4.36341996424218,0,0,0,1.2451861754487,0,0,1.2451861754487,1.92393724031693,4.04846066186528,4.82679426937997,0,1.2451861754487,0,1.2451861754487,4.9252031254211,0,0,1.70552436086507,0,1.2451861754487,0,0,0,1.2451861754487,0,0,0,0,2.00225525469515,0,0,3.45291112103731,0,0,0,4.05485629915535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.70552436086507,0,0,0,0,0,0,0,4.29092943630969,0,0,1.2451861754487,0,0,0,1.82831886616152,0,0,0,0,0,2.49989140092433,0,0,0,1.2451861754487,0,0,0,0,0,1.82831886616152,0,0,0,0,0,2.00225525469515,0,0,1.2451861754487,0,0,0,0,0,0,0,0,0,0,0,0,1.92393724031693,0,0,0,0,0,0,0
099A,urban,0,0,0,2.15934052569605,0,0,1.39598026740015,0,0,1.98475124123298,0,0,3.62131157927607,0,0,0,1.39598026740015,0,0,0,0,5.71885250129607,0,0,2.28352632258163,0,0,0,0,1.68819625181337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.98475124123298,0,0,0,2.45886333426974,0,0,0,2.96970018548634,1.39598026740015,0,0,0,3.25347325969053,0,0,0,0,0,0,4.52244546812597,0,3.82694066801956,4.1024798241031,2.08076069296477,0,4.39937626616786,0,1.68819625181337,4.02948824672994,0,0,4.09169536009181,0,0,1.68819625181337,0,1.86130930264948,0,0,4.19443870848698,3.22352734142305,4.21388676442624,0,4.58473699576502,2.08076069296477,3.53665838211637,2.3344275747579,0,0,3.54855419406897,0,0,0,0,0,0,0,0,1.86130930264948,0,0,2.42121200673299,1.98475124123298,2.85589651360151,0,0,0,5.45317036812283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3344275747579,0,0,0,1.39598026740015,0,0,2.08076069296477,1.39598026740015,1.68819625181337,0,1.86130930264948,0,0,0,1.68819625181337,1.39598026740015,0,0,0,1.68819625181337,1.68819625181337,0,0,1.68819625181337,1.86130930264948,0,0,0,0,0,0,0,0,0,0,0,1.39598026740015,1.39598026740015,2.37998394437719,3.30266532340279,0,0,0,0,0,0,0,0,0,0,0,0,1.98475124123298,0,0,0,0,0,0,0
120A,urban,0,0,0,1.85483158102093,0,0,0,0,0,0,0,0,2.91619594578259,1.38967733161124,0,1.38967733161124,1.38967733161124,2.92841577055376,1.68176312920949,0,0,5.80418603850979,4.53745107516671,0,3.07953279733792,1.38967733161124,1.38967733161124,3.89017072083371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85483158102093,1.38967733161124,2.21932776870168,2.21932776870168,1.85483158102093,0,1.85483158102093,0,4.03722170654677,1.97825098738679,1.85483158102093,0,1.38967733161124,0,3.67488872968528,4.31362999868597,0,3.90313405311324,3.33558926228267,1.38967733161124,1.38967733161124,4.3339903152055,0,0,4.01410741502687,0,0,3.25833122405018,0,0,0,0,1.38967733161124,0,0,5.05103260946694,3.84733376758713,4.062719934438,0,3.05322645922921,2.21932776870168,1.85483158102093,4.3750796945578,0,0,2.45231754242617,0,1.38967733161124,0,0,0,2.21932776870168,0,1.68176312920949,0,0,0,2.86355755515899,0,2.21932776870168,0,0,0,4.38361192086838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.64967791222956,0,0,0,2.83463486435916,0,0,0,3.59182011765292,3.42866758437868,0,0,0,0,0,1.38967733161124,0,0,0,0,1.68176312920949,1.85483158102093,1.97825098738679,0,0,2.95186991208099,0,0,0,1.97825098738679,1.68176312920949,0,0,0,0,0,0,1.97825098738679,1.85483158102093,1.68176312920949,3.17806913510584,0,0,0,0,0,0,0,0,0,0,0,0,1.38967733161124,0,0,0,0,1.38967733161124,0,0
15A,rural,0,0,0,0,0,0,0,0,0,1.24957260760022,0,0,3.58435998177888,0,0,1.24957260760022,1.24957260760022,2.58726404945405,0,1.24957260760022,0,5.39479222092089,3.77836677385189,0,2.65673352149569,0,3.47740911866467,3.08808896419344,0,0,5.54900370726145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.71008271828673,0,0,0,2.22699413597176,0,1.53820418830649,0,3.25807493916895,2.00685872009702,1.24957260760022,1.92853161284341,0,3.54881660212046,2.22699413597176,0,1.24957260760022,0,0,2.93248920267058,4.36336414670251,0,3.92861310289533,3.75211815629495,0,2.18152267083987,4.12915919824074,0,0,4.65787073657163,0,0,3.44987484167609,0,0,0,0,0,0,0,4.83560979683893,3.65264283602434,5.13764542909364,0,0,4.02172024831863,0,4.27326463015562,0,0,2.76921893374119,0,0,0,0,0,0,1.24957260760022,0,0,0,0,1.71008271828673,0,1.24957260760022,0,0,0,0,0,0,1.24957260760022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.35733023958278,0,0,1.24957260760022,2.0731943804643,0,0,0,3.00299416998828,1.24957260760022,0,1.53820418830649,0,0,0,0,0,0,0,1.24957260760022,2.64037992320913,2.0731943804643,1.92853161284341,0,0,3.59187847900088,0,1.24957260760022,0,1.24957260760022,1.71008271828673,0,1.24957260760022,0,0,0,0,1.24957260760022,1.92853161284341,2.43014738969206,3.88343304144238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25A,rural,0,0,0,2.00017072499022,0,0,1.53164629512864,0,0,0,0,0,3.69775044820017,0,0,0,0,0,2.12402279375519,0,0,5.80718221781563,3.72828260099791,0,2.00017072499022,0,0,0,0,1.53164629512864,1.53164629512864,0,0,0,0,0,0,0,0,0,0,0,1.53164629512864,0,0,2.12402279375519,0,0,0,0,0,0,0,2.22027949853752,2.12402279375519,0,3.20915085985846,0,3.58698467394217,3.110088178304,2.66575306777412,0,0,0,3.110088178304,4.25749095270679,1.82624467847908,4.08574840470334,4.45672065948916,2.22027949853752,1.82624467847908,4.62352512657659,0,0,4.81491932699636,0,0,4.33361971563879,0,0,0,0,1.53164629512864,0,0,4.20534972578128,4.01148907571158,3.15246067210683,0,0,0,0,4.40293233222248,0,0,1.53164629512864,0,1.53164629512864,0,0,0,1.82624467847908,0,0,1.53164629512864,0,0,2.47438813464508,0,3.03759878890451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53164629512864,4.97001685090373,0,0,0,0,0,0,0,3.26710926705425,0,0,1.53164629512864,0,0,0,0,0,0,0,0,1.53164629512864,1.82624467847908,0,0,0,1.82624467847908,0,0,0,0,1.53164629512864,1.53164629512864,0,0,0,0,0,1.53164629512864,0,0,2.74990845792359,0,0,0,0,0,0,0,0,0,0,1.53164629512864,0,0,0,0,0,0,0,0,0
7A,rural,0,0,0,2.81592824998787,1.33087523882671,0,0,0,0,1.62164878109316,0,0,2.70890402708671,0,0,0,1.62164878109316,0,2.15823959534265,0,0,5.62119068840677,3.02652633909172,0,3.3556287563442,1.33087523882671,2.21585428007392,2.48762087329736,0,4.08393648471296,2.65350244923212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.01331660128504,0,0,0,3.33562067547222,0,0,1.33087523882671,4.81730183274703,2.54181226035548,0,2.92341645254136,0,3.71159915957277,2.63334498713293,2.70890402708671,0,0,0,3.61771502126352,4.86654326785679,0,4.37980045117499,3.92506306875839,0,2.15823959534265,4.72157382875044,0,0,4.51397600378075,0,0,4.02615847753917,0,0,1.33087523882671,0,0,0,0,5.22551666022995,3.26938925447013,4.94520060420971,0,0,0,0,3.66239126111703,0,0,3.1492714143237,0,1.79426668015296,0,0,0,1.62164878109316,0,0,2.09179531279521,0,0,2.21585428007392,1.33087523882671,2.21585428007392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.18808935774042,0,0,0,0,1.62164878109316,0,2.31223557476157,2.58998562500156,0,0,0,0,0,0,0,0,0,0,0,0,1.62164878109316,1.33087523882671,0,0,2.48762087329736,0,0,0,0,0,0,0,0,0,0,0,1.62164878109316,0,2.01331660128504,3.19120754899008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21A,rural,2.72527661956948,0,0,1.67928573104771,0,0,0,0,0,0,0,0,3.40266628063719,0,0,1.67928573104771,0,3.37214073117335,0,0,0,5.56076500088043,4.05574512242807,0,5.42091913957977,2.51652279726085,3.74815140918631,3.97334288782217,0,0,1.97574746778155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21997163283311,0,1.21997163283311,2.71233641556269,1.89748372581858,1.67928573104771,2.1503052327343,0,4.52985203696877,2.51652279726085,0,1.89748372581858,0,0,2.72527661956948,3.70092174428578,0,4.2410574986479,3.50274605376364,0,3.46728534994272,4.15252833982723,0,0,4.27900594510255,0,0,3.22262336250305,0,0,0,0,1.67928573104771,0,0,5.0315177040197,4.18732476181042,4.87204954360581,0,3.3071369148115,3.599628771847,0,3.16640340991038,0,0,3.12780154722014,0,1.21997163283311,1.21997163283311,0,0,0,0,1.21997163283311,0,1.21997163283311,0,2.67102794857169,0,2.37092327646508,0,0,0,1.67928573104771,0,0,1.97574746778155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.44681735623088,1.21997163283311,0,1.21997163283311,2.68523850568985,0,0,0,3.44110996970936,2.39883644238117,0,0,0,0,0,1.50771517806304,0,0,0,0,2.34109208137305,1.21997163283311,1.21997163283311,0,0,2.90951796016422,0,0,0,0,0,0,0,0,0,0,0,1.80194634474131,0,0,3.14268219526605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0995365917459,0,1.21997163283311,0,0
1A,rural,0,0,0,3.01378026182102,0,0,2.57781631883946,0,1.41750774117723,1.88341448072917,0,2.24813320063577,4.07913004664529,0,2.48119322828235,1.41750774117723,2.00693082028503,3.47990058183965,0,2.30581844712695,0,4.35820179439936,3.96764862743221,0,5.1492316440721,1.88341448072917,2.30581844712695,2.48119322828235,0,3.59658508796295,1.41750774117723,0,0,0,0,0,0,0,1.41750774117723,0,0,0,0,0,1.41750774117723,3.09112378899469,0,0,0,5.1934599978072,0,0,0,5.28751941669931,1.41750774117723,1.41750774117723,2.40229871525167,0,4.28539334595734,3.00306691456566,1.41750774117723,0,0,0,3.74307662926345,4.77072568080153,0,4.53476525545975,4.24507734764054,1.41750774117723,2.00693082028503,3.07304054943233,0,2.35673227491797,4.3295034980587,0,0,4.01445930185418,3.52780910569679,0,2.00693082028503,0,0,0,0,4.87275243881385,3.97696261862625,4.73584070604162,0,4.51151508733887,4.42343246323998,1.41750774117723,3.73510915275138,0,2.24813320063577,3.62598751804663,0,2.44353502405099,0,0,1.88341448072917,1.41750774117723,1.71015411574557,0,2.30581844712695,0,0,2.00693082028503,0,1.41750774117723,0,0,0,2.74378229220747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.39197770119787,0,0,0,0,0,0,0,2.72361621086385,3.66312090354821,0,1.41750774117723,0,3.87630440320215,0,1.41750774117723,0,0,1.88341448072917,1.41750774117723,3.26413479621943,2.24813320063577,2.18159500835511,1.41750774117723,4.57435586644736,3.95085245948999,0,0,2.44353502405099,2.10298515353925,2.00693082028503,0,1.71015411574557,1.41750774117723,0,0,0,1.71015411574557,1.41750774117723,0,3.77171680191422,0,0,0,0,0,0,0,0,0,0,0,0,2.18159500835511,0,0,0,0,2.89249379726611,0,0
081A,urban,0,0,0,0,0,0,1.42660265281746,1.7194244223613,0,1.7194244223613,0,0,2.52526909167824,0,0,2.112363982466,1.42660265281746,0,1.89274476544776,0,0,5.56250107009841,4.36525333813552,2.01629138605086,5.48036296322139,2.19098605236757,0,3.46325600083765,0,0,1.89274476544776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42660265281746,0,0,0,2.96679962130833,2.19098605236757,0,1.42660265281746,0,3.15069783182801,2.79094269744814,0,0,0,0,3.85413363525714,4.13515440758173,0,4.24574330539777,3.4965263620667,0,4.07376564275159,4.36621518963154,0,0,4.63197380512027,0,0,3.42302929260794,0,0,0,0,2.45295394830966,0,0,4.78624702538555,4.09401017896466,4.40259877507991,0,4.68280667237566,0,0,0,0,0,3.2427853669112,0,0,0,0,0,0,0,0,1.42660265281746,1.42660265281746,0,2.25753298920883,0,1.7194244223613,0,0,0,1.42660265281746,0,0,0,0,0,0,0,0,0,0,1.42660265281746,0,0,0,0,0,0,4.46694774167547,0,0,0,0,0,0,0,0,0,0,1.42660265281746,0,1.42660265281746,0,2.01629138605086,0,0,0,0,2.01629138605086,1.7194244223613,0,0,0,2.31522480481549,0,0,0,0,0,0,0,0,0,0,0,1.89274476544776,0,1.89274476544776,2.71190199184975,0,0,1.42660265281746,0,0,0,0,0,0,0,0,0,2.49061494967354,0,0,0,0,0,0,0
