Sample_ID,ruralurban,Methanobacteriales,E2,Actinomycetales,Bifidobacteriales,Coriobacteriales,Bacteroidales,Cytophagales,Flavobacteriales,Sphingobacteriales,YS2,Cryptophyta,Streptophyta,Bacillales,Gemellales,Lactobacillales,Turicibacterales,Clostridiales,SHA_98,Erysipelotrichales,Fusobacteriales,Victivallales,Phycisphaerales,Planctomycetales,Caulobacterales,RF32,Rhizobiales,Rhodobacterales,Rickettsiales,Sphingomonadales,Burkholderiales,Neisseriales,Rhodocyclales,Desulfovibrionales,Campylobacterales,Aeromonadales,Alteromonadales,Cardiobacteriales,Enterobacteriales,Legionellales,Oceanospirillales,Pasteurellales,Pseudomonadales,Vibrionales,Xanthomonadales,Synergistales,I025,Mycoplasmatales,RF39,ML615J_28,Verrucomicrobiales,Thermales
086A,urban,0,0,1.95572642290498,2.53195198526077,1.27557872065587,5.62024568338016,0,1.27557872065587,0,0,0,1.73707192051837,0,1.73707192051837,2.95996722795033,2.57529614336238,5.7388616332539,0,3.56590579564194,2.03410542269582,0,0,0,0,0,0,0,0,0,4.05541590435984,0,0,0,1.27557872065587,0,0,0,3.98516276642762,0,0,3.90130993209524,0,0,0,0,0,0,1.27557872065587,0,2.10047827061575,0
116A,urban,0,0,1.89003131954423,3.45079544362406,2.87026321193694,5.67261702773368,0,0,0,0,0,1.42395715085162,0,0,2.83116631957397,1.71672828754181,5.6803973018657,0,3.64542369743036,3.94135514406839,0,0,0,0,0,0,0,0,0,1.59455999133837,0,0,4.17742348687063,1.13898813086571,0,1.89003131954423,0,4.24299471834326,0,1.89003131954423,1.13898813086571,0,0,0,1.8119675133277,0,0,0,0,0,0
099A,urban,0,0,2.31124576521007,3.55115021722481,1.87560903173442,5.60999268721262,0,0,0,0,0,0,0,1.75259379392955,3.00851565449061,1.29056132446245,5.55299279037658,0,3.21247590961285,5.34272805303835,0,0,0,0,0,0,0,0,0,2.27006512724015,1.97136084291074,0,1.75259379392955,1.75259379392955,0,1.58032416196503,1.29056132446245,3.79799574742367,0,1.29056132446245,3.25474026634943,0,0,0,1.97136084291074,0,0,1.29056132446245,0,0,0
120A,urban,0,0,1.67994271733112,2.77416512279228,2.80711192851314,5.68241348726844,0,0,0,0,0,0,0,1.22060224498632,2.45046493848972,1.67994271733112,5.6614074111633,0,3.34613452792967,4.20567057502692,0,0,0,0,1.22060224498632,0,0,0,0,4.47967192688698,0,1.50836536613268,3.64090773893622,0,2.42573189157341,1.22060224498632,0,3.61863656963491,0,1.80260678372217,3.04530021474328,0,0,0,1.22060224498632,0,0,0,0,1.22060224498632,0
15A,rural,0,0,1.40785933224355,3.46986746814979,2.553123935026,5.66095090016491,0,0,0,0,0,1.79549024498158,0,0,3.18670164515223,1.87351078286081,5.69632101924672,0,3.18321559586312,0,1.12348532344924,0,0,0,3.38635264046915,0,0,0,0,4.22846860292851,0,0,3.0630126544193,1.40785933224355,0,0,0,3.99964301135474,0,1.12348532344924,3.78680930067419,0,0,0,0,0,0,3.24509210345424,0,0,0
25A,rural,0,0,1.97409550634585,3.54650135880733,2.07008256505702,5.66085290311877,0,0,1.38564950056692,0,0,2.1486474167442,1.38564950056692,1.38564950056692,2.32370940376269,1.97409550634585,5.6634525475322,0,3.58762134963557,0,0,0,0,0,0,0,0,0,0,4.81996064032047,0,0,3.11592171185275,1.38564950056692,0,0,0,3.72731786349617,0,1.38564950056692,2.59894485564844,0,0,1.38564950056692,0,0,0,0,0,0,0
7A,rural,0,0,2.5920299949145,2.4463461731749,2.0054025092642,5.37714323767798,0,0,0,0,0,0,1.08418586604248,1.95478581292946,4.56943576104963,2.27958574334282,5.84848695714567,0,3.84762818815004,0,0,0,0,0,0,0,0,0,0,3.92542278815171,2.12926760627664,0,2.32765021071601,0,0,0,0,3.11164338954212,0,1.36694874540179,2.96639700152839,0,0,0,0,0,0,0,0,0,0
21A,rural,2.5818587953521,0,1.53909836740791,3.27991789932854,3.23701338272016,5.68685164153016,0,0,0,1.36923780881655,0,0,0,0,2.5944154233815,1.75589738473251,5.67490408769144,1.8338069697824,3.44384895447895,1.53909836740791,1.8338069697824,0,0,0,0,0,0,0,0,4.31171323135018,0,0,3.33499911940506,0,0,1.36923780881655,0,3.25630759712855,0,1.66088790868625,2.99906640797589,0,0,0,1.95715087593201,0,0,3.88244499942328,0,1.08638088245516,0
1A,rural,0,0,3.03277694320027,3.90836540812547,3.38619488199628,5.19681977927839,0,0,0,0,0,1.23865148325115,2.39069137385647,2.06171223823123,5.35802840746042,1.23865148325115,5.73083128333594,0,3.23011917291762,2.55646039023981,0,0,0,0,0,0,0,0,0,3.20873394021564,0,0,3.52259065875023,1.23865148325115,3.68859025424195,1.23865148325115,0,4.61234136174247,0,1.52696266185289,3.62623256875491,0,0,0,1.99539293893391,1.23865148325115,0,3.83302994686992,0,2.70504915187551,0
081A,urban,0,0,1.91191661364056,2.32360404715041,2.25142803388149,5.64653298238191,0,0,0,0,0,1.91191661364056,0,1.81633443412985,2.77652317638573,1.99021037654409,5.7226340021572,0,3.56373876392689,1.23371963585335,0,0,0,0,0,0,0,1.23371963585335,0,4.2664233044085,0,0,0,1.23371963585335,1.23371963585335,1.81633443412985,0,3.67008514136299,0,1.69359977125763,2.57049130669404,1.23371963585335,0,0,2.28901369737357,0,0,0,0,0,0
