Sample_ID,ruralurban,Mollicutes,Bacilli,Flavobacteriia,Acidobacteria_Gp4,Deltaproteobacteria,Methanobacteria,Lentisphaeria,Thermoplasmata,Chloroplast,Phycisphaerae,Negativicutes,Synergistia,Fusobacteriia,Erysipelotrichia,Gammaproteobacteria,Clostridia,Bacteroidia,Epsilonproteobacteria,Cytophagia,Betaproteobacteria,Actinobacteria,Alphaproteobacteria,Opitutae,Deinococci,Verrucomicrobiae
25A,rural,0,2.33441660336033,1.44517889438807,0,3.23233930991813,0,0,0,1.97797230342523,0,4.46874003034218,0,0,3.66745066267351,3.8095897271011,5.65736581709828,5.63780725472338,1.15945726173628,0,4.81661859953634,3.50862705404368,0,0,0,0
35A,rural,0,2.44353366353941,0,0,3.11899073812683,1.26226268712139,1.8461406563059,0,0,0,4.22059632907384,0,3.14125062189669,3.54332249226921,5.03856785989255,5.41714167532142,5.77988827716202,0,0,3.54972316488913,2.44353366353941,0,0,0,1.26226268712139
091A,urban,0,2.72349204304859,0,0,1.59810502912118,0,0,0,1.8155488399131,0,3.9373059556187,0,3.1893486675098,3.76123978281711,3.16708705280609,5.74821676825509,5.61499682088504,0,0,3.89527161719382,2.77337678016849,0,0,0,3.131396836525
29A,rural,0,3.71854999757802,0,0,2.80007760062362,0,1.90177840384365,1.51193019230176,1.80622753700612,0,4.56020013515009,1.68354463427494,1.98005118361333,3.76911161898001,4.54836401510921,5.30454099971584,5.84797693407581,1.68354463427494,0,3.9711617347121,2.76627512875597,0,1.22406024481893,0,0
28A,rural,0,1.98426604812871,1.16537985806768,0,3.12619230899433,0,0,0,0,0,4.63268617164691,0,0,3.88288623243628,2.94804444799293,5.3803038364599,5.84107808080824,0,0,4.11604008648177,2.64078555850133,0,0,0,1.16537985806768
099A,urban,0,3.13552888998205,0,0,1.7625679000438,0,0,0,0,0,4.57864833848131,2.19709972338814,5.33695131504997,3.23237532347574,3.99246190571124,5.5494540732941,5.57190466075976,1.6401228835014,0,2.56908597822164,3.57956528815693,0,0,0,0
20A,rural,1.058957861341,3.598032052703,1.63160682214073,1.058957861341,4.25985636670776,0,0,0,1.34060344597632,0,5.04842730809486,0,2.82611184716384,3.37740025989416,4.19598083406488,5.45706702167391,5.73580488941053,1.058957861341,0,3.3005340606444,4.15919243282125,1.72648343060162,0,0,1.058957861341
084A,urban,0,2.30663122515197,0,0,1.6851538551259,0,0,0,0,0,4.31535174770242,2.07768026967652,2.6191464999232,3.53954160349032,4.97837470666798,5.72647391264616,5.5301272459774,0,0,3.88566486855344,2.66603598793255,0,0,0,2.22276944942828
086A,urban,0,2.93143215640992,1.62948390804588,0,1.33852909835666,0,0,0,1.50792960375518,0,3.79749598105996,0,1.80216415280704,3.71092089280909,4.31291750353331,5.75352263981324,5.58793359551763,1.05697427192408,0,4.08755225785175,2.74217235957121,0,0,0,2.06228124453373
15A,rural,0,3.18602927984145,0,0,2.99047246964234,0,0.910281928691909,0,1.70701703004297,0,4.43810696460321,0,0,3.27349491888906,4.23553020884461,5.66112098855834,5.67287892614981,1.18375845526015,0,4.24373768222393,3.51714071479252,2.99676031525006,0,0,0
