Sample_ID,ruralurban,Puniceicoccaceae,Micrococcaceae,Moraxellaceae,Paenibacillaceae_1,Actinomycetaceae,Methylocystaceae,Acidaminococcaceae,Cytophagaceae,Sphingomonadaceae,Dermabacteraceae,Methanobacteriaceae,Enterobacteriaceae,Campylobacteraceae,Aeromonadaceae,Ruminococcaceae,Bacillaceae_1,Vibrionaceae,Rhodospirillaceae,Pasteurellaceae,Rubritaleaceae,Bacteroidales_incertae_sedis,Porphyromonadaceae,Rhizobiaceae,Coxiellaceae,Corynebacteriaceae,Coriobacteriaceae,Francisellaceae,Verrucomicrobiaceae,Flavobacteriaceae,Bifidobacteriaceae,Victivallaceae,Rikenellaceae,Methylobacteriaceae,Burkholderiales_incertae_sedis,Streptococcaceae,Leptotrichiaceae,Oxalobacteraceae,Comamonadaceae,Fusobacteriaceae,Shewanellaceae,Desulfovibrionaceae,Neisseriaceae,Erythrobacteraceae,Peptococcaceae_1,Aerococcaceae,Thiotrichales_incertae_sedis,Leuconostocaceae,Clostridiaceae_1,Promicromonosporaceae,Prevotellaceae,Bacteroidaceae,Erysipelotrichaceae,Helicobacteraceae,Microbacteriaceae,Brevibacteriaceae,Pseudomonadaceae,Cardiobacteriaceae,Bdellovibrionaceae,Mycoplasmataceae,Carnobacteriaceae,Halomonadaceae,Clostridiales_Incertae_Sedis_XIII,Rhodobacteraceae,Enterococcaceae,Staphylococcaceae,Veillonellaceae,Chloroplast,Phycisphaeraceae,Aurantimonadaceae,Succinivibrionaceae,Lactobacillaceae,Lachnospiraceae,Clostridiales_Incertae_Sedis_XI,Alcaligenaceae,Thermaceae,Alcanivoracaceae,Synergistaceae,Caulobacteraceae,Pseudoalteromonadaceae,Brucellaceae,Sutterellaceae,Eubacteriaceae,Peptostreptococcaceae,Xanthomonadaceae,Bacillales_Incertae_Sedis_XI
25A,rural,0,0,0,0,1.76485627605202,0,4.48993698518575,0,0,0,0,3.77755467346872,1.18462799248788,0,5.02678680443983,0,0,0,2.60350966233689,0,0,3.91799918422421,0,0,1.18462799248788,2.11287262452389,0,0,1.47122612938058,3.49979785787811,0,3.37816648178213,0,0,1.86027106792575,0,0,0,0,0,3.24893473824615,0,0,0,1.18462799248788,0,0,3.76706573068002,0,2.77924006549316,5.62761600655322,3.69443204145237,0,0,0,0,0,0,0,1.76485627605202,1.47122612938058,1.18462799248788,0,0,0,2.06213852211296,2.00468395208394,0,0,0,0,5.52587505740735,1.76485627605202,1.18462799248788,0,0,0,0,0,0,4.82496336926365,1.47122612938058,3.26609327407366,1.18462799248788,1.64239819156278
35A,rural,0,0,1.27375385494112,0,1.27375385494112,0,4.11334961490288,0,0,0,1.27375385494112,5.04070454226091,0,1.27375385494112,4.94372519325435,0,0,0,2.85266342681915,0,0,3.64278911924982,0,0,1.56306604769962,2.29360056156941,0,1.27375385494112,0,1.56306604769962,1.85811640864459,3.1745632339516,0,0,1.85811640864459,0,0,1.27375385494112,3.1533884621453,1.73518004547857,3.11955492937732,0,0,0,0,0,0,2.25242871416753,0,5.76590760899548,4.36827662678529,3.55546555685707,0,0,0,0,0,0,0,1.27375385494112,1.95382055108814,0,0,2.03219601926431,0,3.47544793024622,0,0,0,0,0,5.20894191739511,0,0,0,0,0,0,0,0,3.53115451570558,0,2.74214210485045,1.73518004547857,1.27375385494112
091A,urban,0,0,0,0,1.85288340879481,0,2.38003924882061,0,0,0,0,3.14372350620317,0,0,5.11378046652186,0,0,0,1.75749422440038,0,0,2.72837235373197,0,0,0,1.99726680825417,0,3.16925978558812,0,2.65389090827334,0,3.49426842412125,0,0,1.75749422440038,0,2.15085567629158,0,3.22721496601223,0,1.63507842680244,0,0,0,0,0,1.75749422440038,2.15085567629158,0,3.15667930878156,5.63576360269448,3.79912325650713,0,0,0,0,0,0,0,1.17762980259403,1.46398949757097,0,0,0,0,3.96273677105903,1.85288340879481,0,0,0,2.40476224994795,5.61345753611278,1.93104780229916,0,0,0,0,0,0,0,1.93104780229916,0,2.15085567629158,0,0
29A,rural,1.24370791877932,1.24370791877932,0,0,1.70398775646182,0,3.11615397436978,0,0,0,0,4.48255418310452,1.70398775646182,1.24370791877932,5.08501675306339,0,0,0,3.14278638437387,0,0,3.50388782167083,0,0,0,2.65053030849437,0,0,0,2.00070333649073,1.92238840924297,3.14278638437387,0,0,3.48550812695151,0,1.70398775646182,2.12455673877573,2.00070333649073,1.24370791877932,2.69619068042196,1.70398775646182,0,0,0,0,2.33415441558869,2.39603397159534,0,5.84861269880136,3.95063679909949,3.78997365541782,0,0,0,0,1.24370791877932,0,0,2.00070333649073,1.82677464282288,1.82677464282288,0,2.29955994437991,0,4.56397192514829,1.82677464282288,0,0,3.5215211526558,2.17534687953703,4.81960901912385,1.24370791877932,0,0,0,1.70398775646182,0,0,0,3.88570384003826,1.53216847356389,2.56180986858746,0,1.53216847356389
28A,rural,0,0,0,0,1.19934146067349,0,4.63623642251763,0,0,0,0,2.69039304978178,0,0,5.03336625062781,0,0,0,2.60343969909524,0,0,3.45894500003177,0,0,0,2.31920779541175,0,1.19934146067349,0,2.37693935693802,0,3.38335958224831,0,0,1.95399878415026,0,0,0,0,0,3.15806593029275,0,0,0,0,0,0,3.3964759128418,0,5.84822562202128,4.05977109945034,3.91923262788586,0,0,0,0,0,0,0,0,1.48642814716734,1.48642814716734,0,0,0,2.76280740117298,0,0,0,0,0,5.0235983743242,1.48642814716734,0,0,0,0,0,0,0,3.78911097280492,0,2.91970312712126,0,0
099A,urban,0,1.8686825778587,0,0,2.07059334981326,0,2.39599360405181,0,0,0,0,3.90342277966283,1.65073377825172,0,4.67542137712842,0,0,0,3.23223654085696,0,0,2.56292593813418,0,0,1.19260363450131,2.12133552304229,0,0,0,3.54593679810538,0,3.23593053032714,0,0,2.79795674969941,0,1.19260363450131,0,5.3478077860425,1.19260363450131,1.77323915323696,1.8686825778587,0,0,0,0,0,1.19260363450131,0,2.96360924637163,5.57230866389577,3.24322556466278,0,0,0,0,1.19260363450131,0,0,1.19260363450131,1.47946871795162,0,0,0,0,4.58623312344662,0,0,0,1.19260363450131,2.48743147281691,5.47381084480467,0,0,0,0,2.20788813418179,0,0,0,1.77323915323696,1.19260363450131,1.47946871795162,0,1.65073377825172
20A,rural,0,0,1.0764244007575,0,2.29585990836091,1.0764244007575,4.69005881758871,0,0,0,0,4.1573403319048,1.0764244007575,0,4.89324226325801,0,1.82311151925841,1.35885072999639,2.48695991129521,0,0,4.43616651211988,0,0,0,3.27161288557905,1.0764244007575,1.0764244007575,1.52855935810502,4.10845604759256,0,3.69264903077828,0,0,3.41330040702902,0,0,0,2.84518506139172,2.57103098019827,4.2779569686359,1.0764244007575,1.0764244007575,0,0,0,2.6076592244624,2.36249265914545,1.0764244007575,5.52766895890503,5.25523854384776,3.39649352695651,0,0,0,1.0764244007575,0,0,1.0764244007575,1.65027125507837,2.93651438493056,1.52855935810502,1.0764244007575,2.1553751178085,1.7452335929261,4.81041923293281,1.35885072999639,0,0,0,2.04234183662252,5.29905406599093,0,0,0,0,0,0,1.0764244007575,0,3.29145942099765,1.7452335929261,2.98331855485925,0,1.65027125507837
084A,urban,0,1.13561349816043,1.59101298489156,0,0,0,4.29770024007372,0,0,0,0,4.99006230494228,0,0,5.30329789733956,0,0,0,1.13561349816043,0,0,4.14835428366321,0,0,0,2.21918247314101,0,2.25117984371256,0,2.42645847911117,0,4.05106094079267,0,0,2.14710823797848,0,0,0,2.64765603324279,1.13561349816043,1.71315848824974,0,0,1.59101298489156,0,0,0,2.60882960059889,0,3.22996998412535,5.5093381881052,3.56810963030171,0,0,0,0,0,0,0,0,1.59101298489156,0,0,0,0,3.29316223265343,0,0,0,0,1.13561349816043,5.49828652526316,2.1846387964226,0,0,0,2.10602495357143,0,0,0,3.88728295657178,1.13561349816043,2.89555377285189,0,1.13561349816043
086A,urban,0,0,0,0,1.84414170043156,0,2.56605878332961,0,0,0,0,4.09439102897806,1.09601749495645,0,5.23746858940605,0,0,0,3.95795195595408,0,0,3.8507773407123,0,0,0,1.91019931129333,0,2.10454758766957,1.5492854976759,2.60487573116783,0,2.52342881076015,0,0,2.75945395463425,0,0,0,1.84414170043156,0,1.37928149557333,0,0,0,0,0,1.09601749495645,4.24980347695766,0,3.7707643746099,5.58412487890189,3.75353118526041,0,0,0,0,0,0,0,1.67114830832342,0,0,0,0,0,3.81490640538738,1.5492854976759,0,0,0,0,5.55636793065812,1.09601749495645,0,0,0,0,0,0,0,4.10897944056645,1.37928149557333,3.57835624455995,0,1.67114830832342
15A,rural,0,1.22793271533271,0,0,1.39537332950736,0,4.18510067520778,0,0,0,0,4.06806583672974,1.22793271533271,0,5.40291315028327,0,0,0,3.81323610667257,0,0,4.20836661669613,0,0,0,2.64177071749414,0,0,0,3.49273246632955,0.951866475732265,3.8772819847185,0,0,3.02467817224421,0,2.01854088908307,0,0,0,3.03753511857877,0,0,0,0,0,1.61017531734811,3.12345945936907,0,5.39107845117034,5.2877546980414,3.32057942035194,0,0,0.951866475732265,0,0,0,0,0.951866475732265,1.51592125711997,0.951866475732265,0,0,0,4.12264482508937,1.75324795528801,0,0,0,1.90584417720669,5.32032431645544,1.22793271533271,0,0,0,0,0,0,0,4.24286354130174,0.951866475732265,2.6721928572962,0,1.22793271533271
