Sample_ID,ruralurban,Oribacterium,Erysipelotrichaceae_incertae_sedis,Clostridium_sensu_stricto,Halomonas,Enterorhabdus,Oxalobacter,Ochrobactrum,Parvimonas,Sphingomonas,Succinivibrio,Cryptobacterium,Oscillibacter,Providencia,Dialister,Hallella,Parasutterella,Paracoccus,Plesiomonas,Eubacterium,Tepidimonas,Lactonifactor,Butyricicoccus,Subdoligranulum,Veillonella,Lactococcus,Paraprevotella,Akkermansia,Phascolarctobacterium,Sporobacter,Aggregatibacter,Gordonibacter,Leptotrichia,Geobacillus,Collinsella,Shewanella,Mobiluncus,Aliivibrio,Vagococcus,Roseburia,Methanobrevibacter,Sarcina,Prevotella,Faecalibacterium,Pseudoalteromonas,Aerococcus,Proteus,Altererythrobacter,Anaerofustis,Ruminococcus,Parascardovia,Flavonifractor,Enterococcus,Anaerostipes,Finegoldia,Kocuria,Oligella,Robinsoniella,Cellulosilyticum,Methylobacterium,Pseudoramibacter,Neisseria,Comamonas,Isobaculum,Dorea,Anaerococcus,Marvinbryantia,Blautia,Vampirovibrio,Alloprevotella,Desulfovibrio,Parabacteroides,Rubritalea,Gardnerella,Bacteroides,Psychrobacter,Alcanivorax,Olsenella,Serratia,Vibrio,Acinetobacter,Clavibacter,Mannheimia,Anaeroglobus,Coprobacillus,Martelella,Pseudomonas,Clostridium_XI,Pantoea,Alistipes,Pyramidobacter,Holdemania,Stenotrophomonas,Cryptomonadaceae,Pseudobutyrivibrio,Dolosigranulum,Morganella,Shimwellia,Granulicatella,Eggerthella,Salmonella,Clostridium_XIX,Helicobacter,Alloscardovia,Enterobacter,Paenibacillus,Johnsonella,Anaerosporobacter,Odoribacter,Cellulosimicrobium,Shuttleworthia,Clostridium_IV,Paralactobacillus,Lachnoanaerobaculum,Mitsuokella,Fusobacterium,Papillibacter,Cronobacter,Mycoplasma,Streptococcus,Paraeggerthella,Butyricimonas,Gallibacterium,Enterovibrio,Marivita,Eikenella,Corynebacterium,Novosphingobium,Cloacibacterium,Anaerotruncus,Bulleidia,Pseudoflavonifractor,Tannerella,Peptostreptococcus,Scardovia,Rhodospirillum,Methanosphaera,Allisonella,Peptoniphilus,Clostridium_XlVa,Clostridium_XlVb,Macrococcus,Streptophyta,Bergeriella,Synergistes,Actinobacillus,Atopobium,Kandleria,Brevibacterium,Solobacterium,Maricurvus,Peptococcus,Anaerosinus,Ureaplasma,Francisella,Citrobacter,Eggerthia,Moryella,Phocaeicola,Clostridium_XVIII,Acetanaerobacterium,Gemella,Catenibacterium,Sutterella,Laribacter,Centipeda,Aeromonas,Lactobacillus,Parasporobacterium,Actinomyces,Castellaniella,Coprococcus,Staphylococcus,Succinatimonas,Sneathia,Rothia,Mogibacterium,Tenacibaculum,Leuconostoc,Thermus,Cardiobacterium,Lachnospiracea_incertae_sedis,Cloacibacillus,Megamonas,Barnesiella,Escherichia_Shigella,Phycisphaera,Haemophilus,Trabulsiella,Ruminococcus2,Bifidobacterium,Turicibacter,Brevundimonas,Hymenobacter,Xylanibacter,Hydrogenoanaerobacterium,Howardella,Anaerofilum,Hespellia,Bilophila,Saccharibacteria_genera_incertae_sedis,Arcobacter,Lachnospira,Cetobacterium,Slackia,Acidaminococcus,Diplorickettsia,Clostridium_III,Weissella,Campylobacter,Abiotrophia,Porphyromonas,Gemmiger,Victivallis,Lachnobacterium,Rhizobium,Anoxybacillus,Megasphaera,Selenomonas
25A,rural,1.57448297321126,2.86438081681433,3.6931787411459,1.28487071265915,0,0,0,1.8696895261265,0,0,0,3.44086128936164,0,0,0,4.93086288294952,0,0,1.57448297321126,0,0,2.76761914758215,1.9654254212389,1.9654254212389,0,1.57448297321126,0,4.59154258897228,1.28487071265915,0,1.28487071265915,0,0,0,0,0,0,0,4.90072056091679,0,0,2.62448709663269,5.02903532271611,0,0,0,0,0,1.9654254212389,0,3.45221197904841,0,3.3691225882878,0,0,1.28487071265915,0,0,0,0,0,0,0,3.68177306833857,0,0,4.16970484763732,0,1.74670062624906,0,4.00762481405057,0,0,5.73407456462276,0,0,0,0,0,0,0,0,0,1.28487071265915,0,0,3.12537531882967,0,3.48458573555166,0,2.40954963552012,0,0,0,0,0,0,1.74670062624906,2.16777825382087,0,0,0,0,1.28487071265915,0,0,0,0,0,0,2.54172987923558,0,1.28487071265915,0,0,0,0,0,1.9654254212389,0,0,0,0,0,0,1.28487071265915,0,0,1.57448297321126,0,2.73963986064925,0,1.74670062624906,0,0,0,0,0,4.05134624377585,3.42920595898303,0,2.11020770952883,0,0,0,0,0,0,1.28487071265915,0,0,0,0,0,0,0,0,0,2.3052753187384,1.28487071265915,1.74670062624906,0,0,0,0,0,0,0,1.74670062624906,0,0,0,0,0,0,1.28487071265915,0,0,0,0,3.71206033954944,0,0,0,3.7330989560596,0,1.57448297321126,0,4.81537392314692,3.50983449126053,2.16777825382087,0,0,0,0,0,0,1.28487071265915,3.35534029201234,0,0,0,0,0,0,0,0,0,1.28487071265915,1.28487071265915,0,1.8696895261265,0,0,0,0,0,0
35A,rural,0,3.23900888625032,2.29213294656274,1.81942205460745,0,0,0,0,0,0,0,3.06032235383202,0,0,1.35526936227378,2.24125738783841,0,0,0,0,0,3.02627341818633,1.35526936227378,2.56729508450767,0,1.35526936227378,1.35526936227378,2.03862996477624,0,0,1.35526936227378,0,0,2.33766873890192,1.81942205460745,0,0,0,4.91841855176913,1.35526936227378,0,5.84570431873564,4.86995420996397,0,0,0,0,0,4.02501820501348,0,1.81942205460745,1.94271214934479,2.03862996477624,0,0,0,0,0,0,0,0,1.35526936227378,0,3.21674567456893,0,0,3.85817278539368,0,0,2.96960283185293,3.27541799773614,0,0,4.45394834188036,0,0,0,0,0,1.35526936227378,0,0,0,0,0,0,2.73440961762518,0,3.26018625747231,0,1.64660942183864,1.81942205460745,0,0,0,0,1.35526936227378,1.35526936227378,0,2.41651722527472,1.94271214934479,0,0,3.90859355434399,0,0,0,2.51309422344949,0,0,1.35526936227378,0,0,0,2.90441162577659,0,2.76777407094344,0,1.94271214934479,0,2.41651722527472,0,0,0,0,1.64660942183864,0,0,1.35526936227378,0,1.81942205460745,0,0,0,0,0,0,0,3.51764382192411,2.96960283185293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35526936227378,0,0,0,0,1.35526936227378,3.1684720123095,3.59822898478513,0,0,1.35526936227378,0,0,1.35526936227378,0,4.17075375933393,0,0,0,0,0,0,0,0,0,3.38117191815477,0,3.44303492823431,3.40029914593071,4.51609421263881,0,0,0,3.27039987470612,1.64660942183864,0,0,0,0,0,2.61547593360824,0,1.35526936227378,2.67900143850667,0,0,0,0,0,1.81942205460745,0,0,0,0,0,0,3.63896414320541,1.94271214934479,0,0,0,2.29213294656274,0
091A,urban,0,1.35695441360882,2.24300998177173,0,0,0,0,0,0,0,0,3.79081968031082,0,4.12563192556397,0,2.0403765579033,0,0,0,0,1.82115808048497,3.00062275359254,1.94445476471183,2.11889773927208,0,2.38063528561568,3.35881047013024,2.54279727962105,2.29388665628437,0,1.64833241711928,0,0,1.64833241711928,0,0,0,0,5.11180535014314,0,0,3.18897054230828,4.89722350381174,0,0,0,0,0,4.46325243770077,0,2.56905300761713,0,3.32886082485323,0,0,0,1.64833241711928,0,0,0,0,0,0,3.55239662539192,1.64833241711928,0,4.28094829195396,0,0,0,2.54279727962105,0,0,5.82541801337836,0,0,0,0,0,0,0,0,1.82115808048497,0,0,0,2.29388665628437,0,3.68191365418743,0,1.64833241711928,0,1.64833241711928,0,0,1.35695441360882,0,1.35695441360882,1.64833241711928,0,1.64833241711928,0,0,0,0,0,0,1.35695441360882,0,0,2.11889773927208,0,0,0,3.06208351027735,0,0,0,1.94445476471183,1.35695441360882,0,0,0,0,0,0,0,0,2.24300998177173,0,0,0,0,0,0,0,0,1.94445476471183,3.99643966488377,3.33763067577518,0,1.82115808048497,0,0,0,0,0,0,1.94445476471183,0,0,0,0,0,0,0,1.35695441360882,0,1.64833241711928,0,0,0,1.35695441360882,0,0,0,2.48498307875773,0,2.0403765579033,0,2.96115551245691,0,0,0,0,0,0,1.94445476471183,0,0,3.66793810882403,0,1.82115808048497,2.45290774146321,3.12308810312814,0,0,0,3.68970229260113,2.78530165306413,2.1853724391697,0,0,0,0,0,0,0,1.82115808048497,0,0,0,0,0,0,0,0,0,0,0,1.64833241711928,3.96993487021703,0,0,0,0,2.11889773927208,0
29A,rural,1.9065506649305,3.50872104873604,2.25573083212231,1.78340342635129,0,1.32035417341612,0,1.32035417341612,0,3.6002104540324,0,3.38560999562317,1.32035417341612,4.49387709422484,2.93304684339118,2.79113617323706,0,0,1.61087314442285,0,0,2.69788305605889,0,3.39266896751274,2.44675471767695,3.62345722923603,0,3.15063687137817,1.32035417341612,0,0,0,0,2.60119067990559,1.32035417341612,0,0,0,4.55867728468866,0,0,5.78387004637532,5.01096719223486,0,0,0,0,0,3.41318251893277,0,2.00238222112439,2.30124723555843,1.9065506649305,0,0,0,0,0,0,0,1.32035417341612,1.78340342635129,0,3.16269297156364,0,0,3.43277067523275,0,5.12261411604678,1.61087314442285,3.41318251893277,0,0,4.0315055598444,0,0,0,0,0,0,0,0,2.00238222112439,0,0,0,2.60119067990559,0,3.2184122262982,1.61087314442285,0,0,0,0,0,0,0,1.9065506649305,0,1.61087314442285,0,0,0,3.3820370122911,0,0,1.78340342635129,2.50455255968464,0,0,2.14727444652006,0,1.78340342635129,0,2.08084300526891,0,0,0,3.50603274628434,0,2.87942864830168,0,0,0,1.61087314442285,0,0,0,1.78340342635129,0,1.78340342635129,0,0,0,0,0,3.168597796006,0,2.84376223028229,3.01549402722748,0,1.9065506649305,0,0,0,0,0,0,1.9065506649305,0,0,0,0,0,0,0,0,0,0,1.32035417341612,1.61087314442285,3.46357364103052,3.93460564433284,0,1.32035417341612,1.32035417341612,2.08084300526891,0,1.78340342635129,0,3.91084804463237,0,0,0,1.32035417341612,1.9065506649305,0,0,0,1.32035417341612,2.91238696013651,1.32035417341612,3.42633895819945,1.78340342635129,3.61304450289128,0,1.61087314442285,0,3.48954381128561,2.08084300526891,2.00238222112439,0,0,0,0,0,0,0,2.73124230560123,0,0,0,0,1.32035417341612,0,0,0,2.38006659979616,1.78340342635129,0,0,3.49510997338536,2.00238222112439,0,0,0,1.32035417341612,1.32035417341612
28A,rural,1.30876891982232,3.81459250447435,3.36263147529062,1.59900016307221,0,0,0,0,0,0,0,3.62744257856565,0,0,2.40256159389851,3.89333293070412,0,0,0,0,0,2.80608923951121,0,2.7500669049491,0,3.17367800757017,1.30876891982232,2.70273134334075,2.24362398646667,0,0,0,0,2.36794269649184,0,0,0,0,3.72314085340032,0,0,5.89254635652488,4.89349790092925,0,0,0,0,0,3.48016441793517,0,2.49241583156512,0,3.31648942354128,0,0,0,2.36794269649184,0,0,0,0,0,0,3.69181806852261,1.30876891982232,0,4.06580783839891,0,4.53830346623457,1.59900016307221,3.24138773581664,0,0,4.17566598477939,0,0,0,0,0,0,0,0,0,0,0,0,2.92088588305331,0,3.49922125045676,0,2.40256159389851,0,0,0,0,0,0,0,1.30876891982232,0,0,0,0,1.30876891982232,0,0,0,2.70273134334075,0,0,1.99032963882101,0,0,0,0,0,0,0,2.06877013131053,0,3.0354844742955,0,0,0,0,0,0,0,0,0,2.94060678183915,0,0,0,0,0,0,1.30876891982232,3.42059986772836,2.88951649750566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.30876891982232,0,0,0,1.30876891982232,0,0,0,0,0,1.30876891982232,0,4.13202612784065,0,0,0,0,0,0,0,0,0,3.14453999661996,0,1.7714313330705,2.49241583156512,2.51866255346916,0,1.30876891982232,0,3.68665912877438,2.49241583156512,1.30876891982232,0,0,0,0,2.70273134334075,0,1.59900016307221,3.26026247928997,0,0,1.30876891982232,0,0,2.19278114568037,0,0,0,0,0,0,3.54469853847316,0,0,0,0,0,0
099A,urban,1.6179941679151,2.79842282550201,0,1.32730627457914,0,0,0,0,0,1.32730627457914,0,2.53807858686313,0,4.58854974596944,0,1.91375926587713,0,0,1.32730627457914,0,2.56283227203792,3.52134438429418,0,2.48388863517543,0,2.15452124359893,0,2.48388863517543,0,0,0,0,0,0,1.32730627457914,0,0,0,5.0848863507364,0,0,2.9880576366089,4.43510799862648,0,0,0,0,0,4.2818242727561,0,3.17589124649353,0,2.15452124359893,0,0,0,0,0,0,0,2.00960859670104,0,0,1.6179941679151,0,0,4.59126261257187,0,1.32730627457914,1.6179941679151,2.53807858686313,0,0,5.71488191901084,0,0,1.32730627457914,0,0,0,0,0,3.73620177721262,0,0,0,0,0,3.37843351069302,2.30850942467164,2.64976632653909,0,0,0,0,2.15452124359893,0,0,1.32730627457914,0,4.10436356453598,0,0,0,0,0,0,0,0,1.32730627457914,2.38733479237341,0,1.6179941679151,0,5.1361911284438,1.32730627457914,0,0,2.91967646433718,1.6179941679151,0,0,0,0,0,1.32730627457914,0,0,2.00960859670104,0,0,0,1.6179941679151,0,0,0,0,0,4.24190191546568,2.38733479237341,0,0,0,1.32730627457914,1.32730627457914,1.6179941679151,0,0,1.79058259643695,0,0,0,0,0,0,1.91375926587713,1.6179941679151,0,3.06262076457103,0,1.79058259643695,0,0,0,0,0,2.38733479237341,0,2.21213268298965,0,2.08808127937784,0,0,0,2.00960859670104,0,0,0,0,1.32730627457914,4.01906103527854,0,2.26298902443304,1.32730627457914,3.92967012441811,0,2.21213268298965,0,4.29584156101809,3.66249010462654,1.32730627457914,0,0,0,0,0,0,0,1.6179941679151,1.91375926587713,0,0,0,0,0,0,0,0,1.79058259643695,0,0,1.32730627457914,0,0,0,0,3.54953036631709,0
20A,rural,1.80289129189232,2.42089961370711,2.32951676737227,2.95484410583253,0,0,0,0,0,0,0,3.61300918757237,0,4.56965135674372,0,0,1.13044436907275,0,1.70768728171495,0,1.13044436907275,3.29315029218817,0,3.14266524547917,2.42089961370711,4.98929551867346,1.13044436907275,4.74402882784986,0,0,0,0,0,3.2011065913857,2.6295287661555,0,0,0,4.63523609772856,0,0,5.45150439661028,4.73672308444704,1.13044436907275,0,0,1.13044436907275,0,3.45129156265834,0,4.00876218326481,2.14156835848934,3.44743251359217,0,0,0,0,0,0,1.13044436907275,1.13044436907275,0,0,4.07524649948064,0,0,4.63986483969719,0,1.41508820185449,1.13044436907275,4.48974047579718,0,0,5.31388335185218,0,0,0,0,1.58557707480127,1.13044436907275,0,0,3.10597002819448,2.6032635221945,0,1.13044436907275,2.96673030511407,0,3.75031915400808,0,0,0,0,0,0,0,0,1.41508820185449,2.6889837709769,0,1.9470613686004,0,0,2.14156835848934,0,0,0,0,1.13044436907275,1.13044436907275,2.32951676737227,0,0,0,2.46026485092664,0,1.13044436907275,1.13044436907275,3.41734190614335,0,0,0,1.13044436907275,0,0,0,0,0,0,1.58557707480127,0,0,1.58557707480127,0,1.13044436907275,0,1.13044436907275,0,3.96277283928492,3.02172204979995,1.13044436907275,1.13044436907275,0,0,1.13044436907275,1.41508820185449,0,0,2.10048904465888,0,0,0,0,1.13044436907275,0,0,0,0,3.27910150144739,0,1.70768728171495,0,3.34764455375325,0,0,0,2.00443963870335,0,2.32951676737227,0,1.41508820185449,1.70768728171495,0,0,0,1.58557707480127,0,0,0,0,3.55503236469404,0,4.34477692770547,1.41508820185449,4.06367795520116,0,0,0,3.96277283928492,4.12318668214785,1.88093146822495,0,0,0,0,0,0,1.13044436907275,4.33609858423782,0,0,0,0,0,0,0,0,2.66616892821571,1.13044436907275,0,1.13044436907275,0,0,0,0,0,2.3776073300243,0
084A,urban,0,1.82799964082475,2.42519245391889,1.24488056848587,0,0,0,2.30079721640498,0,0,1.24488056848587,3.45258719670877,0,2.84331059812793,0,4.00409819736283,0,0,1.24488056848587,0,1.70520670832228,3.07106512548552,2.3674335184148,2.47616365874887,1.24488056848587,2.22205028044565,2.3674335184148,4.40186974911739,1.92361706380562,0,1.53337551044071,0,0,1.82799964082475,1.24488056848587,0,0,0,5.21634603073988,0,2.00193444091215,3.28412169709178,5.08549237197512,0,0,0,0,0,4.72500300031134,0,1.82799964082475,0,2.91016838157582,0,0,0,0,0,0,0,0,0,0,3.60871090213173,0,0,4.23398376018658,0,0,1.53337551044071,4.11378736428233,0,0,5.62616639091243,0,0,0,0,0,1.70520670832228,0,0,0,1.70520670832228,0,0,2.87323228755679,0,4.16788035339041,2.22205028044565,2.33539216460543,0,0,1.24488056848587,0,0,0,0,1.24488056848587,1.53337551044071,0,0,0,2.06826312755167,0,0,1.92361706380562,3.2688897936073,0,0,3.11186828622602,0,0,0,2.6184247359449,0,1.70520670832228,0,2.22205028044565,0,3.48675122269707,0,0,0,0,0,0,0,1.53337551044071,0,2.00193444091215,0,1.53337551044071,0,0,0,0,0,3.72602453419888,3.23252942664055,0,0,0,0,0,1.24488056848587,0,0,0,0,1.70520670832228,0,0,0,0,0,0,0,1.53337551044071,1.24488056848587,1.24488056848587,0,0,0,0,0,1.24488056848587,0,0,0,3.93213836017305,0,0,0,1.24488056848587,0,0,0,0,0,3.66977989688226,0,3.10059610921866,2.26320612303574,4.99802757164177,0,0,0,3.55199819699302,2.47616365874887,2.3674335184148,0,0,0,0,0,0,1.53337551044071,1.53337551044071,0,0,0,0,0,0,0,0,0,0,0,0,4.00051819948965,0,0,0,0,1.53337551044071,0
086A,urban,1.19599058623105,2.28362397845704,4.16700950787533,0,0,0,0,1.19599058623105,0,0,0,1.95046088482176,0,2.61562610738467,0,4.21432615845579,0,0,1.48296750835128,0,0,3.63733658451534,0,3.74841694816418,0,0,2.21148407518631,2.59987081419891,1.48296750835128,0,0,0,0,0,0,0,0,0,5.31118058977804,0,0,3.81388485043502,5.29234454830564,0,0,0,0,0,2.17035817836214,0,2.98740569284775,0,3.15449058900607,0,0,0,1.19599058623105,1.19599058623105,0,0,0,0,0,3.47505597102405,0,0,4.18405842900329,0,2.21148407518631,0,3.9331336698699,0,0,5.69178549147341,0,0,0,0,0,0,0,1.19599058623105,0,0,0,0,3.59727652382882,0,2.59987081419891,0,0,0,0,0,0,0,0,1.19599058623105,1.65427150780091,1.48296750835128,0,0,0,2.8015692792406,0,0,0,1.65427150780091,0,0,2.24905018720273,0,0,0,1.95046088482176,0,0,0,2.84927061477298,0,1.19599058623105,0,0,0,0,0,0,0,0,0,1.19599058623105,0,1.48296750835128,0,0,0,0,0,3.90066631300694,2.24905018720273,0,1.65427150780091,0,0,0,1.65427150780091,0,0,1.87225208838442,0,0,1.19599058623105,0,0,1.19599058623105,1.65427150780091,0,0,2.17035817836214,0,1.77679667920613,0,0,0,0,0,0,0,1.95046088482176,0,2.88398545012039,0,0,0,0,0,0,0,0,0,3.85678371212232,0,1.77679667920613,2.28362397845704,3.59403632748308,0,2.88398545012039,0,2.28362397845704,2.51117766529625,2.75923576629585,0,0,0,0,0,0,0,1.48296750835128,1.19599058623105,0,1.19599058623105,0,1.19599058623105,0,0,0,1.19599058623105,1.19599058623105,0,0,2.01671173202883,0,0,0,0,0,0
15A,rural,0,1.05335735554693,3.08904409729482,1.05335735554693,0,1.33474557147267,0,1.05335735554693,0,0,0,3.44946016568187,0,1.05335735554693,0,3.86568237379094,0,0,1.05335735554693,0,0,3.02638931412479,1.50408707580471,2.78470878061727,0,1.05335735554693,0,2.667291041196,1.97204230785032,1.05335735554693,0,0,0,2.65755243781705,0,0,0,0,5.08964154408978,0,0,2.87106051436203,5.04322036835435,0,0,0,0,0,5.02038288746366,0,1.72045945857059,0,2.98207898101139,0,0,0,1.7982607544787,0,0,0,0,0,0,3.73994946009376,0,0,4.34072628463021,0,5.44431546879586,1.05335735554693,3.96598261961615,0,0,5.40048135931175,0,0,0,0,0,0,0,1.05335735554693,0,0,0,0,2.7542713082481,0,3.98907888016576,0,1.97204230785032,0,0,0,0,0,0,0,0,1.33474557147267,0,0,0,2.73821334545571,0,0,1.05335735554693,3.07041750387606,0,0,2.44606472192649,0,1.50408707580471,0,0,1.05335735554693,0,0,3.13731153467781,0,3.55857034816316,0,0,0,0,0,0,0,1.05335735554693,0,1.05335735554693,0,1.05335735554693,0,0,0,0,1.05335735554693,3.16572817319496,2.7129550902161,0,1.86421917398788,0,0,0,1.05335735554693,0,1.05335735554693,0,0,0,0,0,0,0,1.05335735554693,0,0,0,0,1.33474557147267,0,4.1819637914247,0,1.05335735554693,0,1.92146836444064,0,1.50408707580471,0,3.51433536535644,0,0,0,1.33474557147267,0,0,0,0,0,3.33349104739795,0,4.17213768517946,3.79496821946621,3.74400379218089,0,2.78470878061727,0,3.54089811807883,3.54474603136767,2.13031566362362,0,0,0,0,0,0,1.05335735554693,3.14699181881446,0,0,0,0,1.50408707580471,3.01356434997438,0,0,1.72045945857059,1.33474557147267,0,0,3.34172058051289,1.05335735554693,0,0,0,0,0
