Sample_ID,ruralurban,Actinomycetales,Lactobacillales,Synergistales,Puniceicoccales,Campylobacterales,Vibrionales,Burkholderiales,Xanthomonadales,Rhodospirillales,Aeromonadales,Clostridiales,Neisseriales,Rhodobacterales,Coriobacteriales,Caulobacterales,Phycisphaerales,Erysipelotrichales,Methanobacteriales,Enterobacteriales,Bdellovibrionales,Victivallales,Thermales,Thermoplasmatales,Pasteurellales,Bacteroidales,Rhizobiales,Mycoplasmatales,Verrucomicrobiales,Bacillales,Selenomonadales,Pseudomonadales,Desulfovibrionales,Oceanospirillales,Sphingomonadales,Cytophagales,Legionellales,Fusobacteriales,Bifidobacteriales,Flavobacteriales,Cardiobacteriales,Alteromonadales,Thiotrichales
25A,rural,1.9790997150995,2.24583666019135,0,0,1.16051781618958,0,4.80721670024069,1.16051781618958,0,0,5.65804256772563,0,0,2.08723032236331,0,0,3.66858980073081,0,3.75171149516807,0,0,0,0,2.5777283930242,5.63894663486951,0,0,0,1.61715689577766,4.46987937443951,0,3.22658837734471,1.44627745070604,0,0,0,0,3.47395866049247,1.44627745070604,0,0,0
35A,rural,1.72405662748545,2.38657358014849,0,0,0,0,3.53325208753086,1.72405662748545,0,1.26303016703927,5.41772351173782,0,0,2.28232429674876,0,0,3.54413408196255,1.26303016703927,5.02936997582298,0,1.84694091913698,0,0,2.84134487774906,5.78070009763964,0,0,1.26303016703927,1.26303016703927,4.22140810209348,1.26303016703927,3.11980194326432,1.94261358399024,0,0,0,3.14206185784626,1.55204533035439,0,0,1.72405662748545,0
091A,urban,1.81604483419297,2.70231758082851,0,0,0,0,3.86095841396527,0,0,0,5.74847070174064,0,0,1.96027345079161,0,0,3.76174338769578,0,3.10636547850348,0,0,0,0,1.72079002554152,5.61550051177369,0,0,3.13190015665771,0,3.93780958957119,0,1.59859602091187,1.42794272769077,0,0,0,3.18985203410965,2.61659145610739,0,0,0,0
29A,rural,1.8078332929674,3.70824762329475,1.68514208644466,1.22559423559449,1.68514208644466,0,3.93059979249626,0,0,3.50872486233782,5.30402937493109,1.68514208644466,0,2.63133997085172,0,0,3.77074253543089,0,4.46332052079005,0,1.9033891836473,0,1.51351129189792,3.12356623050111,5.84960812527923,0,0,0,1.68514208644466,4.56183128384218,0,2.79072840929741,1.8078332929674,0,0,0,1.98166533014602,1.98166533014602,0,1.22559423559449,1.22559423559449,0
28A,rural,1.45346015530817,1.98646925050365,0,0,0,0,3.97196998635452,0,0,0,5.38010590522536,0,0,2.28525325742304,0,0,3.88511216917198,0,2.65634072794887,0,0,0,0,2.56940342721368,5.84330430512646,0,0,1.16745432712167,0,4.63491234743346,0,3.12841687591272,1.45346015530817,0,0,0,0,2.3429636373429,1.16745432712167,0,0,0
099A,urban,2.35917938616915,3.10288871568595,2.19731457244081,0,1.640334154868,0,2.19731457244081,0,0,1.18265410989922,5.54963543561464,1.85818800306074,0,2.11077667809636,0,0,3.23259141900432,0,3.89278382687071,0,0,0,0,3.22160255286299,5.57212088230412,0,0,0,1.640334154868,4.57886455490142,0,1.76278038772311,1.46918539455746,0,0,0,5.33716753617857,3.53529956428973,0,1.18265410989922,1.640334154868,0
20A,rural,2.34385610766617,3.57001003939655,0,0,1.05930610212273,1.80467931814365,3.28470812646258,0,1.34096757566896,0,5.45729003972374,1.05930610212273,1.05930610212273,3.25290355400461,0,0,3.37778163777975,0,4.13862209724466,0,0,0,0,2.46830267525403,5.73618642653156,1.05930610212273,1.05930610212273,1.05930610212273,2.02379575490966,5.0488088425053,1.34096757566896,4.25973843484377,2.91781695804088,1.05930610212273,0,0,2.8264928158244,4.08973797156915,1.63197945269544,0,2.56491711890427,1.05930610212273
084A,urban,1.78211952070804,2.25443265458812,2.07954842537122,0,0,0,3.87116024696437,0,0,0,5.72795153169042,0,0,2.19265649906677,0,0,3.54142493595114,0,4.96337045034847,0,0,0,0,1.11093128253193,5.53201111560388,0,0,2.2246420695696,1.11093128253193,4.31723553193414,1.56502624305865,1.68699891739992,1.56502624305865,0,0,0,2.62102585688705,2.39986944974868,0,0,1.11093128253193,0
086A,urban,1.97687026831121,2.90505439993018,0,0,1.05780771697897,0,4.07648536265662,0,0,0,5.75394180196122,0,0,1.86903254873905,0,0,3.7118342010097,0,4.05268984598382,0,0,0,0,3.91625207303237,5.58884707891299,0,0,2.06318682408533,1.63037597614311,3.79840932135018,0,1.3394007301113,0,0,0,0,1.80306324765243,2.56327973716567,1.63037597614311,0,0,0
15A,rural,1.76573293328518,3.17139325972894,0,0,1.18546171127674,0,4.23100208822575,0,0,0,5.66139248060979,0,0,2.59659370884244,0,0,3.27531633888049,0,4.02278402141363,0,0.911880672045695,0,0,3.76795754840487,5.67470131108246,0,0,0,1.18546171127674,4.43992928708145,0,2.99229299952623,1.47208799066431,0,0,0,0,3.44746191869132,0,0,0,0
1A,rural,3.03278005969026,5.32671313224483,2.07741896114711,0,1.07092419679816,0,3.31362151224283,0,0,3.79512532915502,5.70756038490772,0,0,3.34007171325894,0,0,3.38086273730244,0,4.64474694091357,0,0,0,0,3.5839403639584,5.14243099665899,0,0,2.74073699152406,2.21114742936999,4.81212459670416,0,3.51680913333635,1.81719521472255,0,0,0,2.67674498792683,3.87691199114239,0,0,1.07092419679816,0
100A,urban,1.20634130897538,2.5414382820765,1.20634130897538,0,0,0,4.9516662671946,0,0,0,5.46619632093255,0,0,2.5414382820765,0,0,3.3339976282655,0,3.41162474287131,0,0,0,0,0,5.68276888876739,0,0,2.43532958439723,1.66507548015253,5.04646168328712,1.49365448702092,3.07645170853275,1.78766011431059,0,0,0,4.20502062314837,3.27211411516805,0,1.20634130897538,1.49365448702092,0
11A,rural,2.42076628837796,4.39754110268949,0,0,0,0,4.3866807265997,0,0,2.39857663399301,5.42356691260392,0,1.14997508920204,2.76228900238909,0,0,3.84078151515625,0,3.93104918797008,0,0,0,0,2.29637661480644,5.74592247562672,0,1.60609850588228,0,1.43535264877267,5.03732394954705,0,3.32511628291474,1.82362305219315,0,0,0,1.60609850588228,2.55067252741324,0,0,1.14997508920204,0
37A,rural,2.51045035423863,4.96889793106388,0,0,1.46360659735947,0,3.32656148232434,0,0,4.13013531078768,5.53364805034064,0,0,3.0562464618774,0,0,4.1517317354647,3.20455583506582,4.84278008300594,0,0,0,0,3.7549111284667,5.61978614198416,0,0,0,2.05431908386759,4.58450713562822,1.46360659735947,2.89611976609636,1.85249244572641,0,0,0,2.62553082852577,2.70454060464577,0,1.17725962600898,0,0
