Sample_ID,sample_type,Barnesiellaceae,Cerasicoccaceae,Mogibacteriaceae,Odoribacteraceae,Paraprevotellaceae,Tissierellaceae,Weeksellaceae,0319-6G20,Acetobacteraceae,Actinomycetaceae,Aerococcaceae,Alcaligenaceae,Alicyclobacillaceae,Anaeroplasmataceae,Bacillaceae,Bacteroidaceae,Bifidobacteriaceae,Bogoriellaceae,Bradyrhizobiaceae,Brevibacteriaceae,Brucellaceae,BS11,Burkholderiaceae,Campylobacteraceae,Cardiobacteriaceae,Carnobacteriaceae,Caulobacteraceae,Chitinophagaceae,Christensenellaceae,Clostridiaceae,Comamonadaceae,Coriobacteriaceae,Corynebacteriaceae,Deferribacteraceae,Dehalobacteriaceae,Deinococcaceae,Dermabacteraceae,Desulfovibrionaceae,Dethiosulfovibrionaceae,Enterobacteriaceae,Enterococcaceae,Erysipelotrichaceae,EtOH8,Eubacteriaceae,F16,Flavobacteriaceae,Fusobacteriaceae,Gemellaceae,Halomonadaceae,Hyphomicrobiaceae,Intrasporangiaceae,Lachnospiraceae,Lactobacillaceae,Leptotrichiaceae,Leuconostocaceae,Methanobacteriaceae,Microbacteriaceae,Micrococcaceae,mitochondria,Moraxellaceae,Mycoplasmataceae,Neisseriaceae,Nocardiaceae,Nocardioidaceae,Oxalobacteraceae,Paenibacillaceae,Pasteurellaceae,Peptococcaceae,Peptostreptococcaceae,Phyllobacteriaceae,Planococcaceae,Porphyromonadaceae,Prevotellaceae,Promicromonosporaceae,Propionibacteriaceae,Pseudomonadaceae,RF16,Rhizobiaceae,Rhodospirillaceae,Rikenellaceae,Rs-045,Ruminococcaceae,S24-7,Sinobacteraceae,Sphingobacteriaceae,Sphingomonadaceae,Spirochaetaceae,Staphylococcaceae,Streptococcaceae,Synergistaceae,Syntrophorhabdaceae,Thermaceae,Turicibacteraceae,Unassigned,Veillonellaceae,Verrucomicrobiaceae,Victivallaceae,Xanthomonadaceae
ST00001,stool,0,0,1.63063689344946,0,0,2.10092741930896,0,0,0,0,0,0,0,0,1.63063689344946,5.67569110055782,0,0,0,0,0,0,0,1.92655394096879,0,0,0,0,1.92655394096879,2.22500471092252,0,3.24384715202283,1.63063689344946,0,0,0,0,0,0,3.75714662762003,0,4.03032371033554,0,0,0,0,0,0,0,0,0,5.38077437523796,2.22500471092252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.92655394096879,0,0,0,2.85141090437746,0,0,0,0,0,0,0,0,5.21030236190384,0,0,0,0,0,0,2.87620051635498,0,0,0,0,4.95541141658512,4.10468405245191,1.63063689344946,0,0
ST00003,stool,0,0,3.20388237672616,3.7626608170341,0,2.25180711148422,0,0,0,0,0,3.5798962465025,0,0,1.56245805447505,5.38723026244588,2.03157672697759,0,0,0,0,0,0,0,0,0,0,0,3.76795624762192,2.63059731969412,2.03157672697759,3.8987578929454,0,0,2.55161936332941,0,0,4.01433320594444,0,2.72730394781646,0,4.28840787740325,2.91265739596344,0,0,0,0,0,0,0,0,5.06587836849557,0,0,0,0,0,0,1.56245805447505,0,0,0,0,0,0,0,0,2.15550469233569,0,0,0,3.65086578415472,2.66528121226876,0,0,2.03157672697759,0,2.03157672697759,0,5.17879000282441,0,5.47146155283403,0,0,0,0,0,0,2.39723971170988,0,0,0,0,5.02868009275125,4.31979631836984,3.25820808697979,2.45501410653532,0
ST00005,stool,3.02370903084105,0,1.43739763382023,2.40069087795935,0,1.53112339191343,0,0,0,1.67358345933642,2.61956228634542,0,0,0,3.27728893791337,5.62782168175152,0,0,0,0,0,0,0,0,0,2.70085691021762,0,1.15194784733322,1.15194784733322,1.8257139690218,0,0,1.15194784733322,0,0,0,0,2.28384066920108,0,0.880495504558292,0,3.6649895884288,0,0,0,0,0,2.84917646702357,0,0,0,5.46640555558692,2.67742385745167,0,1.7806767025967,0,0,2.29848861473945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16458357600286,0,0,0,0,0,0,2.91661418781128,0,5.03394604547832,2.51946279773497,0,0,0,0,0,4.32394086801204,0,0,0,0,4.90196844544858,4.7922662888101,0,0,0
ST00006,stool,0,0,2.32427381066026,3.56287869786754,1.63345997177419,0,0,0,0,1.92941034209844,0,4.48359287376173,0,0,0,5.63290493257421,0,0,0,0,0,0,0,0,0,0,0,0,2.40311186970462,2.40311186970462,0,3.57274678167449,0,0,0,0,0,3.25694947156495,0,0,0,4.15856487097237,0,0,0,0,0,0,0,0,0,5.35844205559866,1.92941034209844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.54244326406413,2.40311186970462,0,0,0,0,0,0,4.3081073304901,0,5.25912868130173,0,0,0,0,0,0,2.98541779726253,0,0,0,0,4.72327454793081,4.44411421392253,0,0,0
ST00008,stool,4.01392697335307,0,2.21532167185072,3.71293903449724,1.48670228547315,0,0,0,0,0,0,4.82207525454007,0,0,1.48670228547315,5.1096986922056,1.19960694002325,0,0,0,0,0,0,0,0,0,0,0,3.50586493893683,2.6906758530559,0,2.74026791462305,0,0,0,0,0,3.56056123381452,0,1.95427901587206,0,3.10611440693373,0,0,0,0,1.78059362489769,0,0,0,0,4.85107296331999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.12875892647708,0,0,0,3.6682985459312,5.6183882158336,0,0,0,0,1.19960694002325,0,4.68089043268026,0,5.14190458197893,1.19960694002325,0,0,0,0,0,1.19960694002325,0,0,0,1.78059362489769,4.5059439868682,4.84448716762447,2.02053595953076,0,0
ST00009,stool,0,0,2.68549910321749,1.65297478145736,0,1.65297478145736,0,0,0,2.42300365485231,0,1.65297478145736,0,0,1.94914960243785,5.72560073415838,0,0,0,0,0,0,0,0,0,1.94914960243785,0,0,1.94914960243785,3.5298285037625,0,4.45143587133128,1.65297478145736,0,0,0,0,3.34237701621289,0,3.34237701621289,0,4.53475967474367,0,0,0,0,0,2.24773150356077,0,0,0,5.24959334927095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94914960243785,1.65297478145736,0,0,0,2.42300365485231,0,0,0,0,1.65297478145736,0,4.13600168267988,0,5.05500137054357,0,0,0,0,0,0,3.02383208055925,0,0,1.65297478145736,1.65297478145736,4.64925723403986,4.65941640736915,1.65297478145736,0,0
ST00015,stool,2.31336387396902,0,0,0,1.1658601238876,1.74509850473186,0,0,0,2.09291996339842,1.45180972972508,4.23830114208118,0,0,2.59865047124005,5.82384417464447,0,0,0,0,0,0,0,1.1658601238876,0,1.9847761754638,0,0,1.1658601238876,1.91857838671876,0,3.24934481048215,0,0,0,0,0,0,0,3.29071525957544,0,3.07002503069465,0,0,0,0,0,0,0,0,0,5.28422413618348,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45180972972508,0,0,0,0,0,4.17101591836838,1.1658601238876,0,0,0,0,0,0,3.12670739279531,0,4.5348431952873,0,0,0,0,0,0,3.44706582569894,0,0,0,0,3.67432483781376,4.77673731390554,0,0,0
ST00016,stool,2.22518035489381,0,1.33982429267051,3.60063909552831,4.22206960970698,0,0,0,0,1.92672854511088,0,0,0,0,1.7256823173451,5.8234446560147,0,0,0,0,0,0,0,0,0,1.50924487594903,0,0,0,3.90501156520672,0,3.01452219975528,0,0,0,0,0,1.63080945443627,0,1.7256823173451,0,3.08700824480411,0,1.05821274945572,0,0,0,0,0,0,0,5.23373666837324,0,0,0,0,0,0,0,0,0,1.33982429267051,0,0,0,0,0,0,0,0,0,1.80350013517075,2.32157288897859,0,0,0,0,1.33982429267051,0,4.49646961169202,0,4.75598509753525,0,0,0,0,0,0,2.52491549529128,0,0,1.33982429267051,2.67260324157436,4.56784968922643,3.68694201351551,0,0,0
ST00017,stool,0,0,3.48031573391217,0,2.78192016513951,3.68438182425912,0,0,0,2.78192016513951,0,3.08259122762507,0,0,3.89520063970431,5.01925225966405,0,0,0,0,0,0,0,0,0,0,0,0,3.08259122762507,3.78127387167796,0,4.71062938348927,0,0,0,0,0,3.48031573391217,0,0,0,3.82266002371038,0,0,0,0,0,0,0,0,0,5.43921497822902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.38344164539513,3.25856277633566,0,0,3.68438182425912,3.48031573391217,0,0,0,0,0,0,3.73552436591535,0,5.55644946759556,0,0,0,0,0,0,4.19620299349341,0,0,0,0,5.14481709327302,2.78192016513951,2.78192016513951,0,0
ST00018,stool,1.39403336620423,0,3.2954391661903,3.06670975284019,0,1.39403336620423,0,0,0,2.41919112070177,0,4.00762750183328,0,0,2.97865745857497,5.47193931599854,0,0,0,0,0,0,0,0,0,1.68620934311155,0,0,2.0787489806633,2.69922929135508,1.85930869020171,3.83408659400748,0,0,0,0,0,2.63242715605523,0,0,0,4.8005394863898,0,2.22384071673549,0,0,0,0,0,0,0,5.47943296888958,0,1.68620934311155,0,0,0,0,1.39403336620423,0,0,0,0,0,0,0,0,0,0,0,0,3.6192834706068,2.0787489806633,0,1.39403336620423,0,0,0,0,4.07427820664084,0,5.18838856864019,0,0,0,0,0,0,4.51001260337017,0,0,1.39403336620423,0,4.91760073643915,4.28141982441568,4.05287312000807,0,0
