Sample_ID,sample_type,Acetobacteraceae,Acholeplasmataceae,Acidaminococcaceae,Acidimicrobiaceae,Actinomycetaceae,Aerococcaceae,Aeromonadaceae,Alcaligenaceae,Alcanivoracaceae,Alicyclobacillaceae,Alteromonadaceae,Anaeroplasmataceae,Aurantimonadaceae,Bacillaceae 1,Bacillaceae 2,Bacillales_Incertae Sedis XI,Bacteroidaceae,Bacteroidales_incertae_sedis,Beijerinckiaceae,Bifidobacteriaceae,Bogoriellaceae,Bradyrhizobiaceae,Brevibacteriaceae,Brucellaceae,Burkholderiaceae,Burkholderiales_incertae_sedis,Campylobacteraceae,Cardiobacteriaceae,Carnobacteriaceae,Caulobacteraceae,Cellulomonadaceae,Chitinophagaceae,Chloroplast,Clostridiaceae 1,Clostridiaceae 2,Clostridiaceae 4,Clostridiales_Incertae Sedis XI,Clostridiales_Incertae Sedis XII,Clostridiales_Incertae Sedis XIII,Clostridiales_incertae_sedis,Comamonadaceae,Coriobacteriaceae,Corynebacteriaceae,Coxiellaceae,Cryomorphaceae,Cytophagaceae,Deferribacteraceae,Deinococcaceae,Dermabacteraceae,Dermacoccaceae,Desulfobacteraceae,Desulfobulbaceae,Desulfovibrionaceae,Dietziaceae,Enterobacteriaceae,Enterococcaceae,Erysipelotrichaceae,Erythrobacteraceae,Eubacteriaceae,Fibrobacteraceae,Flammeovirgaceae,Flavobacteriaceae,Fusobacteriaceae,Geodermatophilaceae,Gracilibacteraceae,Halomonadaceae,Helicobacteraceae,Hydrogenophilaceae,Hyphomicrobiaceae,Iamiaceae,Incertae Sedis IV,Incertae Sedis XI,Intrasporangiaceae,Lachnospiraceae,Lactobacillaceae,Legionellaceae,Leptotrichiaceae,Leuconostocaceae,Listeriaceae,Marinilabiaceae,Methylobacteriaceae,Methylocystaceae,Microbacteriaceae,Micrococcaceae,Moraxellaceae,Mycobacteriaceae,Mycoplasmataceae,Neisseriaceae,Nitriliruptoraceae,Nocardiaceae,Nocardioidaceae,Oxalobacteraceae,Paenibacillaceae 1,Pasteurellaceae,Peptococcaceae 1,Peptostreptococcaceae,Phyllobacteriaceae,Planococcaceae,Polyangiaceae,Porphyromonadaceae,Prevotellaceae,Promicromonosporaceae,Propionibacteriaceae,Pseudomonadaceae,Pseudonocardiaceae,Puniceicoccaceae,Rhizobiaceae,Rhodobacteraceae,Rhodocyclaceae,Rhodospirillaceae,Rikenellaceae,Ruaniaceae,Ruminococcaceae,Saprospiraceae,Segniliparaceae,Sphingobacteriaceae,Sphingomonadaceae,Spirochaetaceae,Sporolactobacillaceae,Staphylococcaceae,Streptococcaceae,Succinivibrionaceae,Sutterellaceae,Synergistaceae,Syntrophorhabdaceae,Thermaceae,Thermomicrobiaceae,Thermomonosporaceae,Thermotogaceae,Veillonellaceae,Verrucomicrobiaceae,Victivallaceae,Xanthomonadaceae
ST00001,stool,0,0,2.21651006884002,0,0,0,0,0,0,0,0,0,0,1.74463301716192,0,0,5.49694038551252,0,0,0,0,0,0,0,1.74463301716192,0,1.74463301716192,0,0,0,0,0,0,0,0,0,2.21651006884002,1.74463301716192,0,0,0,3.38037637439502,1.74463301716192,0,0,0,0,0,0,0,0,0,0,0,3.86065427715812,0,4.17134094939769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.57691277268825,2.34078880503191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.63447064188699,0,0,0,1.74463301716192,3.03817070403565,0,0,0,0,0,0,0,0,0,0,0,5.4153538584486,0,0,0,0,0,0,0,2.94136011792819,0,0,0,0,0,0,0,0,4.21964254776225,1.74463301716192,0,0
ST00003,stool,0,0,4.34970695778801,0,0,0,0,0,0,0,0,0,0,1.88482909865051,0,0,5.25479608918374,0,2.05902897547001,2.05902897547001,0,0,0,0,0,0,1.58942432368907,0,0,0,0,0,2.65823635862212,1.88482909865051,0,0,2.27935866611035,2.35815931575529,3.25958026060538,0,2.05902897547001,4.2629691300957,0,0,0,0,0,0,0,0,0,0,4.03753238755996,0,2.754955529891,0,4.03753238755996,0,0,0,0,0,0,0,0,0,0,0,2.42483404646077,0,0,0,0,5.19719615275357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.58942432368907,2.35815931575529,0,0,0,4.98617483348771,3.14661176383578,0,0,1.88482909865051,0,0,0,0,0,0,5.20228171576744,0,5.52085329356261,0,0,0,0,0,0,0,2.35815931575529,0,3.59104866478939,1.58942432368907,0,0,0,0,0,0,3.29432399006467,2.53361550533853,0
ST00005,stool,0,0,3.04307593336909,0,2.11526447214558,2.64034269469565,0,0,0,0,0,0,0,3.29278130991022,0,2.87513948117301,5.57735984859209,0,1.33104156462421,1.68728127110833,0,0,0,0,2.01348937792771,0,2.01348937792771,1.16496632404373,2.76333596924606,0,0,1.16496632404373,1.68728127110833,0,0,0,1.54470778475127,0.892668772044713,2.01348937792771,0,1.16496632404373,3.65933742621626,1.16496632404373,0,0,0,0,0,0,0,0,0,2.28259703741253,0,3.49700668796493,1.16496632404373,4.06721547614157,0,1.62181908087074,0,0,0,1.45088431487084,0,0,0,0,0,0,0,0,1.16496632404373,0,5.55942301357076,2.70326007825202,0,0,1.79443834712904,0,0,0,0,0,2.31240919311456,1.16496632404373,0,0,1.16496632404373,0,0,0,0,0.892668772044713,2.35360953429136,1.79443834712904,3.81050085908951,0,0,0,3.61931302243725,2.31240919311456,0,0.892668772044713,0,0,0,0,0,0,0,3.06143133318604,0,5.13040577305981,0,0,0,0,0,0,0,4.34063833802869,0,3.20450659424847,0.892668772044713,0,1.88031906627574,0,0,0,4.79715099320045,1.16496632404373,0,0
ST00006,stool,0,0,4.45809111038211,0,1.93615103735206,0,0,0,0,0,0,0,0,0,0,0,5.56973107413742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33106205392756,3.14888321887856,0,0,3.58441652044409,0,0,0,0,0,0,0,0,0,0,3.26376604294573,0,0,0,4.19711487278043,0,0,0,0,1.6401228835014,0,0,0,0,0,0,2.11056213180568,0,0,0,0,5.44676765708659,1.93615103735206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6401228835014,0,0,0,4.72974965376008,3.21011231469904,0,0,0,0,0,0,0,0,0,4.32468668391921,0,5.27519062482534,0,0,0,0,0,0,0,3.02840791601998,0,4.48981354692425,0,0,0,0,0,0,0,0,0,0
ST00008,stool,0,0,4.84487770138786,0,0,0,0,0,0,0,0,0,0,1.50429092606592,0,0,5.00222893398524,0,1.21665094882776,1.21665094882776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.50429092606592,2.3953161202049,0,0,2.93031777358928,0,1.50429092606592,0,0,0,0,0,0,0,0,3.5751667046784,0,2.09603032260527,0,3.18536360696713,0,0,0,0,0,1.79846784774011,0,0,0,0,0,1.67582550567198,0,0,0,0,4.91348017955506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21665094882776,1.21665094882776,0,0,0,4.70439948961082,5.63344384336592,0,0,0,0,0,0,0,0,0,4.69582337247665,0,5.14991875893206,0,0,0,0,0,0,0,1.50429092606592,0,4.8331999682776,0,0,0,0,0,0,3.0410985154571,2.03853543400271,0,0
ST00009,stool,0,0,4.65923501574096,0,2.42032928136257,0,0,0,0,0,0,0,0,1.94649533417679,0,2.12094604978741,5.72581639364451,0,1.65035011056129,0,0,0,0,0,0,0,0,0,1.94649533417679,0,0,0,0,2.59587022852082,0,0,1.65035011056129,2.24506218487881,2.84526560613979,0,0,4.60901863235932,1.65035011056129,0,1.65035011056129,0,0,0,0,0,0,0,3.3649883203349,0,3.37310273996184,0,4.53095880655448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.34071131037847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.18487686739344,0,0,0,1.94649533417679,2.96321723088191,0,0,0,0,0,0,0,0,0,4.145706029514,0,5.01801754874338,0,0,0,0,0,0,0,3.03886230945971,0,1.65035011056129,0,0,0,0,0,0,2.12094604978741,1.65035011056129,0,0
ST00015,stool,0,0,4.77766810206396,0,1.92382930196455,1.45693768247009,0,0,0,0,0,0,0,2.61863901749535,0,0,5.82263522089275,0,0,0,0,0,0,0,0,0,1.17081406453407,0,1.99003609978589,0,0,0,1.62794424259477,0,0,0,1.75031812979619,0,1.75031812979619,0,0,3.26781070384038,0,0,0,0,0,0,0,0,0,0,0,0,3.32252173361577,0,3.09506299957503,0,1.45693768247009,0,0,1.45693768247009,0,0,0,0,0,0,0,0,0,0,0,5.33998176764987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45693768247009,0,0,1.45693768247009,0,0,0,4.24939901790489,2.78463778969128,0,0,0,0,0,0,0,0,0,3.11393349597765,0,4.01903479812659,0,0,0,0,0,0,0,3.4459783579147,0,4.2436154716632,0,0,0,0,0,0,1.84568193075313,0,0,0
ST00016,stool,0,0,3.68465108158068,0,1.92816391543982,0,0,0,0,0,0,0,0,1.80492987315575,0,0,5.79642507390199,0,1.34121051475364,0,0,0,0,0,0,0,0,0,1.51065251975046,0,0,0,0,3.85312734807802,0,0,0,0,3.22969033026595,0,0,3.0159733341341,0,0,0,0,0,0,0,0,0,0,1.80492987315575,0,4.20350104291696,0,3.23501604285782,0,1.05953844756947,0,0,1.05953844756947,1.05953844756947,0,0,0,0,0,1.05953844756947,0,0,0,0,5.27757619833878,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34121051475364,0,0,0,0,0,0,1.05953844756947,1.34121051475364,0,0,0,4.65731853673893,4.27786068189744,0,0,0,0,0,0,0,0,0,4.50022751295558,0,4.74436687359308,0,0,0,0,0,0,0,2.55261660649203,0,0,0,0,1.34121051475364,0,0,0,1.87090337123609,0,0,0
ST00017,stool,0,0,3.64708893249215,0,2.80257777767233,0,0,0,0,0,0,0,0,3.91588906690285,0,0,5.00601726699073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.50100004717706,0,0,3.70506864425754,3.10326552002915,3.10326552002915,0,0,4.9257497948202,0,0,0,0,0,0,0,0,0,0,3.50100004717706,0,0,0,3.84334798333403,0,0,0,0,0,0,0,0,0,0,0,3.84334798333403,0,0,3.10326552002915,0,5.54696902529089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.50100004717706,0,0,0,4.18213279676169,3.50100004717706,0,0,0,0,0,0,0,0,0,3.75621165019037,0,5.57127149270575,0,0,0,0,0,0,0,4.19986042160123,0,3.40412428784188,2.80257777767233,0,0,0,0,0,2.80257777767233,0,0,0
ST00018,stool,0,0,4.28249047914446,0,2.44575017866186,0,0,0,0,0,0,0,0,3.00528785323193,0,0,5.42390681594097,0,0,0,0,0,0,0,2.48340904619428,0,0,0,1.71233403243647,0,0,0,2.58003359741292,0,0,0,1.71233403243647,3.29511339543057,3.47482617472526,0,1.88560861739426,3.85310863192969,0,0,0,0,0,0,0,0,0,0,2.65902443130647,0,0,0,4.82980399654084,0,2.25034381757244,0,0,0,0,0,0,0,0,0,1.41964608275451,0,0,0,0,5.56218650225361,0,0,1.71233403243647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.10519080045815,0,0,0,4.59815562504877,2.72583516112459,0,1.41964608275451,0,0,0,0,0,0,0,4.0840756356316,0,5.19596290620927,0,0,0,0,0,0,0,4.54142952925919,0,4.03832212123391,0,0,1.41964608275451,0,0,0,2.92183280045462,4.07769606859057,0,0
