Sample_ID,sample_type,Acholeplasmatales,Acidimicrobiales,Actinomycetales,Aeromonadales,Alteromonadales,Anaeroplasmatales,Bacillales,Bacteroidales,Bifidobacteriales,Burkholderiales,Campylobacterales,Cardiobacteriales,Caulobacterales,Chromatiales,Clostridiales,Coriobacteriales,Deferribacterales,Deinococcales,Desulfobacterales,Desulfovibrionales,Enterobacteriales,Erysipelotrichales,Fibrobacterales,Flavobacteriales,Fusobacteriales,Hydrogenophilales,Lactobacillales,Legionellales,Mycoplasmatales,Myxococcales,Neisseriales,Nitriliruptorales,Oceanospirillales,Pasteurellales,Pseudomonadales,Puniceicoccales,Rhizobiales,Rhodobacterales,Rhodocyclales,Rhodospirillales,Selenomonadales,Sphingobacteriales,Sphingomonadales,Spirochaetales,Synergistales,Thermales,Thermomicrobiales,Thermotogales,Verrucomicrobiales,Victivallales,Xanthomonadales
ST00001,stool,0,0,1.74249841132124,0,0,0,1.74249841132124,5.50031334696571,0,1.74249841132124,1.74249841132124,0,0,0,5.80696657705275,3.37820344227349,0,0,0,0,3.85848073771819,4.16916725646884,0,0,0,0,3.03599886014337,0,0,0,0,0,0,0,0,0,0,0,0,0,4.22173337402502,0,0,0,0,0,0,0,1.74249841132124,0,0
ST00003,stool,0,0,0,0,0,0,1.87026913908014,5.62780349031357,2.04440438594801,3.59283917315654,1.57505487110687,0,0,0,5.70535916672702,4.24821436296834,0,0,1.57505487110687,4.02277817788614,2.74022633035385,4.02277817788614,0,1.57505487110687,0,0,2.41013488791222,0,0,0,0,0,0,0,1.87026913908014,0,2.56452982898139,0,0,0,4.33568623427087,0,0,0,1.57505487110687,0,0,0,3.27957602501557,2.51890384461755,0
ST00005,stool,0,0,2.56501254770776,0,0,0,3.43365477965226,5.58427533616729,1.68558424067609,3.23652046573342,2.01177350881802,1.16335235563951,0,0,5.70257637775099,3.65760510720845,0,0,0,2.28087339507647,3.49527454136577,4.06548292544517,0,0,1.44921308709507,0,4.37052935805716,0,0,0,1.16335235563951,0,0,2.35188452576128,1.16335235563951,0,1.3293898694551,0,0,0,4.80299574461222,1.54302461407753,0,0,0.891158306355626,1.87860923649964,0,0,1.16335235563951,0,0
ST00006,stool,0,0,1.93474319120325,0,0,0,0,5.65110713104064,0,4.48838922062372,0,0,0,0,5.67207834880074,3.58299251942244,0,0,0,3.26234244772367,0,4.195690590912,0,1.63873118459472,0,0,3.06037840242349,0,0,0,0,0,0,0,0,0,2.10914881965324,0,0,0,4.45731159737863,0,0,0,0,0,0,0,0,0,0
ST00008,stool,0,0,0,0,0,0,1.49986392060286,5.79658742977765,1.21235901898073,4.83167613437398,0,0,0,0,5.36030077085249,2.92575230862296,0,0,0,3.5705970671742,2.09149629592589,3.18079574594283,0,0,1.79397006514164,0,1.49986392060286,1.49986392060286,0,0,0,0,0,0,0,0,1.79397006514164,0,0,0,4.84716573711091,0,0,0,0,0,0,0,2.03400662077112,0,0
ST00009,stool,0,0,2.54302337621251,0,0,0,2.33964905090721,5.73778192900409,0,1.64855406884313,0,0,0,0,5.51421336798967,4.60718145366164,0,0,0,3.36315189083807,3.37126629575835,4.52912163677587,0,1.94467893471714,0,0,3.07042098256298,0,0,0,0,0,0,0,0,0,1.64855406884313,0,0,0,4.65905857959615,0,0,0,0,0,0,0,1.64855406884313,0,0
ST00015,stool,0,0,1.92243214408228,0,0,0,2.64519157877177,5.83549305810829,0,4.24527298473363,1.16949559484913,0,0,0,5.36023871264852,3.26639743207074,0,0,0,0,3.32110837136073,3.09365010124227,0,1.45557310068274,0,0,3.46758500471227,0,0,0,0,0,0,0,0,0,0,0,0,0,4.77695447218007,0,0,0,0,0,0,0,0,0,0
ST00016,stool,0,0,1.92660765766472,0,0,0,1.8033797229299,5.85853272912129,0,0,0,0,0,0,5.40441686756321,3.01439998224824,0,0,0,1.8033797229299,4.20192626902576,3.23344208858551,0,1.05810111393929,1.05810111393929,0,2.58766994438121,0,0,0,1.33970755167542,0,0,0,0,0,1.50912632774739,0,0,0,3.69053088388392,0,0,0,0,1.33970755167542,0,0,0,0,0
ST00017,stool,0,0,2.79414217415628,0,0,0,3.90744105717559,5.09447744545,0,3.39567860705818,0,0,0,0,5.87153869008295,4.9173008508199,0,0,0,3.49255369371935,0,3.83490016185194,0,0,0,0,4.19141191486643,0,0,0,0,0,0,0,0,0,3.83490016185194,0,0,0,3.69662128158788,0,0,0,2.79414217415628,0,0,0,0,0,0
ST00018,stool,0,0,2.48259999092003,0,0,0,3.00447693126575,5.50194498800061,0,4.05233291054587,0,0,0,0,5.72252862918661,3.85229702126099,0,0,0,2.65821448820429,0,4.82899228394727,0,0,1.71153806479081,0,4.54219302739331,0,0,0,0,0,0,0,0,0,1.41886527198851,0,0,0,4.30073379820652,0,0,0,0,1.41886527198851,0,0,4.07688441191297,0,0
