Sample,ruralurban,Acidobacteria,Actinobacteria,Aquificae,Armatimonadetes,Bacteroidetes,Balneolaeota,Calditrichaeota,Candidatus.Bipolaricaulota,Candidatus.Cloacimonetes,Candidatus.Gracilibacteria,Candidatus.Korarchaeota,Candidatus.Micrarchaeota,Candidatus.Saccharibacteria,Chlamydiae,Chlorobi,Chloroflexi,Chrysiogenetes,Coprothermobacterota,Crenarchaeota,Cyanobacteria,Deferribacteres,Deinococcus.Thermus,Dictyoglomi,Elusimicrobia,Euryarchaeota,Fibrobacteres,Firmicutes,Fusobacteria,Gemmatimonadetes,Ignavibacteriae,Kiritimatiellaeota,Lentisphaerae,Nitrospirae,Planctomycetes,Proteobacteria,Spirochaetes,Synergistetes,Tenericutes,Thaumarchaeota,Thermodesulfobacteria,Thermotogae,Verrucomicrobia,candidate.division.Zixibacteria
081A,urban,2.03610876231064,3.96007043015704,1.60085111409325,1.39946339116749,5.73749119651147,1.08019958941691,0.728615525732895,0.591303985644975,0.437955003878985,0.622459113066525,0,0,1.43790217664881,1.42860670422148,2.1006554143545,2.08746153902472,0.999855169895492,0.622459113066525,1.73559542110651,2.7881217767839,1.8579514115432,2.29359439423796,0.973877319660945,1.22197757491412,2.65513281015484,1.4238832787243,5.61125420178712,2.59158607209805,1.22197757491412,1.31669611359054,1.3735881625402,1.44247635326349,1.56117574224258,2.69633670493477,4.4773178967449,3.29748672928523,1.78996787840613,2.6774169328454,1.35728914927516,1.52131944980462,2.04980839313019,2.48243659674697,0.773322320450417
082A,urban,1.61681728383148,3.79168909800829,1.32821096653814,1.12892598347399,5.85557030335863,0.749805023841896,0.682799752364181,0.256148149354615,0.664298546283908,0.0795098195727359,0,0,1.18368212876338,1.31993665928189,1.70779278612179,1.74856673606978,0.381360163118213,0.664298546283908,1.22195752519463,2.52492742945185,1.46429801623693,1.7454420478033,0.557724527479339,1.3784621814535,2.30816853073773,1.00177135108427,5.42177448996585,2.30816853073773,0.846785204672886,1.26193122515509,0.70054489503563,0.946227238414586,1.33633057206997,2.24746923535538,3.99982552283041,2.83866866230622,1.59961332816592,2.25042036063564,1.12892598347399,1.17209676427972,1.73432512405592,2.49135728245219,0.624749315663201
083A,urban,1.19535143696809,3.97330054480632,0.940058494727113,0.368205618388117,5.89181085137519,0.546646465616092,0.339705447904763,0.0600496122043994,0.240904512861017,0.112795827898075,0.112795827898075,0,1.05044358082067,1.23833035703927,1.32565379912207,1.4257504766261,0.202253712709825,0.339705447904763,1.02078486742484,2.22446081344641,0.954598419948721,1.39574303133395,0.546646465616092,0.59831939699153,1.928298054606,0.840820435287069,5.28086770606454,3.00044823093352,0.443953784196656,0.564562651637219,0.368205618388117,0.614262237973242,0.96168981978096,1.8583970164572,4.26422659872641,2.07186985859671,1.01460208772662,1.92217836916664,0.947389303020268,0.86783538995575,1.43293920990984,1.78254776289521,0.711973672371145
084A,urban,1.64991471485726,3.78382003331427,1.34238680917333,0.895466329242731,5.57093308642416,1.00636861485171,0.820423190995381,0.210508038469941,0.458052132759693,0.262833291719043,0.0820319884530819,0,1.22532512536448,1.46028090755242,1.77241548336443,1.8678561191442,0.712486055036728,0.895466329242731,1.4695670143267,2.52247132539598,1.47865871464921,1.97473434525212,1.01517635964549,1.03227343039486,2.40981202511164,1.1018349159576,5.62267750300338,2.34431594857974,1.04872284884769,1.32565052255654,0.978820064009913,1.08731107737427,1.26632191770675,2.29823188373324,5.30077250408039,2.47495729664899,1.60747145364362,2.27104475038865,1.04057601511995,1.10891866306945,1.76781664853289,2.10305484021163,0.675984483950716
085A,urban,2.00451491530529,3.91685028329882,1.74783352057256,1.48056037951761,5.74978887180722,0.231607807678612,0.655398931529954,0.131063798133134,0.493266610917273,0.131063798133134,0,0,1.54180425772669,1.73675671455925,2.26441343836976,2.26441343836976,0.581855213762086,1.37835479419491,2.06253738452371,2.81424571339461,2.0394122511641,1.93575724037431,0.942006383248671,0.718273634955727,2.7246555971008,1.22665670551759,5.56245224128413,2.47876132281826,1.43245726941537,1.50990296804005,1.40323573415015,0.655398931529954,1.54617614957994,2.57619544925773,4.71994049881764,2.66574962202563,1.32385944600634,2.23247443424592,1.76393637522162,0.886104356358559,1.84537809958186,3.91932586681973,0.131063798133134
086A,urban,1.00538924535105,3.25695512731563,1.08055950736815,0.307544535914297,5.86382606810283,0.239518753083466,0.33793860708461,0,0.274862188768437,0.201042161773218,0,0,1.41530381035936,1.13065199601887,0.972618824609036,1.29750732490627,0.33793860708461,0.059629766167246,1.26403062938226,2.12197815556052,1.0239266701784,1.23152314855567,0.856206712026018,0.611795519440856,2.00781194381456,0.756606276379245,5.39100552189764,2.32703927746978,0.239518753083466,0.56219223718669,0.485785772328568,0.595882381437338,0.809255535245946,1.74852556798048,4.30609259103227,2.15451453390558,1.05878433229374,2.11907249962708,0.986025152527906,0.865017194138675,1.7334401363364,1.79805370021331,0.656309626396513
091A,urban,1.62695639586023,3.65329967310374,1.44616675112262,0.928017363304582,5.88307739550218,0.65085455418083,0.698707522483329,0.0695873323581453,0.557113080871025,0.129549203583313,0.0695873323581453,0,1.41247369111259,1.34637971126617,1.55755414572935,1.87018198079629,0.615747106208658,0.557113080871025,1.33605971204148,2.40813434118344,1.18327266213592,1.93086818249381,0.936835050193384,0.936835050193384,2.30023119563189,1.14175838629092,5.34469347440082,2.44188007250018,1.04451382325813,0.781013148659425,0.65085455418083,0.928017363304582,1.1782952683948,2.27131323815502,3.86742882137583,2.70742777416097,1.56378056724642,2.29298804887333,1.05792849078239,0.986282754094587,1.74346014299344,2.92617128739179,0.65085455418083
093A,urban,1.69617934111785,2.92674476126387,0.859129171091249,0.728061905544778,5.92922554243068,0.520887245892052,0.606648303412533,0.198525335787544,0,0,0,0,1.0847826332849,0.92370447760878,1.40131421353769,1.28126122028346,0.271674621011642,0.198525335787544,1.06356803611628,2.13223949366214,0.77275625192354,1.27462569012412,0.501497830966365,0.916138477527169,1.83486105261626,0.437522617677367,5.08856048777447,4.1771264420422,1.17763397317002,0.884483184550042,0.750983776257018,0.664830382077608,1.2325311114745,1.97784812399266,4.04640359524788,1.96028216307067,0.90843832690415,1.83669777521437,0.803495827940349,0.539447875313832,1.36486358834712,1.68332573695155,0.0587600399157311
094A,urban,1.69990462061629,3.69801429914297,0.927855652281314,0.902692680915866,5.91582118357179,0.463459347684937,0.682523375602907,0,0,0.119865751699202,0.119865751699202,0,1.34822507405526,0.951640186106422,1.29563545942758,1.38386918691468,0.463459347684937,0.439043780008154,1.17103702337851,2.26425889959461,0.875981613807564,1.47138615106527,0.529413642370288,1.06028325185256,1.96856407299035,0.385663795059427,5.18266705763114,2.62530360419578,1.22769303351154,0.902692680915866,0.966802386577964,0.682523375602907,1.161625370931,2.0556748136504,4.24363797998227,2.00959961607503,1.21944347335083,1.90815837135048,0.988597117506314,0.652859370772121,1.39234116403468,2.02680709187891,0.169314024850934
098A,urban,1.99931753603086,3.91389997138709,1.55392992660405,1.25489321855221,5.79924110290377,0.996064441328661,0.915885265927641,0.378789253158497,0.577986625417191,0.690021709002953,0,0.192250079613665,1.48843944313331,1.61377898694701,2.00173302991786,2.19258863029686,0.983687563890043,0.714033194260041,1.63948581532753,2.72016510296952,1.42513700491185,2.29388592107807,0.885493655584725,1.01980776949308,2.60984054000405,1.34009336026372,5.50282396321433,2.5026084883495,1.42056984346037,1.69657839722188,1.25489321855221,3.19279626323975,1.46421409838051,2.62184735633497,4.47722983448597,2.99648351261279,1.75983004308469,2.52591767566905,1.455829091075,1.24811692341094,2.04086526482231,3.90048467695052,0.885493655584725
