Sample,ruralurban,Methanobacteria,Actinobacteria,Bacteroidia,Bacilli,Clostridia,Erysipelotrichia,Negativicutes,Fusobacteriia,Betaproteobacteria,Deltaproteobacteria,Gammaproteobacteria,Spirochaetia,Synergistia,Verrucomicrobiae,Saccharomycetes
081A,urban,0,2.78473958795313,5.86998427557023,3.3232974042099,5.31117924360268,1.57743921860012,4.56995903756715,0,3.73482138167596,0,3.70856322942346,3.54958296106964,0.943390354167771,0,0
082A,urban,0,3.78739761763613,5.86172652353131,3.38491427429674,5.26841396823056,3.22723149839116,4.75311660866816,0,4.11174198676322,0,3.3746604538299,3.64248021763911,0,2.76539263637172,0
083A,urban,0,4.12378315011129,5.8566534195247,3.58508323059486,5.34563327081946,2.75861052952934,0,3.11938517140506,3.85747205133465,3.53377624466404,4.47489524960893,0,0,0,0
084A,urban,0,3.23275884849428,5.59700491914601,2.58375203646418,5.65667135645686,2.01581049943083,2.91522071832569,0,2.87346887244282,0,5.16812162566444,0,0,0,0
085A,urban,0,3.6229410388835,5.94006110222839,1.78613401248788,4.94756100182886,1.49884405079207,3.52001127040585,0,3.5549902491366,3.52349652535096,4.14887005347133,0,2.45117082960055,4.05687954725193,0
086A,urban,0,3.18886533762517,5.8349602454378,3.2168446120631,5.44799525622766,1.10692041524756,3.70140357741367,0,3.32356827541166,0,4.40275792474353,0,0,0,0
091A,urban,0,3.1188830523059,5.84475276080767,2.77898777975326,5.3981679649718,2.08730060103059,4.61297141949453,0,2.72615908826508,0,3.30254815658622,3.33797733899113,0,3.42523098316693,0
093A,urban,0,2.328117612865,5.90254988715068,1.93351627202304,4.64491052845518,2.60933182941663,5.15787646176775,3.71249472532131,3.26881601518139,0,3.72393074245126,0,0,0,0
094A,urban,0,3.49231316758081,5.85885432603068,3.29874394600524,4.35999059104851,2.8987148262341,5.36310704964222,2.53909272952855,3.4357033797994,0,4.17261515196081,0,0,0,0
098A,urban,0,3.19979945093297,5.83293713727958,2.11502351897457,5.43923253259739,1.70972366928855,3.31379069945765,0,3.70868880505953,3.6379137351422,4.10996181534341,3.1843042601209,0,4.2229977985381,0
099A,urban,0,3.72740805416655,5.6584111391375,2.54823346722195,5.54107421312109,3.44903289142736,4.75316137654215,5.04739566097502,0,0,4.24532531021985,3.42128241987234,1.93022460080619,0,0
100A,urban,0,3.67289307363911,5.80834167057994,2.65685712473829,5.43065203839528,2.29151322956436,4.70745809123255,3.90210682611667,4.20334235270919,3.56276853649075,3.5193532653806,0,0,0,0
101A,urban,0,4.14528763865509,5.90098238583194,2.99377839235748,5.25901855812815,2.81187729171591,0,2.36030607798097,3.64552022182419,0,3.31475332797248,0,0,0,0
107A,urban,0,3.02244880571753,5.53578108820347,2.13459959118366,4.99772917319602,3.36021213408055,4.1337237305776,0,2.78966439688576,3.99950214182277,5.72382813220786,0,0,0,0
108A,urban,0,2.81657160365412,5.47926727976666,0,4.92140617854595,3.02979834910077,0,0,1.75776405266554,3.6537990469585,5.7843381634054,0,2.24852155375072,0,0
109A,urban,0,3.98675224071474,5.71120818117393,4.38048572513331,5.42781011906216,3.12043685445353,4.76524759240264,0,4.68527522479186,3.78827113302131,4.84542015716077,0,0,0,0
10A,rural,0,4.56074024234046,5.48439299850901,5.18374284708192,5.66965137955017,0,4.17576792491724,0,3.60573013919263,2.10769316703912,4.21357416194693,0,0,3.48355372771817,0
116A,urban,0,3.76227139093106,5.89425402646183,1.79205843589453,5.25177321395567,3.43900462636073,0,2.95161084033994,0,4.11461216662928,4.07547776617986,3.49945840496903,0,0,0
118A,urban,0,3.10223434139195,5.66170787691037,1.90097011897895,5.72294461435967,3.20398788704312,0,0,0,0,3.73718401784593,3.63703515162616,0,0,0
119A,urban,0,4.01057391147754,5.68463728906298,1.65850029523999,5.04062203640763,0,0,0,2.88531481321514,3.66824254635105,5.58517125746822,3.63289859986095,0,0,3.22521296098201
11A,rural,0,3.6459042502546,5.82999262069157,4.58738771577613,5.26717208812806,0,4.82617632617372,0,4.10239184289772,3.48243267525206,4.11822786863823,0,0,0,0
120A,urban,0,3.54594616551458,5.85279485025339,0,5.4092947970631,2.98178211601854,1.15600543482426,3.33403225372253,3.51429217186797,3.91059819730376,3.97929877102289,3.51622683038511,0,0,0
13A,rural,0,3.74297012803015,5.84384923904832,3.45558742469302,5.3746048502278,3.07585083849783,4.58409814904456,3.80423087970114,3.78916014929603,0,3.66404237330953,0,0,0,0
15A,rural,0,4.18273545447381,5.67290111457843,3.44133539022045,5.59722718970369,1.81164415438015,4.80636890512462,0,3.58411935691357,3.59869762059616,4.64019816509887,0,0,0,0
18A,rural,0,3.66331193991887,5.93234451467648,2.61121939185522,4.99938671639382,2.31865733021954,3.80586067626585,3.01285592024766,3.48581072141017,4.40070358079261,0,0,0,3.54870691360093,0
1A,rural,0,4.44694601594118,5.76043035379775,5.11503774866172,5.2438063954917,1.55367095035762,4.60011988916405,0,3.57672719123049,3.26871494303771,4.64417508435752,0,1.74065580113867,2.88117084789987,0
20A,rural,0,4.64848662780326,5.87342795901376,3.58164172907456,5.08109855276483,3.41050852297337,4.56779101933744,1.57194463789202,2.31089156244848,4.42217083652332,4.24920513299213,0,0,0,0
21A,rural,2.42397303045908,3.5334422872048,5.91024497370287,2.19444129642319,5.17636452222926,2.37514799753476,3.58403770460656,0,4.38573460118938,3.31902792986699,3.36599200092484,0,0,0,0
24A,rural,0,3.20216422405013,5.81857828584157,3.2437826051056,5.14866736289436,0,4.98488513581144,0,3.54060874568172,3.7855428649396,3.2849457557912,0,0,4.95049156880647,0
25A,rural,0,3.99380609965772,5.87923953620984,2.13519704485698,5.32638876500958,2.97701696439298,0,0,3.78134269152523,3.4455101226664,4.03960098711839,0,0,0,0
28A,rural,0,2.8610075649003,5.9125550481365,1.65585994317095,5.06690574659552,3.70489642186686,4.74125544292409,0,3.30922738646087,3.27384078872529,2.93282123026283,0,0,0,0
29A,rural,0,3.35887594668177,5.8384640695654,4.10836540589153,5.14615072157803,3.83137202157035,4.8466430359667,0,3.67820058448414,3.24592000290622,4.85693561917599,0,0,0,0
31A,rural,1.1570965585064,3.02065085128578,5.94309792736997,2.11807065978073,4.99764645553308,0,4.15758672963013,0,0,3.46112435518763,3.68928718672666,0,0,0,0
34A,rural,0,5.01755338677268,5.58406035804944,3.33659329038073,5.6876152280876,0,3.83993916249362,0,1.85426451619299,0,4.20045558678865,0,0,0,0
35A,rural,2.4215406990647,3.02761444383149,5.73174690986968,2.60299181522265,5.38445559926335,3.21414668468528,4.70677087596192,3.16788140106027,3.19913071279017,3.28319628009908,5.20197154533762,0,0,0,0
37A,rural,3.40836965973458,3.5316921237473,5.65873762654544,4.97913694868493,5.39906878300744,3.87123813705756,4.76986153926407,2.33238359987268,3.21932249270776,2.76873850665455,5.09190538154597,0,0,0,0
39A,rural,0,3.76623666404381,5.73866529659151,3.30059465224323,5.6132239926768,2.6082575809682,3.21139094159563,0,4.38448373217532,2.5653735314325,3.86126164308976,0,0,0,0
3A,rural,0,4.0819530927857,5.88607072446853,3.10497182982683,5.25816933925719,3.92330511978295,4.36767530489655,0,3.42546766227702,2.47708408087595,3.18653426572593,0,0,0,0
6A,rural,0,3.94098841302835,5.79740958013321,0,5.51737055789136,2.18334444363655,3.99591193279254,0,3.27803627107203,3.94295745897674,4.15278444417197,0,0,0,0
7A,rural,0,3.78517632957991,5.27367981154265,4.75794262722553,5.8689239313501,3.41836288316861,3.17925569101857,0,0,2.53595119461742,3.68969408922823,0,0,0,0
