Sample,ruralurban,Methanobacteriaceae,Actinomycetaceae,Micrococcaceae,Bifidobacteriaceae,Coriobacteriaceae,Bacteroidaceae,Porphyromonadaceae,Prevotellaceae,Rikenellaceae,Staphylococcaceae,Carnobacteriaceae,Enterococcaceae,Lactobacillaceae,Leuconostocaceae,Streptococcaceae,Clostridiaceae,Clostridiales_Family_XIII_Incertae_Sedis,Clostridiales_Family_XI_Incertae_Sedis,Eubacteriaceae,Lachnospiraceae,Oscillospiraceae,Peptostreptococcaceae,Ruminococcaceae,Erysipelotrichaceae,Acidaminococcaceae,Veillonellaceae,Fusobacteriaceae,Leptotrichiaceae,Oxalobacteraceae,Sutterellaceae,Desulfovibrionaceae,Aeromonadaceae,Succinivibrionaceae,Enterobacteriaceae,Pasteurellaceae,Spirochaetaceae,Synergistaceae,Verrucomicrobiaceae,Saccharomycetaceae,Myoviridae,Podoviridae,Retroviridae,Virgaviridae
081A,urban,0,0,1.47126507002661,0,2.61875251826983,5.58609959434055,4.44821820843711,5.48327111132076,2.72867311231897,0,0,0,0,0,3.20358012617047,2.81239557668005,0,0,4.68250495848539,4.84736800183993,3.41235457583986,2.44054208781865,5.02284246237118,1.55005760834507,0,4.61106537593471,0,0,0,3.5429971640388,0,0,0,3.69427543884702,2.31199219376796,3.41273134002768,0.918540555988303,0,0,0,0,0,0
082A,urban,0,0,0,0,3.58348910339414,5.75927956836954,4.64288202538882,4.35478423339982,4.99821107818945,0,0,0,0,0,3.20347010739148,3.59383667104208,0,0,3.80811814952066,4.84474164948126,3.20225775391717,2.75949352133411,5.0142838794073,3.13734133270613,0,4.73242567374107,0,0,0,3.87910885790115,0,0,0,3.3082048569827,1.75900254491583,3.44381788534176,0,2.49571297462757,0,0,0,0,0
083A,urban,0,0,0,3.70255467752221,3.06885834973774,5.84616750284947,4.22532857908837,0,4.56495248614495,0,1.61615391832292,0,0,0,3.37683141025218,3.34990069966472,0,0,1.69084367748324,4.98689737121709,3.09533450176805,2.70083291447879,5.04955462946855,2.65040261457565,0,0,2.98998101427483,0,0,3.24226340782892,3.30297072627312,0,0,3.85085053578593,4.02974486169189,0,0,0,0,0,0,0,0
084A,urban,0,0,0,1.62108892038864,3.02047525183512,5.57205179942445,4.21647223766693,1.89933414906285,4.62623873276628,0,0,0,0,0,2.416309249144,2.55240198099684,0,2.03209037152244,5.30197773074381,4.79080786326178,3.51199064029288,0,5.21168705977126,1.94033744592204,0,2.90828838015087,0,0,0,2.26895668860542,0,0,0,5.13582934463744,0,0,0,0,0,0,0,0,0
085A,urban,0,0,0,3.32883128734927,2.69195997818429,5.25738469977848,4.43098057208207,5.80548465009288,0,0,0,0,0,0,1.71271360173992,3.92063474232323,0,0,3.24828238805413,4.34102218229243,4.00185277881155,2.33208574656608,4.87152515639002,1.51639275355992,0,3.60737697940251,0,0,0,3.43554203242534,3.41916595754241,0,0,4.21096241600617,0,0,2.46921957469352,3.89495510856703,0,0,0,0,0
086A,urban,0,0,0,2.74913937197041,2.23557133120658,5.83983754056983,4.60483613405555,0,0,0,2.03094102869921,0,0,0,2.96434889503918,4.12941521915935,1.46696039198358,0,5.01117675729359,4.91688000100088,0,3.26257635507524,4.61023552536071,1.00858034542692,0,3.66285252271678,0,0,0,3.15007290781899,0,0,0,4.18958018073019,3.56228248228785,0,0,0,0,0,0,0,0
091A,urban,0,0,0,2.04630843494653,2.79522774170969,5.84954268260321,0,0,4.38923093658718,0,0,0,0,0,2.57074040439739,2.91248442641249,0,0,4.64724530760433,4.93994090629318,3.09754614827227,0,4.96342256353977,1.97125782947959,0,4.56508906147673,0,0,2.76204526436552,0,0,0,0,3.22942066511104,0,3.11226691545467,0,3.12815728032616,0,0,0,0,0
093A,urban,0,0,0,0,2.10861325465126,5.82929876314866,5.02046580417903,0,4.57126324306269,0,0,0,0,0,1.73860060027632,4.14120808456689,0,0,1.7949349092457,3.99458825054915,3.21092094740774,0,4.2115743705083,2.50254349785025,0,5.12004776228821,3.58442541432653,0,0,2.69070473379136,0,0,0,3.66083296228248,0,0,0,0,0,0,0,0.0874769900498717,0
094A,urban,0,0,0,3.11321993166347,1.90495913681949,5.85219541814846,4.65988261351049,0,0,0,0,0,2.80700944310704,0,2.74275139597308,3.72164169163013,0,0,2.0871736678827,4.12130460930019,0,2.40370938988149,2.68980362218249,2.78273321261699,0,5.31621591572389,2.40236944792735,0,0,2.87998429110671,0,0,0,4.05983429081609,2.81121768118986,0,0,0,0,0,0,0,0
098A,urban,0,0,0,2.84375546659045,1.78768120182724,5.75108486157195,4.72333383549726,0,4.96476766670782,0,0,0,0,0,1.93963117705254,2.46232988121664,0,0,4.87851675664316,4.88212346477868,3.02107473084862,0,5.04006638029055,1.62612693521202,0,3.29763426834006,0,0,0,3.09036171548017,3.43011244099536,0,0,4.05005982929433,2.44871540326737,2.99027012866392,0,3.95752506991719,0,0,0,0,0
099A,urban,0,0,1.84262820239262,3.36551221667219,2.24453292683862,5.70993840908729,0,0,3.66751379299455,0,1.93797843469015,0,0,0,2.13818608590277,4.1396332994124,1.48390186756637,0,5.12065274685481,4.92400439756584,2.8712797308973,0,4.94917215017134,3.36188106328434,0,4.73523486645048,4.93918312186771,0,0,0,0,0,0,4.13525975304986,3.11617147779717,3.22541585234358,1.84417078409504,0,0,0,0,0,0
100A,urban,0,0,0,3.16531561484755,3.11792521010155,5.50780912264391,3.69552226368926,5.40713260222521,4.62130315038797,0,0,0,1.94421489227136,0,2.38170711183096,0,0,0,4.52597409443139,4.84868927466198,3.08619372539955,0,5.2895865641104,2.24914271946909,0,4.73411746077302,3.83848888081988,0,0,3.74457220153978,3.39779323243517,0,0,3.52077441553649,0,0,0,0,0,0,0,0,0
101A,urban,0,0,0,3.67473438118371,3.26093973040935,5.89133663686113,4.41704637857081,1.82669097050562,4.21672804578033,0,0,0,0,0,2.78485386949514,3.7743756333431,1.41182854847861,0,2.80291988768714,4.97518462114568,3.75215486324404,1.16701012708288,4.78844328403084,2.69451332201031,0,0,2.22212460658611,0,0,2.9952921786026,0,0,0,3.24119134843878,0,0,0,0,0,0,0,0,0
107A,urban,0,0,0,0,2.84405294761814,5.44356111649066,4.52253198923215,0,4.76741245165805,0,0,0,0,0,1.97963821951057,2.29214302562992,0,0,3.4719355220964,4.60247865623941,3.14709887241566,2.43196485912909,4.78697789416113,3.29567337223785,3.98672776118059,0,0,0,0,2.67622451517447,3.81249526457298,0,0,5.70324262937144,0,0,0,0,0,0,0,0,0
