Sample,ruralurban,Methanobrevibacter,Actinomyces,Rothia,Alloscardovia,Bifidobacterium,Gardnerella,Scardovia,Adlercreutzia,Atopobium,Collinsella,Eggerthella,Gordonibacter,Slackia,Bacteroides,Barnesiella,Butyricimonas,Coprobacter,Odoribacter,Parabacteroides,Paraprevotella,Prevotella,Alistipes,Gemella,Staphylococcus,Granulicatella,Enterococcus,Lactobacillus,Leuconostoc,Weissella,Lactococcus,Streptococcus,Butyricicoccus,Clostridium,Parvimonas,Flavonifractor,Eubacterium,Anaerostipes,Blautia,Coprococcus,Dorea,Roseburia,Oscillibacter,Anaerotruncus,Faecalibacterium,Ruminococcus,Subdoligranulum,Catenibacterium,Coprobacillus,Eggerthia,Holdemania,Solobacterium,Acidaminococcus,Phascolarctobacterium,Anaeroglobus,Dialister,Megamonas,Megasphaera,Mitsuokella,Veillonella,Fusobacterium,Leptotrichia,Oxalobacter,Parasutterella,Sutterella,Bilophila,Desulfovibrio,Aeromonas,Succinatimonas,Citrobacter,Cronobacter,Enterobacter,Escherichia,Klebsiella,Morganella,Plesiomonas,Salmonella,Shigella,Actinobacillus,Haemophilus,Borrelia,Pyramidobacter,Akkermansia,Ahjdlikevirus,P22likevirus,Gammaretrovirus,Tobamovirus
081A,urban,0,0,1.40400517228077,0,0,0,0,0,0,0,2.66102861980639,2.13843796854261,0,5.60060927399,0,0,0,3.76885420790162,4.50759621745943,0,5.47696567482302,2.74315617485043,0,0,0,0,0,0,0,0,3.19748346795219,0,2.96541872541786,0,1.12922874036097,4.74332786807622,1.98266533043077,3.4633951747843,4.21379229820418,2.97592489769615,4.69493530008461,3.42685877080424,0,4.85488948059232,3.40477439428046,4.31074163454484,0,0,0,1.73047359492191,0,0,0,0,4.40805842337912,0,0,0,2.84811325348312,0,0,0,3.57285284735957,0,0,0,0,0,0,0,0,3.77979843377354,0,0,0,0,0,0,2.24931826648335,2.97698822174322,0.959861294958176,0,0,0,0,0
082A,urban,0,0,0,0,0,0,0,3.54875733050338,0,0,2.95440862847231,2.3212293589182,0,5.76382860154258,3.74241712402622,0,0,4.18592398600494,4.50072103632838,4.45488850262815,0,5.00276007379984,0,0,0,0,0,0,0,0,3.18735468169568,0,3.73713874560792,0,0,3.85897354973412,1.94637446044779,3.67436691987458,3.3509716025898,4.00335525373058,4.79749141109135,3.20680395449224,1.20416268500429,4.84351659343269,4.26810842438806,2.99165916820489,0,0,0,3.31267239510663,0,0,0,0,4.45173989660609,0,0,0,3.7897055616972,0,0,0,3.89901056246034,0,0,0,0,0,0,0,0,3.33432331395718,2.48982815997266,0,0,0,0,0,1.68690422666336,2.99808676763321,0,2.35559264388721,0,0,0,0
083A,urban,0,0,0,0,3.77289336693832,0,0,0,0,3.03518010215586,0,0,0,5.84417230813211,0,0,0,3.51871854185842,4.27083332638808,0,0,4.56295734303197,0,0,1.59476451169708,0,0,0,0,0,3.3541797838112,0,3.48662987391018,0,2.26341482199494,1.73444382251185,1.96292480806912,3.7662073650584,3.30047337582741,3.06398165264922,5.00816490226115,3.09334090984237,0,4.90921164258121,4.08611650241454,3.12888647326627,0,0,0,1.79579830568431,0,0,0,0,0,0,0,0,0,2.98798786316101,0,0,3.25560926717881,0,3.44167685368019,0,0,0,0,0,1.90992582049448,3.66847774804828,3.62660989022666,0,0,0,0,0,3.95012106291054,0,0,0,0,0,0,0
084A,urban,0,0,0,0,1.68268887712678,0,0,2.73967589040663,0,2.48333942371213,2.22528398507671,2.18464792960698,0,5.56447633150466,0,0,2.37241394583199,3.82708159062106,4.10968585010245,0,1.87106349180874,4.61866342507776,0,0,0,0,0,0,0,0,2.38831165994575,0,2.68307831477199,1.87974557912621,0,5.34071564029784,0.929560410818862,3.83841106009126,3.76633938291479,3.51078189543102,4.46360430544226,3.50441750268194,0,4.72253803168265,4.92255285652136,3.82231438577246,0,0,0,2.10175887477414,0,0,0,0,2.66794638617077,0,0,0,1.51772836736704,0,0,0,2.27694944379578,0,0,0,0,0,0,0,2.22361824301942,5.19639418494274,3.02388286069177,0,0,0,0,0,0,0,0,0,0,0,0,0
085A,urban,0,0,0,0,3.40969118980293,0,0,0,0,0,2.8356481177579,0,0,5.26591241795854,0,0,0,0,4.58067868731519,0,5.79319740769697,0,0,0,0,0,0,0,0,0,1.70086433968258,0,4.06791862854558,0,2.53416834856554,3.30306447057855,2.49085908949828,3.7407252234984,0,0,4.30224125033572,4.01037970281398,0,4.71499227846628,3.78734498777365,3.85403590037175,0,1.68582761869161,0,0,0,0,0,0,0,0,3.39284025980645,0,2.53242930010041,0,0,0,3.45943566334208,0,3.56839197538834,0,0,0,2.29713887137991,0,0,3.67967502616579,4.2332913987614,0,2.116881040567,0,0,0,0,0,2.5146447271415,3.7579608419356,0,0,0,0
086A,urban,0,0,0,0,2.80398975748423,0,0,0,0,0,2.35337716819112,0,0,5.82251066706426,0,0,0,0,4.72868073106227,0,0,0,0,0,1.99127197708117,0,0,0,0,0,2.9264320454348,0,4.25085441170891,0,2.43034133172846,5.04016263995208,2.18236337417467,3.87051153459521,0,3.51311546413448,4.91477388664935,0,0,4.51403052044883,0,1.93218992940984,0,1.13649683466125,0,0,0,0,0,0,2.23298287011742,0,0,0,3.45229866347072,0,0,0,3.14807496197259,0,0,0,0,0,0,0,0,3.89919925888711,4.05420892653629,0,0,0,0,0,3.4673560000024,0,0,0,0,0,0,0
091A,urban,0,0,0,0,2.12627786885085,0,0,0,0,0,2.45649066997938,2.79235246446256,0,5.85774230552697,0,0,0,0,0,0,0,4.39743023950672,0,0,0,0,0,0,0,0,2.55828947193558,0,3.05938398744305,0,0,4.70175950862104,1.90830764939401,3.68550845810509,3.00816521839679,3.217041177512,4.92947328582836,3.10573929397393,0,4.81653487196559,3.61465442120092,4.03126929150539,0,0,0,2.14904079952232,0,0,0,0,4.36650854344059,0,0,0,0,0,0,2.52330728340045,0,0,0,0,0,0,0,0,0,3.30855561119982,0,0,0,0,0,0,0,2.67062308052006,0,2.99095803138601,0,0,0,0
093A,urban,0,0,0,0,0,0,0,0,0,0,2.23522124227343,0,0,5.82186649595284,0,0,0,0,5.15420700830464,0,0,4.563831165939,0,0,0,0,0,0,0,0,1.71140137834617,0,4.27253916214044,0,2.66719017274262,1.83329348806355,1.69054141682356,4.02208821349118,0,0,0,3.20349328143388,2.31035992276459,0,2.95186929104482,4.16846436746808,0,2.64726547901595,0,0,0,0,0,0,0,4.9987289806046,0,0,0,3.57696985575357,0,0,2.69861924856734,0,0,0,0,0,0,0,0,3.72441837360102,0,0,0,0,0,0,0,0,0,0,0,0,0.0861305435166604,0
094A,urban,0,0,0,0,3.19583942008615,0,0,0,0,0,2.04851582433707,0,0,5.86249651198227,0,0,0,0,4.81135565643041,0,0,0,0,0,0,0,2.84675538694605,0,0,0,2.73232212886657,0,3.86323607833815,0,2.9129075322277,2.14298679509316,0,4.15650317108525,0,2.27478931196052,0,0,0,0,0,2.69730555865099,0,2.76809259219128,0,0,0,0,0,0,0,5.21261640115018,0,0,0.742620147807472,2.41263024778701,0,0,2.90563645866908,0,0,0,0,0,3.45704082336952,0,3.25002143455041,3.60923937443216,3.80327807811149,0,0,0,0,0,2.74395049861528,0,0,0,0,0,0,0
098A,urban,0,0,0,0,2.91824943140878,0,0,1.85075982505063,0,0,0,0,0,5.75326479269298,4.19829754787251,2.2751189745848,0,4.25513824779416,4.36935979123701,0,0,4.96694757810372,0,0,0,0,0,0,0,0,1.92113292882365,0,2.60290953397631,0,0,4.92700892353713,2.04628054265275,3.24017953990964,4.68440528395325,3.16444083650767,4.3897888379258,3.0232525943488,0,4.92908774924817,3.11263474393722,3.85418867562197,0,0,0,1.79591553288957,0,0,0,0,3.07773041482139,0,0,0,1.68645237657322,0,0,0,3.10784498480912,0,3.57294438279275,0,0,0,0,0,3.16702160503666,4.0294539448154,2.44187184431861,0,0,0,2.9880667776277,0,2.37343810539373,2.54264124334399,0,3.81420638407463,0,0,0,0
