Sample,ruralurban,Methanobacteriales,Actinomycetales,Bifidobacteriales,Coriobacteriales,Bacteroidales,Bacillales,Lactobacillales,Clostridiales,Erysipelotrichales,Selenomonadales,Fusobacteriales,Burkholderiales,Desulfovibrionales,Aeromonadales,Enterobacteriales,Pasteurellales,Spirochaetales,Synergistales,Verrucomicrobiales,Saccharomycetales,Caudovirales
081A,urban,0,1.69648977525548,0,2.63852461817536,5.86165258805858,0,3.18551091116533,5.33939160346842,1.56933003284536,4.56162756514419,0,3.8430817539104,0,0,3.71409023146754,2.33171644083017,3.54125363534209,0.936015930918219,0,0,0
082A,urban,0,0,0,3.66548722570012,5.85379476984604,0,3.24750771604306,5.29702586296618,3.21930447729818,4.74518498530424,0,4.22041836135831,0,0,3.3901857221766,1.83971642333445,3.63455027625861,0,2.75747461027307,0,0
083A,urban,0,0,3.80760091226098,3.17384344968681,5.85329560065307,0,3.45220689576964,5.37881886266821,2.75525858254521,0,3.11602990850141,3.970711862238,3.44677277182142,0,3.95590212539523,4.1348008932624,0,0,0,0,0
084A,urban,0,0,1.67282134214331,3.07335408560633,5.5736550036273,0,2.43148908062503,5.66986537278673,1.99269177636051,2.89189990152249,0,2.96661893752555,0,0,5.18875535033547,0,0,0,0,0,0
085A,urban,0,0,3.30722398776177,2.67038733207006,5.9365549323707,0,1.65632519127707,4.98059770051107,1.49544948297543,3.51650615961122,0,3.66809690703351,3.43635530206471,0,4.18934608500957,0,0,2.44767711262109,4.05337368217474,0,0
086A,urban,0,0,2.8467081103967,2.33278699640645,5.82488289313909,0,3.0772784351621,5.47446143023509,1.09763934834972,3.69132823784674,0,3.43005799749017,0,0,4.2872992175016,3.65998319809715,0,0,0,0,0
091A,urban,0,0,2.15321369874978,2.90283872321068,5.83537557305848,0,2.6399587421616,5.42533444307202,2.07800092279003,4.60359444929226,0,2.8330597222171,0,0,3.33712832351635,0,3.32860449071048,0,3.41585734258274,0,0
093A,urban,0,0,0,2.21283300245311,5.90040944624688,0,1.80478220661726,4.6793117216359,2.6071966610401,5.15573603309602,3.71035469771878,3.38322912606891,0,0,3.76575896071462,0,0,0,0,0,0
094A,urban,0,0,3.2284281553399,2.0189833229342,5.85799085348744,0,3.16839085294249,4.3956691681215,2.89785244384841,5.36224357964878,2.53823175375759,3.55140376917697,0,0,4.17511171618818,2.92634751707995,0,0,0,0,0
098A,urban,0,0,2.91820963084727,1.86111514625849,5.82205448688553,0,1.97572743855559,5.46489360312511,1.6990559623146,3.30291338337686,0,3.81438466645718,3.54337407917975,0,4.12460606636554,2.52302389388108,3.17342880262185,0,4.21211579141608,0,0
099A,urban,0,2.12417161299329,3.4402690041378,2.31892791929582,5.6460114045078,0,2.40686889798064,5.56521812585119,3.43663760211593,4.74076183635093,5.0349960115058,0,0,0,4.21004112093644,3.19090529729849,3.40888742569927,1.9179725212306,0,0,0
100A,urban,0,0,3.1965227003198,3.14912992123696,5.79697016640711,0,2.51610009418547,5.45582425628487,2.28020058833168,4.69608679512049,3.8907367475054,4.30858345552034,3.46772845607042,0,3.55199301032371,0,0,0,0,0,0
101A,urban,0,0,3.78715627097929,3.37332824461426,5.89585308525469,0,2.8592291788272,5.29043343889353,2.80675594157056,0,2.35519927745284,3.75697633454346,0,0,3.35357733510737,0,0,0,0,0,0
107A,urban,0,0,0,2.88190433838382,5.50911540469323,0,1.98021120291452,5.00760712196752,3.33355836925835,4.10705998827633,0,2.87947936388315,3.88917211177911,0,5.74114592834382,0,0,0,0,0,0
108A,urban,0,0,2.09949454772156,2.48100868618569,5.44938777903379,0,0,4.92807149557238,2.99994762512651,0,0,1.84446910677132,3.54024260600103,0,5.79844208374855,0,0,2.21881644883175,0,0,0
109A,urban,0,0,3.51776896633464,3.44596815981133,5.69778617921752,0,4.23750639214946,5.45093202213004,3.1070251560893,4.75182579798526,0,4.78847038415481,3.6911834416833,0,4.82256083154918,3.6988529662492,0,0,0,0,0
10A,rural,0,0,4.25569786144492,3.61509030905994,5.49121810460506,0,5.06100243097452,5.71302004573685,0,4.18259260142274,0,3.7291353898428,2.03142177161739,0,3.69435492191933,3.88759563661336,0,0,3.49037663193353,0,0
116A,urban,0,0,3.17782041025425,3.37368390108595,5.8887390476333,0,1.65835159378204,5.28280231219784,3.43349166020919,0,2.94610205870378,0,4.02542439374988,0,4.11394988503704,0,3.49394517635869,0,0,0,0
118A,urban,0,0,1.30866011015473,2.95617645319558,5.64190775418775,0,1.75398477226696,5.73968811676137,3.18420038538177,0,0,0,0,0,3.76135579812584,0,3.61723965746927,0,0,0,0
119A,urban,0,0,3.7224494579442,2.62394755264814,5.66520267440599,0,1.51451547400342,5.05773067144492,0,0,0,2.98240478018604,3.56515267174312,0,5.60972029575085,0,3.6134685725033,0,0,3.20579013869343,0
