Sample,ruralurban,Euryarchaeota,Actinobacteria,Bacteroidetes,Candidatus_Saccharibacteria,Firmicutes,Fusobacteria,Proteobacteria,Spirochaetes,Synergistetes,Verrucomicrobia,Ascomycota
081A,urban,0,2.75567869349201,5.88855998571638,0,5.32871829090116,0,3.96704667218438,3.52048113843443,0.917696555337716,0,0
082A,urban,0,3.75803450916829,5.8800446027515,0,5.33595686076912,0,4.15443177544569,3.61311907274169,0,2.69879342211298,0
083A,urban,0,4.09829602830542,5.87885029679843,0,5.29316504562398,3.0939160173459,4.52167302450891,0,0,0,0
084A,urban,0,3.23812184784461,5.65005689356429,0,5.62728041612974,0,5.10590169990365,0,0,0,0
085A,urban,0,3.58545118629813,5.95024792696608,0,4.89182769910964,0,4.21981533716297,0,2.41381021435584,3.98209083615535,0
086A,urban,0,3.16632916851108,5.86009508865582,1.55998690278561,5.40043913935366,0,4.35150022305709,0,0,0,0
091A,urban,0,3.09317134802413,5.86670701049131,0,5.40922089975488,0,3.32676884959321,3.31225764746882,0,3.36224649268241,0
093A,urban,0,2.29100804470987,5.91294350053347,0,5.23258377570816,3.67520981569414,3.76935685495521,0,0,0,0
094A,urban,0,3.45819463998131,5.87241033314452,0,5.37491811924245,2.50506537829177,4.15486139644649,0,0,0,0
098A,urban,0,3.17750502220414,5.85831415128299,0,5.38466030547646,0,4.26436560193208,3.16201035625876,0,4.16338633608184,0
099A,urban,0,3.71750747502769,5.69619446521408,1.85384767914854,5.57007170629182,5.03749329537611,4.16520273450311,3.41138376127996,1.92043974886826,0,0
100A,urban,0,3.65069448315666,5.83382409650051,0,5.45506208709055,3.87990625159337,4.31684871125635,0,0,0,0
101A,urban,0,4.11279441796991,5.9161728162865,0,5.19459301394881,2.32795760407153,3.76582317365344,0,0,0,0
107A,urban,0,3.04457754518067,5.60561592919062,0,5.05440998323029,0,5.68328154001913,0,0,0,0
108A,urban,0,2.84514266614644,5.55556635553297,0,4.91999064342565,0,5.74550482254689,0,2.27697858508556,0,0
109A,urban,0,3.97505044391458,5.7471911730328,0,5.50674222989339,0,5.04403322178786,0,0,0,0
10A,rural,0,4.56420909221689,5.53554815401256,0,5.77745980118968,0,4.26199701553102,0,0,3.44971599974551,0
116A,urban,0,3.73231815306121,5.91198138126579,0,5.19314498489533,2.92168691103353,4.26172364392217,3.46950962554549,0,0,0
118A,urban,0,3.09778774601185,5.70494367496337,0,5.68389211563126,0,3.66251426041355,3.63258605318157,0,0,0
119A,urban,0,4.01423530938349,5.73598496040876,0,5.00835698164694,0,5.52409796302049,3.63655950452739,0,0,3.66698065777356
11A,rural,0,3.62024539759462,5.85201396603189,0,5.41458057274844,0,4.39500473969242,0,0,0,0
120A,urban,0,3.52119904038616,5.87572656155107,0,5.35023076375597,3.30928968648856,4.21498619434328,3.49148021851195,0,0,0
13A,rural,0,3.71691900915507,5.8654793798806,0,5.39009739624629,3.77817912233713,3.98379811778477,0,0,0,0
15A,rural,0,4.17582501522219,5.7136760989716,0,5.62790074969332,0,4.63618405953782,0,0,0,0
18A,rural,0,3.62817655682084,5.94488727453261,0,4.9602577613897,2.97774812514479,4.295312118914,0,0,3.47627633350175,0
1A,rural,0,4.42862453355052,5.78979425620792,0,5.49859929124201,0,4.61215947162613,0,1.72267354443964,2.82568650917569,0
20A,rural,0,4.62013511425028,5.89276173120818,0,5.1606225272784,1.54437680308891,4.50946668649015,0,0,0,0
21A,rural,2.46086437739797,3.49915644127653,5.92363471213388,0,5.1191457519006,0,4.41894798048712,0,0,0,0
24A,rural,0,3.17821315007122,5.84229776066294,0,5.33525988482127,0,3.95952281907515,0,0,4.88921902411293,0
25A,rural,0,3.96494361130651,5.89806008550685,0,5.26383212576111,0,4.2150714844926,0,0,0,0
28A,rural,0,2.82542388173085,5.92460635069093,0,5.1899161399406,0,3.58550677224877,0,0,0,0
29A,rural,0,3.33433847269618,5.86160155910356,1.69291844553572,5.31603365992091,0,4.80382345912268,0,0,0,0
31A,rural,1.18894382535703,2.98227848433519,5.95237326783724,0.900223857866665,4.98748412953026,0,3.75805578700277,0,0,0,0
34A,rural,0,5.01611792400338,5.63031122027152,0,5.6587871868835,0,4.13111027551035,0,0,0,0
35A,rural,2.48405763195931,3.01925128593046,5.77106182644927,0,5.43315955551456,3.15951605400411,5.13292585362559,0,0,0,0
37A,rural,3.47397124190794,3.52602533218069,5.70075506861085,0,5.58607963162693,2.32674167133201,5.02468883204545,0,0,0,0
39A,rural,0,3.75330938716828,5.77342191928863,0,5.5687552762683,0,4.48235947387238,0,0,0,0
3A,rural,0,4.05061101484103,5.90241198877904,0,5.26965123388895,0,3.59733606090433,0,0,0,0
6A,rural,0,3.923066376744,5.82717140559459,0,5.47763635403953,0,4.29175714079397,0,0,0,0
7A,rural,0,3.80259777589522,5.33879029728948,0,5.88699583674234,0,3.66208428472539,0,0,0,0
