Sample_Names,Alias,Geography,Acidimicrobiia,Acidithiobacillia,Acidobacteriia,Actinobacteria,Alphaproteobacteria,Anaerolineae,Aquificae,Archaeoglobi,Ardenticatenia,Bacilli,Bacteroidia,Betaproteobacteria,Blastocatellia,Caldilineae,Calditrichae,Candidatus.Brocadiae,Chitinophagia,Chlamydiia,Chlorobia,Chloroflexia,Chrysiogenetes,Chthonomonadetes,Clostridia,Coprothermobacteria,Coriobacteriia,Cytophagia,Deferribacteres,Dehalococcoidia,Deinococci,Deltaproteobacteria,Dictyoglomia,Elusimicrobia,Endomicrobia,Epsilonproteobacteria,Erysipelotrichia,Fibrobacteria,Fimbriimonadia,Flavobacteriia,Fusobacteriia,Gammaproteobacteria,Gemmatimonadetes,Gloeobacteria,Halobacteria,Hydrogenophilalia,Ignavibacteria,Kiritimatiellae,Ktedonobacteria,Lentisphaeria,Limnochordia,Methanobacteria,Methanococci,Methanomicrobia,Methanopyri,Methylacidiphilae,Mollicutes,Negativicutes,Nitriliruptoria,Nitrososphaeria,Nitrospira,Oligoflexia,Opitutae,Phycisphaerae,Planctomycetia,Rubrobacteria,Saprospiria,Spartobacteria,Sphingobacteriia,Spirochaetia,Synergistia,Tepidiformia,Thermococci,Thermodesulfobacteria,Thermoleophilia,Thermomicrobia,Thermoplasmata,Thermoprotei,Thermotogae,Tissierellia,Verrucomicrobiae,Vicinamibacteria,Zetaproteobacteria
ERR1135178,PIG-001,France,1.94422417032585,2.10817306248324,2.75052563378743,4.34552775760885,4.1854723922493,2.25915895433953,2.4454078519977,1.66103962624888,1.77930961198643,5.24217891106941,5.39397869598457,4.04191831595878,1.2223634095017,1.58712061952121,1.83680333073021,1.29718504562143,3.36387265241837,3.61421504340028,2.83222148572346,2.02845473806915,1.76617118439035,1.47251885610423,5.4612656505989,1.42400678534489,3.73273965630115,3.86773364475011,2.52549187853542,2.49607686454219,2.97227325384925,3.761312267246,1.72784606559743,1.63477207651522,1.6068129166136,3.86577607677613,3.54816031399768,2.24499821631312,1.55579948814501,4.15118753740214,3.28806741836727,4.70578266254712,2.1609693608514,1.85890521043734,2.74214825945234,1.36099081461768,2.05497330971274,1.64370562193061,1.64370562193061,2.23378221438075,1.94422417032585,2.57637143478155,2.34185702127971,2.80013001939898,1.03583147273122,1.70156976354625,3.52011407564097,4.70226961673056,2.00215214402449,1.89506755313918,2.24166372510062,2.56060070897593,2.61298687866092,2.36007342304778,2.89653203798892,2.32376751587571,2.33109398036615,1.03583147273122,3.5156841070275,4.75229245635841,2.75499679756886,1.48543923630322,2.3824249404668,2.18066975106464,1.59707837245252,1.72049936293939,4.01898399878369,2.43552476274924,2.75942239835156,3.08333924449361,2.73288661637112,1.57692918096458,1.93753336254482
ERR1135179,PIG-002,France,1.38313339558085,1.95693566691184,2.34899660330869,3.9328463893165,3.90496539399229,2.08620766179822,2.50180900617258,1.73251687371123,1.43537127468096,5.62027098562453,5.26816197419884,3.77017770916151,1.07221116312924,1.15783454763968,1.58046017894496,1.56855162910468,3.22716545686454,4.79767088969022,2.67532492259387,1.91006401048179,1.31300296765437,1.27909430157406,5.15884143861649,1.4745638216974,2.99643291234772,3.67150857455564,2.52108530367056,2.49614060615348,2.43167609371838,3.39162232258112,1.9786015920224,1.82531641901165,1.87574685970073,4.21542205217325,3.80263079983802,2.40699570164297,1.18785699848689,4.19053355999155,3.46029020966904,4.56054063818481,1.608876800102,1.53073169565428,2.34999626227108,0.611539622205081,2.27378892282663,1.18785699848689,1.38313339558085,1.72416020570818,1.12558151484179,3.26251885202937,2.54467473586961,2.78489481495225,0.307372684423481,1.66067504956402,3.72114001365066,4.66064139485528,1.56247262100322,1.83848356821606,2.13798234982473,2.65896978151784,2.16172514371138,2.14922402725923,2.58832608625593,1.92889753619822,2.23912030700097,0.989009057746741,3.51268934440495,4.14200911101668,2.42163304913945,0.914129632752106,2.25431836654178,2.25056842148826,1.07221116312924,1.29069385858619,2.91918305699639,2.57485293131333,2.93685858518117,3.15871324601655,2.43250262437797,1.17310515010302,1.80126730486484
ERR1135180,PIG-003,France,2.08953958714387,2.2061976752861,2.83119119514584,4.49726514427617,4.35437715766684,2.45127020027691,2.6804428417064,1.83915757216523,2.02422423539225,5.38148121431955,5.33719785504869,4.21066153213095,1.6090173394679,1.85737882984951,1.99142027649375,1.84286349650036,3.42704051129335,3.67165405033222,3.00018806177354,2.2602374111564,1.98879120743017,1.8042992962206,5.28082303496032,1.68957685998,3.77367132442005,3.92708610612072,2.53756162221997,2.6920855463896,3.14257980353492,3.9589587017505,1.98614612590577,1.98348483567552,1.77077550166519,3.9067056465012,3.83660790855787,3.52621926378499,1.71999853787108,4.24826983592971,3.44548510213408,4.76558099704796,2.3032067969748,2.01189879878745,2.97316323904354,1.37080472797379,2.31206535097961,1.94147505562572,1.76639705278599,2.76188081110864,1.96716525278384,3.28954301120749,2.54421828725024,2.94580265472213,0.939144642740166,1.74842801255724,3.69113362813232,4.9224066587608,2.12563632435613,1.86093310642864,2.44115254469302,2.7706841712519,2.78059223098974,2.47169296977318,3.1047018959407,2.50986518516468,2.44853413301396,1.29962455820065,3.61221072463406,4.41162741105336,2.99915934792846,1.61529429142176,2.55293804033773,2.40527929283096,1.79202911421013,1.92955050647567,4.1124033774375,2.69051616476682,3.04179810242016,3.22737866196092,2.87752865309102,1.65686258856185,2.00686898302565
ERR1135181,PIG-004,France,2.11783292851908,2.28261836677543,2.85862088412891,4.53412257032601,4.38885811234284,2.50591768984423,2.69402793192244,1.94872793923114,2.0652062214633,5.31604780426905,5.32192490126826,4.23157395187601,1.76060145049922,1.94872793923114,2.00531151157737,1.77030280681127,3.42045542629309,2.72545488751176,3.01638603921484,2.32607894077589,1.87619835619324,1.71404555357373,5.3262204357865,1.68584805801928,3.81601410133772,3.93607315051434,2.55268480482136,2.76846260116289,3.18298023113248,3.9667921250463,2.0163392526388,2.23923592903308,1.82010131633993,4.21768911440083,3.75685194895334,3.91569122767842,1.84503503467505,4.26573410520527,3.48829788455453,4.74885826291526,2.34564292146309,2.11998251762215,3.00368110586318,1.41047706600587,2.36436344842839,1.96434762997719,1.80707625397786,2.70308152577575,2.07720165311109,3.74420102287005,2.61593588696672,2.96958499050383,1.18522041342221,1.84905495156886,3.76469713333208,4.9368001197266,2.201822924302,1.8945977323909,2.46138669173159,2.76361841461865,2.83571645490565,2.49970115275207,3.1278809409518,2.58177431916168,2.44445246187632,1.08150605843578,3.60062343598945,4.34846356774961,3.13910506067745,1.77507341035203,2.52065457073762,2.42577187678629,1.85303800030331,1.93581466695607,4.15923591950773,2.69970850698425,3.04073247116661,3.28234872620336,2.90988053547243,1.71947183232985,1.95816700157674
ERR1135182,PIG-005,France,2.19357093272979,2.34845660349488,2.96871251679455,4.60345527323267,4.44366107635743,2.60158602604837,2.68031946236134,1.88503203886783,2.12503968227964,5.28242680152846,5.36671757983679,4.26320958250183,1.64724684461524,2.06887745756206,1.95767240413868,1.64724684461524,3.45177413405833,2.69987501499821,3.04987077558384,2.31730144860314,1.96117876011514,1.86370952677052,5.36078437557492,1.70129976607705,3.83922693864789,3.99042714842699,2.57860906421537,2.80719414090784,3.27361048603744,4.10069571811062,1.91322722131205,1.74936370962405,1.71382356394248,4.36226973060544,3.67079875020933,3.60728416921441,1.95413750837811,4.27940163792306,3.44883002969348,4.73105320027257,2.33537707696968,2.17262287497296,3.05157572104009,1.42712093240124,2.41716685355151,2.00435836756674,1.83665875410913,2.67630042053565,2.15955121999164,3.85942116015623,2.52580591545208,3.00586107987062,1.02364935675592,1.85931645880545,3.64510980559613,4.74456825686371,2.23078651132512,1.93230173122743,2.49218111623673,2.73299838890923,2.86752213209647,2.56923899064246,3.20462808570951,2.63614150826674,2.4838761571041,1.19609732482558,3.62240073035342,4.17811162208371,3.31587808688783,1.78221417632587,2.57181457986812,2.49830724660968,1.88085046437997,2.07159418604928,3.98530397230052,2.67495243211482,3.01149581850716,3.30000585500804,3.08852780341362,1.80281050061809,2.03487772336994
ERR1135183,PIG-006,France,2.16427879340055,2.34010807722124,2.97245960441235,4.58320921022402,4.46271300004486,2.61451771971844,2.72497856958819,1.98528655379357,2.15766030185193,5.11053815656897,5.43906473563767,4.28544927048496,1.7772320254674,1.95799752901367,1.96150391412071,1.83230573836989,3.52525445009215,2.73919261761793,3.13595678403717,2.31916399028489,2.0496949002321,1.82757784604251,5.39726045903898,1.60209749517823,3.88224391813449,4.02010408836432,2.59303168436273,2.84104351822652,3.26966591696335,4.0938742875384,2.04105817557147,2.02325172348476,1.8179647933198,3.96676181657941,3.76999095144748,4.23917497165043,1.82757784604251,4.3323640952551,3.54492281349944,4.83762654581438,2.34446764150676,2.18978799905444,3.04762919431793,1.45069282668435,2.44011531199984,2.06094968157054,1.89360085210027,2.67864264882534,2.22162468941176,3.88815540655861,2.59221512446798,3.05725943670144,1.05318601491738,2.02021168611163,3.71675977930733,4.33340359791256,2.17079793370402,2.12055002323819,2.50567458410952,2.8336064596624,2.97143681916123,2.61451771971844,3.19221125547622,2.64233487437656,2.6137406100875,1.1964051499711,3.66942025513229,4.43546721230513,3.22767779519649,1.78777893827783,2.63350683157388,2.44929835414672,1.86838289632305,2.02325172348476,3.89508762267504,2.69764601486699,3.09403465756317,3.35725750737807,2.99079600721411,1.89766506985223,2.07462000364765
ERR1135184,PIG-007,France,2.0058049962003,2.21554514496927,2.73728873056973,4.35636286502577,4.23836024737439,2.40069829957616,2.48855546142942,1.6973757355339,1.88918757672061,5.4244473027502,5.40289789662392,4.08223884307228,1.52562166382066,1.65779676708866,1.76712119434219,1.53258795384387,3.40418668350381,2.66264246523342,2.89863304324312,2.21122152872003,1.82720037085884,1.59071496013402,5.26431348698995,1.49658222912203,3.63962832105445,3.89455036598819,2.52025675257829,2.7187836377069,3.01464178456742,3.79501863963952,1.84100579140903,1.81655045997667,1.64731157739942,3.96594520474825,3.54178350046632,2.88226372146446,1.56583576883751,4.21779765544037,3.34144312804002,4.58211425943797,2.19649046183905,1.85107928230429,2.84351486173309,1.34545101669768,2.24466206089858,1.71133486312024,1.66803476856026,2.42171619483692,1.89821416394629,3.28831206087693,2.4460020467071,2.87068054332946,0.875576625278507,1.76307533124897,3.58704108258411,5.03741869964452,2.01272272953167,1.8922173329039,2.35429987179827,2.65748967576963,2.67076183876941,2.44515768003263,2.97930694371782,2.38835264062544,2.37861127250931,0.934181341520986,3.57479938647795,4.10541015743082,2.832223573166,1.61993456558977,2.40996174950982,2.2952414781906,1.55284045726923,1.76712119434219,3.86894501326767,2.55376773181693,2.87572744173418,3.14490886279767,2.76405276144856,1.53258795384387,1.83069308560158
ERR1135185,PIG-008,France,1.88076845803089,1.97458520857242,2.5196042506438,4.15126877949424,4.02509714516882,2.13909256529069,2.21452270558656,1.41113374548295,1.68274940156275,5.5504902646177,5.15839755128973,3.85511039610299,1.17355226006703,1.46485385955269,1.47484416968792,1.14284509817636,3.13462745490032,2.17795435669688,2.67268311194225,2.03570126475389,1.50810439550299,1.19288019666057,5.06924843996723,1.22913246167351,3.65672045445805,3.65639547973096,2.26856847994564,2.56322065255375,2.75977937035906,3.62603486951273,1.42795875850047,1.40537737382535,1.37539220333363,3.88299772564025,3.29419700917687,2.68836612575914,1.31557542290395,3.96598891519743,3.01162806712609,5.10930938203472,2.0721363212862,1.57573872703399,2.61159119008699,1.16355585327086,1.98079069613356,1.53471657154688,1.50350606368792,2.09640849281006,1.69778390980938,2.47557302323967,2.10805412963218,2.58598131376551,0.80816318155661,1.38763580451638,3.29322282536422,5.03977460819064,1.88654765582308,1.61321827152822,2.12826028517135,2.38671562483185,2.47161111899503,2.16605369255728,2.7834634198454,2.20174699422191,2.233869030159,0.871997962147858,3.31180016330159,4.80346687014055,2.70900932461095,1.5216142902651,2.19238576721916,1.97301988262525,1.53039291660066,1.57963562408292,3.20995546563224,2.25403539306064,2.57435755949308,2.84151762793064,2.53877483882352,1.52602578393816,1.65755617025758
ERR1135186,PIG-009,France,1.52965112025985,1.98001966954899,2.57324355328162,4.07925421524837,4.00649802483598,2.09771369532085,2.1840352377983,1.63278166492894,1.49193394604003,5.11764208699991,5.40841130578658,3.84938055267742,0.945623385285732,1.3478947709646,1.55687740053606,0.975385661237931,3.27048319939577,2.48497820227628,2.71976604419917,1.81806505177356,1.41029014903939,1.41029014903939,5.3495226987069,1.47859675145824,3.54864258080951,3.82766149586159,2.45742955954397,2.30107514401772,2.71402820936594,3.5970576774385,1.52561848181579,1.35992658405394,1.52561848181579,3.98918086420136,3.2936219189573,2.13908707858665,1.19610738379802,4.08586177032461,2.97905653614975,4.9985224036986,1.99813556870312,1.57892835389425,2.61377077010265,0.945623385285732,1.8322924509241,1.40497407742651,1.24514400401412,1.77005090756766,1.45062690939917,2.3216429380457,2.10948984340579,2.58893153829949,0.929940715398333,1.67209867912963,3.09172998907168,5.31067708930052,1.86129540781641,1.66627678020326,2.06269790663948,2.44492680177081,2.45170374741159,2.17231378872933,2.71846863147681,2.00891949583872,2.13809936203078,0.755408814931812,3.50714689501425,3.19015142375283,2.45314229317773,1.54541733946931,2.19804042697002,1.96555128353372,1.44578499120383,1.49629018566167,2.71033699067973,2.08672375498779,2.48896381981798,2.75340670147224,2.48005669011699,1.14082082226701,1.8221778044345
ERR1135187,PIG-011,France,2.48604720357792,2.46440067593835,3.13223462824484,4.78946040543872,4.60961051555041,2.65527703726952,2.75796297576894,2.0546660466295,2.22081566091215,5.09059448937524,5.41501697260607,4.45339819232736,1.91458860270169,2.21886677886726,2.09545102927256,1.97681876040103,3.61120495500808,2.67960999286106,3.19433982694063,2.58813275345448,2.15365597597314,1.77679222843599,5.36139260127562,1.65960961594566,4.00234845410963,4.12712361424616,2.61874409839428,2.77075619049834,3.40118888803136,4.36347542603083,2.03423769759498,2.64294743004866,2.0659219658733,3.9332328439703,3.72409971519965,3.35089143257306,2.02211790363318,4.3600598444898,3.33920571323073,4.82806094552777,2.63702187407377,2.21296710352835,3.24167873579974,1.76026525043867,2.44972881874109,2.27896721091067,1.7874708368558,3.08571723703455,2.18007259010906,3.62675226767296,2.52151179978794,3.11990030711716,1.2400041672862,2.10316775893956,3.6126272292919,4.2103061591598,2.44278631378151,1.9802158634384,2.65312650393304,2.82188780792019,3.08809934156168,2.72453214143592,3.4313117372302,2.77294313121483,2.63776700509775,1.33935105600787,3.79536367243706,4.20181687327255,3.5037270855982,2.07959363099309,2.72392204286055,2.57628785312823,2.13273252101731,2.25984317533393,4.22486115121143,2.72938231900278,3.02024286221582,3.26000501982708,3.22755160109249,2.06033047118977,2.22852489354111
