Sample_Names,Alias,Geography,Methanobacteria,Actinobacteria,Bacteroidia,Chlamydiia,Deferribacteres,Deinococci,Fibrobacteria,Bacilli,Clostridia,Erysipelotrichia,Negativicutes,Fusobacteriia,Betaproteobacteria,Deltaproteobacteria,Epsilonproteobacteria,Gammaproteobacteria,Spirochaetia,Verrucomicrobiae,Coccidia,Saccharomycetes
ERR1135178,PIG-001,France,1.69676149746796,1.31374353008935,5.71400358800946,0,0,0,0,5.09578981126975,5.10094464660287,3.32985298693501,5.16575015080467,0,2.77767177046259,2.36873318300303,0,4.08048576232247,4.84514750113166,0,0,0
ERR1135179,PIG-002,France,3.16506766477616,0,5.4546795825873,3.26345205210574,3.58514601132498,0,0,5.64862762220136,4.95817630797845,3.45702141218231,5.16620091703869,0,0,0,3.10303928904138,3.69401387553749,4.20909777977746,0,0,0
ERR1135180,PIG-003,France,3.80314516993496,3.11550377557958,5.46257180641894,0,0,0,1.92197187389105,5.49623244266819,5.23019366271798,3.19640726139447,5.06700393240945,0,4.05823056013733,2.47081474488828,0,4.22494759270688,4.85724457091082,0,0,0
ERR1135181,PIG-004,France,4.24813117698205,3.0891709934497,5.33719876166541,0,0,0,2.38646429484963,5.47905952652985,5.34219443079262,3.31323489254498,5.23152011108223,0,3.78351982173721,2.52310011619937,0,4.26534297305586,4.6525465764209,0,0,0
ERR1135182,PIG-005,France,4.31549701753422,3.41823362047802,5.22900354464791,0,2.12348194996208,0,1.71644549296368,5.58101073127636,5.41359775032534,0,5.02939042665074,0,4.12621660309467,3.68849215144403,3.358194941896,4.1725645668014,4.38788289275851,0,0,0
ERR1135183,PIG-006,France,4.69875901935903,0,5.51603145381126,0,0,0,3.35229196510691,5.12744374332159,5.39460539962015,3.78923716352288,4.63396564368693,0,4.04539045846395,3.76796488564384,0,4.49701345596607,5.14581823572362,0,0,0
ERR1135184,PIG-007,France,3.38621840896952,0,5.62933025654146,0,0,0,0,5.46930931634928,4.96521852656724,3.29067811097463,5.21084717026253,0,3.5326259626496,0,0,3.55800894839501,4.12136712338223,0,0,0
ERR1135185,PIG-008,France,0,2.62423233737552,5.31225733855901,0,0,0,0,5.59865615904739,4.83023198520645,3.74832612216725,5.19576062611346,0,2.59127872799658,2.31309852144181,2.34274037658748,4.89075388866703,4.94794089563692,0,0,0
ERR1135186,PIG-009,France,0,2.45971031132695,5.8436115880534,0,0,0,0,4.71188921578821,4.96857618147985,3.46702338561667,5.09400666283794,0,2.99785490208828,2.43921944860971,0,4.46560132618286,0,0,0,0
ERR1135187,PIG-011,France,4.58984180138713,4.45012601714231,5.42067440373779,0,0,0,0,5.40101247354853,5.49000574220797,0,4.56848284783515,0,4.45827879068125,4.50324190286763,0,3.95691466264552,3.30493580145288,0,0,0
