Sample_Names,Alias,Geography,Methanobacteriaceae,Brevibacteriaceae,Corynebacteriaceae,Dermabacteraceae,Dermatophilaceae,Micrococcaceae,Propionibacteriaceae,Bifidobacteriaceae,Coriobacteriaceae,Bacteroidaceae,Porphyromonadaceae,Prevotellaceae,Rikenellaceae,Chlamydiaceae,Deferribacteraceae,Deinococcaceae,Fibrobacteraceae,Planococcaceae,Staphylococcaceae,Aerococcaceae,Enterococcaceae,Lactobacillaceae,Leuconostocaceae,Streptococcaceae,Clostridiaceae,Eubacteriaceae,Lachnospiraceae,Oscillospiraceae,Peptostreptococcaceae,Ruminococcaceae,Erysipelotrichaceae,Acidaminococcaceae,Veillonellaceae,Fusobacteriaceae,Alcaligenaceae,Burkholderiaceae,Comamonadaceae,Oxalobacteraceae,Sutterellaceae,Neisseriaceae,Desulfovibrionaceae,Campylobacteraceae,Helicobacteraceae,Succinivibrionaceae,Enterobacteriaceae,Pasteurellaceae,Moraxellaceae,Pseudomonadaceae,Brachyspiraceae,Spirochaetaceae,Verrucomicrobiaceae,Cryptosporidiidae,Saccharomycetaceae,Enterocytozoonidae,Myoviridae,Podoviridae,Siphoviridae,Adenoviridae,Anelloviridae,Geminiviridae,Microviridae,Parvoviridae,Potyviridae,Retroviridae
ERR1135178,PIG-001,France,1.84099412149772,0,0,0,0,0,0,0,1.24431402616917,0,3.90762635449455,5.68499694751135,0,0,0,0,0,0,0,0,0,5.02538661027884,0,2.08706989357313,0,4.30633085986369,4.61937441494607,3.92766559652279,3.66838385481102,4.98110870572006,3.37796489514632,4.99107570496762,4.72434102658724,0,0,0,0,2.84866515271489,2.19266927666865,0,2.29435224017098,0,0,0,4.1588532446793,2.4263350694795,0,0,0,4.78454358890229,0,0,0,0,2.90497527330384,0,0,0,0,0,0,0,0,0.315516544784293
ERR1135179,PIG-002,France,3.32298132104115,0,0,0,0,0,0,0,0,0,3.5343929776763,5.43995032075847,0,3.0535445329102,3.64607175087298,0,0,0,0,0,0,5.59147925423146,0,1.29228428889191,0,4.19812990607687,4.68094244807541,1.85991183136941,3.97215737197064,4.67630995452946,3.51794208009798,4.69430246070993,5.10631059638467,0,0,0,0,0,0,0,0,0,3.20612557995638,0,3.72792933440707,2.7375022173463,0,0,0,4.16131074732648,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241559165770508
ERR1135180,PIG-003,France,3.93126009035081,0,2.97973488779688,0,0,0,0,0,2.41236860597364,0,4.32732301046446,5.39340142866826,0,0,0,0,1.95274055339831,0,0,0,0,5.40715850614076,0,3.12629321493375,0,3.15078754518176,4.8631156618465,4.39267060986899,4.07716761646091,5.0532148270785,3.22751649020175,3.02139186130552,5.16296800717606,0,0,0,0,3.47664716644699,3.95870161869216,0,2.38015395910345,0,0,0,4.3000486185253,0,0,0,0,4.77963263277524,0,0,0,0,0,0,0,0,0,0,0,0,0,1.035604413763
ERR1135181,PIG-004,France,4.36146709977833,0,3.05664908046754,0,0,0,0,0,0,0,4.1594896418061,5.25510558499564,0,0,0,0,2.40275866503707,0,0,0,0,5.37425269113913,0,3.25592965898726,0,3.52694943926714,4.71107086714972,4.33303874286476,4.01004106508276,5.30111204432645,3.32958740579036,4.63592510947112,5.16505070614255,0,0,0,0,3.49401057682242,3.56547261111252,0,2.4180287087743,0,0,0,4.32567746814735,0,0,0,0,4.56016953391517,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR1135182,PIG-005,France,4.41762161538399,0,3.37492778065648,0,0,0,0,0,0,0,4.71196282289905,5.01764523930005,0,0,2.12859094423153,0,1.72149467916966,0,0,0,0,5.46808819992137,0,0,0,0,4.40621594394703,4.46937543750144,0,5.45682673654977,0,1.6439596848428,5.10358443655387,0,0,0,0,3.71864654506261,3.94462370110357,0,3.57111996172419,0,3.40574538572652,0,4.01963503304044,3.55161472103533,0,0,0,4.28431733815052,0,0,0,0,0,0,0,0,0,0,0,0,0,0.724696823909458
ERR1135183,PIG-006,France,4.80572563924547,0,0,0,0,0,0,0,0,0,4.60815169332585,5.40199527733222,0,0,0,0,3.36229280952692,0,0,0,0,4.99058108212598,0,3.85325948210588,0,0,4.97391022257627,4.5484599211893,4.38606378460704,5.19031367354146,3.79924079586512,2.63413830079702,4.70807103684961,0,0,0,0,3.73125906840464,3.8303224694789,0,3.65546941110064,0,0,0,4.55103339616986,0,0,0,0,5.04708056843283,0,0,0,0,3.74494998799867,0,0,0,0,0,0,0,0,0.616604851315831
ERR1135184,PIG-007,France,3.53126098248818,0,0,0,0,0,0,0,0,1.55552740918291,3.90023698939869,5.59913387970569,0,0,0,0,0,0,0,0,0,5.39890541644993,0,2.42903673642771,0,3.67062638087557,4.46268278096464,3.99618513857305,3.8201904399225,4.88334799113407,3.33875634191807,4.70934097749322,5.14705439846066,0,0,0,0,3.31325542323577,3.32444336985468,0,0,0,0,0,3.65008116597912,0,0,0,0,4.06072976341785,0,0,0,0,0,0,0,0,0,0,0,0,0,0.432036517617453
ERR1135185,PIG-008,France,0,0,0,0,0,0,0,0,2.56341895950523,0,2.68287044035685,5.29310580697146,0,0,0,0,0,0,0,0,0,5.53364943959048,0,0,0,3.82753739440536,4.32702394898447,3.59348251142752,3.44856246856719,4.77236241474697,3.80138008261215,4.7452708353728,5.11102780471602,0,0,0,0,0,2.59543699988756,0,2.24370096819604,0,2.43811179716331,0,4.98780073775975,0,0,0,0,4.89226586712744,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR1135186,PIG-009,France,0,0,0,0,0,0,0,0,2.3911166493132,0,2.38695229821195,5.81709518061282,0,0,0,0,0,0,0,0,0,4.63842454963324,0,1.60743660171399,0,4.5275098556374,4.36178620670026,2.92519842202697,2.31827020398946,4.78155138018525,3.51198328418513,4.6941219384488,4.96099297764877,0,0,0,0,0,2.99383066535379,0,2.36189781287802,0,0,0,4.55455722434145,0,0,0,0,0,0,0,0,0,2.4936652519957,0,0,0,0,0,0,0,0,0
ERR1135187,PIG-011,France,4.68546244784232,0,0,0,0,0,0,4.19500268296891,2.69250191524185,0,5.15444661986184,5.03479941632608,0,0,0,0,0,0,0,0,0,5.28159452792127,0,0,0,3.33895679717649,4.62104871593615,4.73938878318437,4.21884575555366,5.44003513709269,0,3.70885363128816,4.55676833764769,0,0,0,0,0,4.40787165318646,0,4.37942651036714,0,0,0,3.99957470109393,0,0,0,0,3.19534665216799,0,0,0,0,0,0,0,0,0,0,0,0,0,0
