Sample_Names,Alias,Geography,Methanobrevibacter,Methanosphaera,Brevibacterium,Corynebacterium,Brachybacterium,Kocuria,Bifidobacterium,Scardovia,Collinsella,Olsenella,Bacteroides,Parabacteroides,Porphyromonas,Alloprevotella,Prevotella,Alistipes,Chlamydia,Chlamydophila,Mucispirillum,Deinococcus,Fibrobacter,Kurthia,Macrococcus,Staphylococcus,Aerococcus,Facklamia,Enterococcus,Lactobacillus,Leuconostoc,Weissella,Lactococcus,Streptococcus,Clostridium,Pseudoflavonifractor,Eubacterium,Anaerostipes,Blautia,Butyrivibrio,Coprococcus,Dorea,Roseburia,Oscillibacter,Anaerotruncus,Faecalibacterium,Ruminococcus,Subdoligranulum,Catenibacterium,Acidaminococcus,Phascolarctobacterium,Dialister,Megamonas,Megasphaera,Mitsuokella,Selenomonas,Veillonella,Fusobacterium,Oligella,Pusillimonas,Burkholderia,Brachymonas,Comamonas,Oxalobacter,Parasutterella,Neisseria,Bilophila,Desulfovibrio,Lawsonia,Campylobacter,Helicobacter,Citrobacter,Escherichia,Klebsiella,Pantoea,Shigella,Yersinia,Actinobacillus,Acinetobacter,Enhydrobacter,Pseudomonas,Brachyspira,Sphaerochaeta,Treponema,Akkermansia,Cryptosporidium,Enterocytozoon,Mulikevirus,T4likevirus,Ahjdlikevirus,Epsilon15likevirus,P22likevirus,Lambdalikevirus,T5likevirus,Tunalikevirus,Mastadenovirus,Kappatorquevirus,Mastrevirus,Chlamydiamicrovirus,Microvirus,Bocavirus,Dependovirus,Parvovirus,Potyvirus,Alpharetrovirus,Gammaretrovirus
ERR1135178,PIG-001,France,1.90008000375513,0,0,0,0,0,0,0,0,1.23678483190898,0,4.06975476378281,0,0,5.68515744846004,0,0,0,0,0,0,0,0,0,0,0,0,5.07580524403226,0,0,0,2.08846765403085,0,0,4.37361696847225,2.13187953423279,3.97589491770697,4.10008840130326,3.77255806203006,3.81962505396966,3.76776592818484,3.94863857554369,0,4.73176937722901,3.4817110853089,4.42085152974637,2.32569512676417,2.46091923700768,5.00115774760399,0,2.34260532685281,4.53174529613566,3.62661543579423,0,0,0,0,0,0,0,0,2.62222737402294,0,0,0,2.38371802025364,0,0,0,0,4.25084770084479,0,0,0,0,2.45583757806414,0,0,0,0,0,4.83791007247794,0,0,0,0,3.14286480186424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.326474723918033
ERR1135179,PIG-002,France,3.37854786517705,0,0,0,0,0,0,0,0,0,0,3.69123982537786,0,0,5.43481739751773,0,2.8328992355644,2.69230711001961,3.61889740429503,0,0,0,0,0,0,0,0,5.63660458736993,0,0,0,1.29034226430684,0,0,4.26011019925554,0,3.95844097842322,3.61354698188357,4.29668180770119,4.0671034925609,3.5878410660215,1.87538121792179,0,3.54703903059464,3.22798587449191,4.63249463641212,3.14647146848871,2.83486371379717,4.69475414388971,0,0,4.93154338120808,3.73543053056646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15051743212489,0,3.81461900187166,0,0,0,0,2.76135837797939,0,0,0,0,0,4.20938608618036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.248318873806776
ERR1135180,PIG-003,France,3.99303070807692,0,0,2.95730105068836,0,0,0,0,2.40187112285201,0,0,4.49030187164266,0,0,5.39439249565502,0,0,0,0,0,1.97430916408963,0,0,0,0,0,0,5.45840734947723,0,0,0,3.12760864251101,0,0,3.21879783768645,0,3.98074034820892,3.97284847658632,4.68772597300984,3.68600172135709,3.48723424925033,4.41447554750007,0,4.09744618265917,2.39963562165362,5.01274310673238,0,2.56684183650951,2.87032627829269,0,0,4.95786275596256,4.17604445841257,2.22552567287765,2.54010972008389,0,0,0,0,0,0,3.25089093524785,0,0,0,2.46793400796686,0,0,0,0,4.39289486699949,0,0,0,0,0,0,0,0,0,0,4.8338316695084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.943065757747303
ERR1135181,PIG-004,France,4.42159350445205,0,0,3.03263211053968,0,0,0,0,0,0,0,4.32074686935531,0,0,5.25441760301045,0,0,0,0,0,2.42280478060016,0,0,0,0,0,0,5.42381764678305,0,0,0,3.25559070700747,0,0,3.59335725326769,0,3.77978361285044,3.89292995702431,4.48973878149435,3.92440801249821,3.33377876380108,4.35316174325381,3.16955032438513,4.23004029440187,4.36341087308956,5.2082126214246,0,3.81383002611379,4.58307822175471,0,0,4.97922725690347,4.01439635705673,0,0,0,0,0,0,0,0,3.26686553537321,0,0,0,2.50515533863149,0,0,0,0,4.41683925635792,0,0,0,0,0,0,0,0,0,0,4.61267631924117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR1135182,PIG-005,France,4.46228470314544,0,0,3.33522223687262,0,0,0,0,0,0,0,4.85781012209228,0,0,5.00150989215833,0,0,0,2.08937277318539,0,1.72608416572425,0,0,0,0,0,0,5.50220938756154,0,0,0,0,0,0,0,0,3.72688264327674,3.81031251795225,3.77434775623408,3.88595811922426,3.52641164729356,4.47405312678341,3.74100609734169,3.83087833178102,4.00513097366972,5.42019594085142,0,0,1.64853189834538,0,0,4.9286602793173,3.34086273197023,0,2.7363727541952,0,0,0,0,0,0,3.47576707322191,0,0,0,3.64394421029163,0,0,3.33913498453372,0,4.09529371970046,0,0,0,0,3.56461103707263,0,0,0,0,0,4.32137229475933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.728496758513436
ERR1135183,PIG-006,France,4.8604333817598,0,0,0,0,0,0,0,0,0,0,4.7640442929428,0,0,5.39588546377737,0,0,0,0,0,3.37698940564214,0,0,0,0,0,0,5.0347184254255,0,0,0,3.84723202421177,0,0,0,0,4.20133440294617,3.50688139666882,4.79249230953356,3.94188054292623,3.91821425078146,4.56316238583916,3.44272559924866,4.44090317260646,4.39902682079878,4.98621983447606,0,0,2.63921366206029,0,0,4.20512869573388,4.35919589258916,0,2.49926062160164,0,0,0,0,0,0,3.49846807704193,0,0,0,3.73830543139915,0,0,0,0,4.63676491996804,0,0,0,0,0,0,0,0,0,0,5.09417718156593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.627798427734358
ERR1135184,PIG-007,France,3.59653100259429,0,0,0,0,0,0,0,0,0,1.58019483752982,4.06673641908311,0,0,5.60367202686007,0,0,0,0,0,0,0,0,0,0,0,0,5.45370122592482,0,0,0,2.43456111410165,0,0,3.74231529437503,0,3.65290444732933,2.90528244904071,4.19258165595263,3.88842086992652,3.48502756474715,4.02153594133719,0,4.37154968893423,3.18220990647866,4.68014973975297,2.74900666301155,3.66085734495256,4.68898214489159,0,0,4.93181906254911,4.25988042748254,0,2.07346620010986,0,0,0,0,0,0,3.09132494401978,0,0,0,0,0,0,0,0,3.74648470695018,0,0,0,0,0,0,0,0,0,0,4.11846755423642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.448185803870423
ERR1135185,PIG-008,France,0,0,0,0,0,0,0,0,2.49878371979392,1.47419497980764,0,2.82841286983319,0,0,5.27710055379267,0,0,0,0,0,0,0,0,0,0,0,0,5.56790283787118,0,0,0,0,0,0,3.87865533922974,0,3.72538872624312,3.44803889293784,3.89704173467808,3.76570637804742,3.14306586629492,3.59829097173419,0,4.06436577953251,1.88730942199272,4.62789815323569,3.65984295811456,3.99878785499191,4.66095758269184,0,0,4.92735222053893,3.69159314950546,0,0,0,0,0,0,0,0,0,0,0,0,2.31695716035647,0,0,2.37160938229003,0,5.06364055029926,0,0,0,0,0,0,0,0,0,0,4.92946948394835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR1135186,PIG-009,France,0,0,0,0,0,0,0,0,2.384527107543,0,0,2.55278991991454,0,0,5.82144092708598,0,0,0,0,0,0,0,0,0,0,0,0,4.69302663826599,0,0,0,1.61085224920868,0,1.86567507742806,4.59898155800465,0,3.28701165813199,3.89692484757394,3.43267670795646,3.69347022774222,4.02297578615126,2.95033021658685,0,4.64870807394937,2.43063224039922,3.98732233760363,2.52171329354691,4.06339104820179,4.60821643790908,0,0,4.81745985809016,2.35949889828239,0,0,0,0,0,0,0,0,0,0,0,0,2.45473793788017,0,0,0,0,4.65074621890594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.73521626941183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR1135187,PIG-011,France,4.71570626533821,0,0,0,0,0,4.2575162726519,0,2.65156762386194,0,0,5.27924057544497,3.06544592808452,0,5.00422266224385,0,0,0,0,0,0,0,0,0,0,0,0,5.30126985122679,0,0,0,0,0,0,3.37493453773944,0,3.91271216718601,4.39162581418818,3.52880203725628,3.86696057628127,3.47107352385194,4.7296250403053,3.99232745018127,4.20067086427983,2.89326448498833,5.37654169738177,0,0,3.68941940625264,2.98633938383016,0,4.26929356179276,3.70255608278284,0,0,0,0,0,0,0,0,0,0,0,0,4.4377990866591,0,0,0,0,4.06084600891971,0,0,0,0,0,0,0,0,0,0,3.21748322024332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
