Sample_Names,Alias,Geography,Methanobacteriales,Actinomycetales,Bifidobacteriales,Coriobacteriales,Bacteroidales,Chlamydiales,Deferribacterales,Deinococcales,Fibrobacterales,Bacillales,Lactobacillales,Clostridiales,Erysipelotrichales,Selenomonadales,Fusobacteriales,Burkholderiales,Neisseriales,Desulfovibrionales,Campylobacterales,Aeromonadales,Enterobacteriales,Pasteurellales,Pseudomonadales,Spirochaetales,Verrucomicrobiales,Eucoccidiorida,Saccharomycetales,Caudovirales
ERR1135178,PIG-001,France,1.70507888505021,0,0,1.20702594581792,5.72248992873583,0,0,0,0,0,4.97470936268785,5.14597376568139,3.33833541171189,5.17423645039051,0,2.90242129429357,0,2.29426580035365,0,0,4.11920925442501,2.38684371394189,0,4.85363373805091,0,0,0,2.69942099044088
ERR1135179,PIG-002,France,3.21397425171329,0,0,0,5.50361765586001,3.31236505479623,3.63407221695946,0,0,0,5.56799866383585,5.04365944967683,3.50594348961088,5.2151388371133,0,0,0,0,3.19813290635455,0,3.7159293282206,2.72552220655768,0,4.25803315585573,0,0,0,0
ERR1135180,PIG-003,France,3.83013462220135,3.20128815898348,0,2.40824991104137,5.48956528651178,0,0,0,1.94865210246441,0,5.39365985391435,5.29373071090891,3.22338418092137,5.09399727841356,0,4.2018419562018,0,2.41441547919599,0,0,4.29591405705808,0,0,4.88423777764425,0,0,0,0
ERR1135181,PIG-004,France,4.27225297375663,3.29045168904085,0,0,5.36132177573673,0,0,0,2.4104910313783,0,5.37361741844914,5.40286326893518,3.33734660685473,5.25564309541345,0,3.9242813734002,0,2.46403986899823,0,0,4.33343990785729,0,0,4.67666917619019,0,0,0,0
ERR1135182,PIG-005,France,4.34781793869281,3.6281098603723,0,0,5.26132578838894,0,2.15556991241268,0,1.74816909975561,0,5.48376640797666,5.48246418876353,0,5.06171256312454,0,4.27513269842336,0,3.63715346536975,3.4369314499671,0,4.04680743952749,3.5787822485574,0,4.42020404519095,0,0,0,0
ERR1135183,PIG-006,France,4.70022559446175,0,0,0,5.51749805374862,0,0,0,3.35375791894514,0,4.99934275828378,5.43261525658332,3.7907035300507,4.63543221407589,0,4.16340269267275,0,3.68579073328541,0,0,4.542495003748,0,0,5.14728482965763,0,0,0,3.57005332310838
ERR1135184,PIG-007,France,3.41607735775885,0,0,0,5.65920100028875,0,0,0,0,0,5.36961302479351,5.03163160995382,3.32053414072459,5.24071780414059,0,3.67905734521306,0,0,0,0,3.63185459746379,0,0,4.15123575201747,0,0,0,0
ERR1135185,PIG-008,France,0,0,0,2.5504622748008,5.35232730531881,0,0,0,0,0,5.50915906352801,4.90684536176216,3.78838944233692,5.23583053549308,0,2.74776927288658,0,2.26965360015055,2.42897255515139,0,4.97480814944909,0,0,4.98801061738002,0,0,0,0
ERR1135186,PIG-009,France,0,0,0,2.34703758802599,5.84431767743041,0,0,0,0,0,4.58303026629126,5.00582582891674,3.46772923530062,5.0947127475443,0,3.11509676239534,0,2.35635208178011,0,0,4.51029013928653,0,0,0,0,0,0,2.28347868160518
ERR1135187,PIG-011,France,4.6100975152594,0,4.21660590564437,2.71406369653642,5.44093055137816,0,0,0,0,0,5.29169825175495,5.5468061043822,0,4.58873853605387,0,4.595158303358,0,4.43978584350906,0,0,4.0211771592974,0,0,3.3251822171604,0,0,0,0
