Sample_Names,Alias,Geography,Euryarchaeota,Actinobacteria,Bacteroidetes,Chlamydiae,Deferribacteres,Deinococcus_Thermus,Fibrobacteres,Firmicutes,Fusobacteria,Proteobacteria,Spirochaetes,Verrucomicrobia,Apicomplexa,Ascomycota,Microsporidia
ERR1135178,PIG-001,France,1.74663712481618,1.29498314277512,5.74194962561103,0,0,0,0,5.56877476895761,0,4.02248400123471,4.82540786862797,0,0,0,0
ERR1135179,PIG-002,France,3.22916920821803,0,5.49508205467423,3.25617259606014,3.57786446008253,0,0,5.81826388916528,0,3.78427123296247,4.20181477321879,0,0,0,0
ERR1135180,PIG-003,France,3.86900540876433,3.11006466720561,5.50481459776839,0,0,0,1.91659411864331,5.75930110205487,0,4.41302200955739,4.85180134025254,0,0,0,0
ERR1135181,PIG-004,France,4.31832841876382,3.08806222351961,5.38377444536924,0,0,0,2.38535918341738,5.82532981193337,0,4.34402636710364,4.65143692636418,0,0,0,0
ERR1135182,PIG-005,France,4.3899926666867,3.42140254610976,5.27985949442673,0,2.1266283116849,0,1.719554939821,5.85963498278113,0,4.52785950790686,4.39105289484472,0,0,0,0
ERR1135183,PIG-006,France,4.7621179419764,0,5.55576203718379,0,0,0,3.3443400827532,5.60366294921524,0,4.61887164421378,5.13786284333465,0,0,0,0
ERR1135184,PIG-007,France,3.4419131920882,0,5.66142988056171,0,0,0,0,5.71562707997825,0,3.80177021303799,4.10578233887646,0,0,0,0
ERR1135185,PIG-008,France,0,2.62466771752109,5.3603794266019,0,0,0,0,5.78844880832961,0,4.82676985074526,4.94837730708275,0,0,0,0
ERR1135186,PIG-009,France,0,2.4308385549113,5.86232194478924,0,0,0,0,5.3927447349371,0,4.38716973967043,0,0,0,0,0
ERR1135187,PIG-011,France,4.6620763673955,4.45103416804696,5.46927038288867,0,0,0,0,5.7549493923114,0,4.78098393792809,3.30584353498206,0,0,0,0
ERR1135188,PIG-012,France,4.78961468588445,3.25699712154826,5.1512437773739,0,0,0,2.87606046309505,5.86980526530457,0,4.6637849432808,3.19431441158057,0,3.74306297981309,0,0
ERR1135189,PIG-014,France,4.6623291965612,4.53296697269584,4.83560659361214,0,0,0,0,5.88716342402455,0,4.90189053089865,2.67665355978851,0,0,0,0
ERR1135190,PIG-015,France,4.74268769656869,4.1848531165384,5.46147420052158,3.25872722184079,0,0,0,5.78503030674013,0,4.45155832750227,2.53571069400209,0,0,0,0
ERR1135191,PIG-016,France,4.59454354556859,4.48991008770977,5.04570405087232,0,0,0,0,5.82787958074136,0,5.14367407066071,3.82588606238592,0,0,0,0
ERR1135192,PIG-017,France,4.48601376216424,4.07415693847328,4.83610388933096,0,0,0,0,5.92840000138242,0,4.60884368566915,2.50568107594126,0,0,0,0
ERR1135193,PIG-018,France,4.14809599043931,4.20146997667281,5.14196043546607,2.35341278304435,0,0,0,5.89503253012091,0,4.65862181322219,2.4679194545239,0,0,0,0
ERR1135194,PIG-019,France,5.03300749276416,4.67946458610487,5.21828602059211,2.90908564917158,0,0,0,5.81398094846787,0,4.42393846426371,1.68297057915165,0,0,0,0
ERR1135195,PIG-020,France,5.09274291745168,0,5.01823669561235,0,3.49082914088786,0,0,5.85661796485715,0,4.69088524569282,2.96411159755087,0,0,0,0
ERR1135196,PIG-022,France,0,3.71068334705816,5.47414162603397,1.85666958427311,0,0,0,5.80582412281669,0,4.75796203447033,1.99220356126929,0,0,0,0
