ID	081A_reads	082A_reads	083A_reads	084A_reads	085A_reads	086A_reads	091A_reads	093A_reads	094A_reads	098A_reads	099A_reads	100A_reads	101A_reads	107A_reads	108A_reads	109A_reads	10A_reads	116A_reads	118A_reads	119A_reads	11A_reads	120A_reads	13A_reads	15A_reads	18A_reads	1A_reads	20A_reads	21A_reads	24A_reads	25A_reads	28A_reads	29A_reads	31A_reads	34A_reads	35A_reads	37A_reads	39A_reads	3A_reads	6A_reads	7A_reads
Methanobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1143	0.0	0.0	0.0	0.0	44	0.0	534	6149	0.0	0.0	0.0	0.0
Actinobacteria	2033	13423	40081	6569	13053	5106	2557	742	9137	4505	17631	13204	49828	3265	2013	31488	109270	14233	4182	38635	13871	11079	16064	35802	13729	90113	133584	14758	5197	33241	1605	4334	3451	259965	2162	8169	13310	40714	24424	16910
Bacteroidia	2477964	1593121	2166910	1520542	2709776	2261811	1361226	2798212	2125612	1936895	1504390	1804038	2839218	1065680	927259	1669725	916567	1929095	1517749	1824256	2119794	2246323	2026799	1106880	2551322	1854755	2242358	3515255	2150002	2553589	1809758	1308177	2889388	958131	1094952	1094816	1249339	2593563	1755040	520854
Candidatus_Saccharibacteria_noname	0.0	0.0	0.0	0.0	0.0	123	0.0	0.0	0.0	0.0	238	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	97	25	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacilli	7034	5312	11592	1471	187	5446	1168	297	5850	368	1164	1270	3512	420	0.0	77966	458683	150	260	168	121249	0.0	8287	6492	1215	419654	11450	672	5720	457	98	24352	429	5417	812	228948	4554	4290	0.0	158845
Clostridia	684366	406382	668066	1744476	275695	927877	486793	154608	67391	782349	1148215	756058	647490	308725	256647	869453	1404181	439411	1747579	414064	580058	809042	687963	929879	297717	564496	361720	648745	459754	714988	258207	265675	327605	1216130	492156	602104	935920	610933	920974	2050982
Erysipelotrichia	123	3694	1726	395	95	39	236	1421	2327	143	9286	546	2309	7110	3291	4281	0.0	6760	5287	0.0	0.0	3020	3455	150	618	112	7720	1021	0.0	3195	11217	12868	0.0	0.0	3323	17856	923	28254	424	7265
Negativicutes	124182	124060	0.0	3160	10298	16627	79825	503738	678790	5858	187113	143006	0.0	42222	0.0	189094	45031	0.0	0.0	0.0	210122	42	111442	150509	19064	128223	110932	16582	315313	0.0	121987	133303	47344	17268	103374	141403	3708	78611	27717	4188
Fusobacteriia	0.0	0.0	3965	0.0	0.0	0.0	0.0	18061	1015	0.0	368419	22385	814	0.0	0.0	0.0	0.0	2199	0.0	0.0	0.0	6800	18498	0.0	3068	0.0	109	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2987	514	0.0	0.0	0.0	0.0
Betaproteobacteria	18149	28329	21707	2870	11162	6964	1034	6500	8020	14547	0.0	44794	15763	1909	173	157291	12117	0.0	0.0	2892	39688	10300	17867	9020	9122	12147	611	105058	11333	20379	4509	9043	0.0	176	3210	3978	55269	8977	5305	0.0
Deltaproteobacteria	0.0	0.0	10300	0.0	10381	0.0	0.0	0.0	0.0	12359	0.0	10246	0.0	30996	13856	19936	382	32039	0.0	17563	9519	25658	0.0	9328	75008	5975	79329	9006	19922	9403	4156	3341	9521	0.0	3896	1408	836	1008	24535	950
Gammaproteobacteria	17084	5188	89964	566387	43824	83606	3904	18543	43774	36652	58110	9271	7358	1643139	1871857	227432	49127	29278	18055	1450840	41162	30056	13394	102657	0.0	141913	53267	10035	6289	36938	1894	136500	16103	39609	323309	296829	16566	5177	39777	13572
Spirochaetia	11846	9614	0.0	0.0	0.0	0.0	4236	0.0	0.0	4347	8711	0.0	0.0	0.0	0.0	0.0	0.0	7770	14336	16190	0.0	10346	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Synergistia	26	0.0	0.0	0.0	876	0.0	0.0	0.0	0.0	0.0	278	0.0	0.0	0.0	542	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	174	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Verrucomicrobiae	0.0	1274	0.0	0.0	35458	0.0	5179	0.0	0.0	47549	0.0	0.0	0.0	0.0	0.0	0.0	9145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10544	2446	0.0	0.0	291305	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Saccharomycetes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6330	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Viruses_noname	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14	0.0	0.0	0.0	0.0	38233	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12	0.0	54	7	3184	0.0	0.0	0.0	67	0.0	408
