ID	081A_reads	082A_reads	083A_reads	084A_reads	085A_reads	086A_reads	091A_reads	093A_reads	094A_reads	098A_reads	099A_reads	100A_reads	101A_reads	107A_reads	108A_reads	109A_reads	10A_reads	116A_reads	118A_reads	119A_reads	11A_reads	120A_reads	13A_reads	15A_reads	18A_reads	1A_reads	20A_reads	21A_reads	24A_reads	25A_reads	28A_reads	29A_reads	31A_reads	34A_reads	35A_reads	37A_reads	39A_reads	3A_reads	6A_reads	7A_reads
Methanobacteriaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1429	0.0	0.0	0.0	0.0	55	0.0	667	7687	0.0	0.0	0.0	0.0
Actinomycetaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	136	0.0	0.0	0.0	0.0	18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46	291	0.0	0.0	335
Micrococcaceae	102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	277	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	314	0.0	0.0	0.0	0.0	0.0	0.0	60	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bifidobacteriaceae	0.0	0.0	19502	187	6359	2375	281	0.0	4985	2414	9364	4524	22102	0.0	411	11028	53287	3751	67	20809	765	2443	2764	11427	0.0	26876	69197	2679	2158	15911	138	0.0	0.0	146137	0.0	1304	97	1527	643	5205
Coriobacteriaceae	1479	10324	4530	4801	1465	725	1588	571	305	209	705	4056	8521	2511	994	9347	12188	5890	3126	1655	9223	5227	8628	12128	10560	33047	9436	7689	1088	4112	1048	3333	2654	2892	1663	4474	9778	29255	17919	5610
Bacteroidaceae	1375182	1547929	2715048	1711282	539689	2931809	1802442	3024936	2735110	1952939	2070494	996120	3640199	999944	1232928	1847653	967172	2187906	1888578	1868262	589632	2099153	2399334	1121134	2249093	160734	1899957	1894299	1135556	3433099	67568	44303	724713	1238657	293138	10547	1537163	148101	2203838	627678
Bacteroidales_noname	65888	0.0	721	3261	0.0	0.0	0.0	0.0	0.0	3969	0.0	0.0	16481	0.0	0.0	0.0	4097	0.0	0.0	0.0	563	0.0	0.0	7877	4424	1999	0.0	12081	0.0	0.0	0.0	1370	0.0	0.0	4337	2946	0.0	11078	0.0	0.0
Porphyromonadaceae	100107	118398	65000	75460	80487	170657	0.0	469764	175652	183202	0.0	15344	122129	119932	40130	57585	39344	367233	98104	77109	78533	301932	47364	122583	185520	94678	133233	176368	357483	58321	8828	15697	32234	9850	38019	8393	111501	228908	88314	22633
Prevotellaceae	1085254	60987	0.0	359	1906537	0.0	0.0	0.0	0.0	0.0	0.0	790014	309	0.0	0.0	217	28	0.0	0.0	0.0	1368068	0.0	250	25	199638	1325177	587805	1440308	92685	883	1454167	1055152	1829224	43965	673654	893469	21240	1758855	0.0	28263
Rikenellaceae	1906	268336	142086	193865	0.0	0.0	62450	166982	0.0	319424	18774	129359	77000	210776	5362	260286	160078	12851	64286	368906	8686	408294	234778	155256	465931	75681	55764	243395	794551	33782	34972	13917	164231	8562	42297	18824	15728	159415	82767	14701
