ID	081A_reads	082A_reads	083A_reads	084A_reads	085A_reads	086A_reads	091A_reads	093A_reads	094A_reads	098A_reads	099A_reads	100A_reads	101A_reads	107A_reads	108A_reads	109A_reads	10A_reads	116A_reads	118A_reads	119A_reads	11A_reads	120A_reads	13A_reads	15A_reads	18A_reads	1A_reads	20A_reads	21A_reads	24A_reads	25A_reads	28A_reads	29A_reads	31A_reads	34A_reads	35A_reads	37A_reads	39A_reads	3A_reads	6A_reads	7A_reads
Methanobacteriales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1143	0.0	0.0	0.0	0.0	44	0.0	534	6149	0.0	0.0	0.0	0.0
Actinomycetales	166	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	449	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	809	0.0	0.0	0.0	0.0	39	0.0	97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	101	643	0.0	0.0	740
Bifidobacteriales	0.0	0.0	19502	187	6359	2375	281	0.0	4985	2414	9364	4524	22102	0.0	411	11028	53287	3751	67	20809	765	2443	2764	11427	0.0	26876	69197	2679	2158	15911	138	0.0	0.0	146137	0.0	1304	97	1527	643	5205
Coriobacteriales	1479	10324	4530	4801	1465	725	1588	571	305	209	705	4056	8521	2511	994	9347	12188	5890	3126	1655	9223	5227	8628	12128	10560	33047	9436	7689	1088	4112	1048	3333	2654	2892	1663	4474	9778	29255	17919	5610
Bacteroidales	2477964	1593121	2166910	1520542	2709776	2261811	1361226	2798212	2125612	1936895	1504390	1804038	2839218	1065680	927259	1669725	916567	1929095	1517749	1824256	2119794	2246323	2026799	1106880	2551322	1854755	2242358	3515255	2150002	2553589	1809758	1308177	2889388	958131	1094952	1094816	1249339	2593563	1755040	520854
Candidatus_Saccharibacteria_noname	0.0	0.0	0.0	0.0	0.0	123	0.0	0.0	0.0	0.0	238	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	97	25	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacillales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1056	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	173
Lactobacillales	5220	3942	8602	1092	139	4041	866	221	4341	273	864	942	2606	312	0.0	57855	340366	111	193	125	89973	0.0	6149	4817	901	311404	7873	499	4245	339	72	18071	319	4019	602	169891	3379	3183	0.0	117769
Clostridiales	744445	442057	726713	1897619	299897	1009332	529527	168180	73307	851029	1249013	822430	704332	335827	279178	945780	1527449	477986	1900993	450413	630980	880065	748357	1011510	323853	614052	393475	705697	500114	777754	280875	288998	356365	1322890	535360	654961	1018081	664564	1001824	2231031
Erysipelotrichales	123	3694	1726	395	95	39	236	1421	2327	143	9286	546	2309	7110	3291	4281	0.0	6760	5287	0.0	0.0	3020	3455	150	618	112	7720	1021	0.0	3195	11217	12868	0.0	0.0	3323	17856	923	28254	424	7265
Selenomonadales	124182	124060	0.0	3160	10298	16627	79825	503738	678790	5858	187113	143006	0.0	42222	0.0	189094	45031	0.0	0.0	0.0	210122	42	111442	150509	19064	128223	110932	16582	315313	0.0	121987	133303	47344	17268	103374	141403	3708	78611	27717	4188
Fusobacteriales	0.0	0.0	3965	0.0	0.0	0.0	0.0	18061	1015	0.0	368419	22385	814	0.0	0.0	0.0	0.0	2199	0.0	0.0	0.0	6800	18498	0.0	3068	0.0	109	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2987	514	0.0	0.0	0.0	0.0
Burkholderiales	23739	37055	28393	3754	14601	9109	1352	8502	10490	19027	0.0	58592	20618	2497	227	205742	15849	0.0	0.0	3783	51913	13473	23370	11799	11932	15888	799	137419	14824	26657	5898	11828	0.0	230	4199	5204	72293	11742	6939	0.0
Desulfovibrionales	0.0	0.0	8495	0.0	8562	0.0	0.0	0.0	0.0	10193	0.0	8450	0.0	25564	11427	16442	315	26424	0.0	14485	7851	21162	0.0	7693	61862	4928	65426	7428	16431	7755	3428	2756	7853	0.0	3213	1161	690	831	20235	783
Aeromonadales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	321	134	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	994	0.0	0.0	0.0
Enterobacteriales	17638	5476	27441	626754	48495	65592	4320	20519	44114	38871	55127	10260	8142	1818268	2071363	222543	14629	32399	19979	1605474	44676	30784	9497	85124	0.0	142973	57125	7061	6648	38961	650	147187	17819	30872	356153	297973	17279	5729	44016	9814
Pasteurellales	728	152	41430	0.0	0.0	15469	0.0	0.0	2485	970	5272	0.0	0.0	0.0	0.0	16735	22829	0.0	0.0	0.0	306	1341	3059	16359	0.0	8081	1045	2324	179	1099	831	2219	0.0	7445	928	17519	0.0	0.0	0.0	2990
Spirochaetales	11846	9614	0.0	0.0	0.0	0.0	4236	0.0	0.0	4347	8711	0.0	0.0	0.0	0.0	0.0	0.0	7770	14336	16190	0.0	10346	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Synergistales	26	0.0	0.0	0.0	876	0.0	0.0	0.0	0.0	0.0	278	0.0	0.0	0.0	542	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	174	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Verrucomicrobiales	0.0	1274	0.0	0.0	35458	0.0	5179	0.0	0.0	47549	0.0	0.0	0.0	0.0	0.0	0.0	9145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10544	2446	0.0	0.0	291305	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Saccharomycetales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6330	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Caudovirales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16	0.0	73	0.0	4284	0.0	0.0	0.0	0.0	0.0	455
Viruses_noname	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14	0.0	0.0	0.0	0.0	39129	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7	0.0	0.0	0.0	0.0	69	0.0	72
