ID	081A_reads	082A_reads	083A_reads	084A_reads	085A_reads	086A_reads	091A_reads	093A_reads	094A_reads	098A_reads	099A_reads	100A_reads	101A_reads	107A_reads	108A_reads	109A_reads	10A_reads	116A_reads	118A_reads	119A_reads	11A_reads	120A_reads	13A_reads	15A_reads	18A_reads	1A_reads	20A_reads	21A_reads	24A_reads	25A_reads	28A_reads	29A_reads	31A_reads	34A_reads	35A_reads	37A_reads	39A_reads	3A_reads	6A_reads	7A_reads
Euryarchaeota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1347	0.0	0.0	0.0	0.0	52	0.0	629	7246	0.0	0.0	0.0	0.0
Actinobacteria	2033	13423	40081	6569	13053	5106	2557	742	9137	4505	17631	13204	49828	3265	2013	31488	109270	14233	4182	38635	13871	11079	16064	35802	13729	90113	133584	14758	5197	33241	1605	4334	3451	259965	2162	8169	13310	40714	24424	16910
Bacteroidetes	2765547	1778013	2418393	1697010	3024262	2524308	1519205	3122962	2372302	2161683	1678983	2013407	3168727	1189358	1034873	1863507	1022941	2152978	1693893	2035972	2365810	2507023	2262022	1235340	2847419	2070011	2502597	3923222	2399523	2849949	2019792	1459999	3224719	1069329	1222028	1221876	1394333	2894562	1958723	581303
Candidatus_Saccharibacteria	0.0	0.0	0.0	0.0	0.0	123	0.0	0.0	0.0	0.0	238	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	97	25	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Firmicutes	761970	507979	627827	1610304	264359	875962	529821	651936	754530	726335	1255808	841722	601593	334275	239501	1071227	1785512	411340	1613743	381189	864063	747586	757031	1013937	294997	1058710	463713	615391	746596	661618	372061	415703	349622	1141793	561278	938321	870361	674249	875865	2054043
Fusobacteria	0.0	0.0	3965	0.0	0.0	0.0	0.0	18061	1015	0.0	368419	22385	814	0.0	0.0	0.0	0.0	2199	0.0	0.0	0.0	6800	18498	0.0	3068	0.0	109	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2987	514	0.0	0.0	0.0	0.0
Proteobacteria	33130	33442	106252	484760	56255	78258	4380	22434	45456	55058	49434	61226	22411	1422258	1602603	369122	54485	48168	15359	1249926	82595	54751	29701	103344	63805	137508	103534	122727	31427	59132	9249	127811	20611	33875	281153	257607	71333	14335	57087	12235
Spirochaetes	11846	9614	0.0	0.0	0.0	0.0	4236	0.0	0.0	4347	8711	0.0	0.0	0.0	0.0	0.0	0.0	7770	14336	16190	0.0	10346	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Synergistetes	26	0.0	0.0	0.0	876	0.0	0.0	0.0	0.0	0.0	278	0.0	0.0	0.0	542	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	174	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Verrucomicrobia	0.0	1169	0.0	0.0	32540	0.0	4753	0.0	0.0	43635	0.0	0.0	0.0	0.0	0.0	0.0	8392	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9676	2245	0.0	0.0	267326	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ascomycota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17365	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Viruses_noname	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14	0.0	0.0	0.0	0.0	38233	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12	0.0	54	7	3184	0.0	0.0	0.0	67	0.0	408
