sample ID	Acidimicrobiia	Acidithiobacillia	Acidobacteriia	Actinobacteria	Alphaproteobacteria	Anaerolineae	Aquificae	Archaeoglobi	Ardenticatenia	Bacilli	Bacteroidia	Betaproteobacteria	Blastocatellia	Caldilineae	Calditrichae	Candidatus Brocadiae	Chitinophagia	Chlamydiia	Chlorobia	Chloroflexia	Chrysiogenetes	Chthonomonadetes	Clostridia	Coprothermobacteria	Coriobacteriia	Cytophagia	Deferribacteres	Dehalococcoidia	Deinococci	Deltaproteobacteria	Dictyoglomia	Elusimicrobia	Endomicrobia	Epsilonproteobacteria	Erysipelotrichia	Fibrobacteria	Fimbriimonadia	Flavobacteriia	Fusobacteriia	Gammaproteobacteria	Gemmatimonadetes	Gloeobacteria	Halobacteria	Hydrogenophilalia	Ignavibacteria	Kiritimatiellae	Ktedonobacteria	Lentisphaeria	Limnochordia	Methanobacteria	Methanococci	Methanomicrobia	Methanopyri	Methylacidiphilae	Mollicutes	Negativicutes	Nitriliruptoria	Nitrososphaeria	Nitrospira	Oligoflexia	Opitutae	Phycisphaerae	Planctomycetia	Rubrobacteria	Saprospiria	Spartobacteria	Sphingobacteriia	Spirochaetia	Synergistia	Tepidiformia	Thermococci	Thermodesulfobacteria	Thermoleophilia	Thermomicrobia	Thermoplasmata	Thermoprotei	Thermotogae	Tissierellia	Unclassified Acidobacteria Phylum	Unclassified Actinobacteria Phylum	Unclassified Armatimonadetes Phylum	Unclassified Bacteroidetes Phylum	Unclassified Balneolaeota Phylum	Unclassified Candidatus Bipolaricaulota Phylum	Unclassified Candidatus Cloacimonetes Phylum	Unclassified Candidatus Gracilibacteria Phylum	Unclassified Candidatus Korarchaeota Phylum	Unclassified Candidatus Micrarchaeota Phylum	Unclassified Candidatus Saccharibacteria Phylum	Unclassified Chloroflexi Phylum	Unclassified Cyanobacteria Phylum	Unclassified Elusimicrobia Phylum	Unclassified Euryarchaeota Phylum	Unclassified Firmicutes Phylum	Unclassified Kiritimatiellaeota Phylum	Unclassified Planctomycetes Phylum	Unclassified Proteobacteria Phylum	Unclassified Tenericutes Phylum	Unclassified Thaumarchaeota Phylum	Unclassified Verrucomicrobia Phylum	Unclassified candidate division Zixibacteria Phylum	Verrucomicrobiae	Vicinamibacteria	Zetaproteobacteria
081A	51	61	316	21416	11837	112	134	29	25	43843	1853995	11319	13	15	15	11	1207	89	431	57	31	32	1301626	11	9150	3919	245	99	674	3335	29	10	28	2189	24063	88	20	7922	1342	70109	54	105	466	15	68	28	25	92	57	163	167	413	25	24	1545	7045	65	17	122	165	217	200	593	143	73	0	2045	6832	209	31	167	111	40	52	105	184	383	816	9	562	31	13493	38	10	6	11	0	0	91	2	2007	16	19	30325	50	905	4340	91	58	78	17	724	33	45
082A	15	28	161	9458	6119	59	101	18	10	36699	3535699	7886	7	11	19	10	939	99	249	62	7	8	1170165	18	21060	2301	140	90	272	1659	13	9	99	2237	43730	45	11	7548	1007	29389	30	23	230	5	86	4	12	39	14	137	130	309	2	24	847	24093	21	23	103	188	61	86	326	51	44	1	1806	3428	193	9	121	69	11	20	53	78	265	783	1	189	43	20872	23	4	18	1	0	0	71	1	1639	6	7	39060	16	453	2228	34	39	46	16	1406	32	10
083A	11	13	75	50645	3830	50	52	13	2	34185	5234979	6007	12	5	8	17	449	110	136	39	4	4	1144914	8	12556	1302	54	42	161	1221	17	9	4	2569	15157	40	2	3417	6744	107831	12	8	146	2	18	3	23	21	5	80	69	170	0	12	499	65776	26	9	55	97	48	44	164	37	30	3	708	789	63	4	60	43	4	8	22	64	176	465	1	131	3	15821	17	1	5	2	2	0	69	0	1116	7	5	27062	6	255	2331	58	44	23	28	316	11	9
084A	34	26	165	13686	7915	53	101	23	21	29663	1760528	5984	9	31	27	17	1393	134	280	75	20	2	1855742	33	15036	3436	140	56	449	1974	45	14	14	1848	15844	56	13	8811	1058	937128	49	34	318	4	97	13	43	54	39	142	148	363	1	9	835	69801	44	3	84	154	118	84	294	90	52	1	2689	1431	190	28	113	57	38	41	100	137	277	1459	15	306	18	13992	44	3	9	4	1	0	76	2	1563	19	23	44964	28	556	6352	58	45	49	18	428	21	28
085A	8	72	270	18687	7584	51	156	128	7	16433	1549347	5873	6	67	10	71	2295	152	519	20	8	71	857164	65	4586	6321	308	301	242	2316	22	5	1	1645	7576	45	4	13525	852	128080	74	19	392	4	89	66	4	10	5	112	73	370	1	55	448	135368	54	136	97	170	175	110	395	23	116	1	4762	1312	57	61	137	19	7	8	288	325	196	264	5	73	8	19186	2	1	6	1	0	0	96	0	1829	6	2	19701	3	491	3182	34	26	50	1	23291	3	29
086A	16	9	50	7834	2610	57	75	20	2	26801	4946596	2485	8	4	8	32	485	85	57	8	8	0	1574358	1	4311	1021	65	47	109	591	42	1	5	3008	23272	32	6	3617	1436	127449	5	4	99	0	18	3	1	20	17	127	93	191	1	2	820	17031	3	9	37	76	37	57	113	22	21	0	765	963	71	0	67	43	7	9	79	118	361	796	0	78	1	13312	5	0	6	4	0	0	170	0	889	15	8	29466	11	172	1229	67	50	6	24	375	4	22
091A	53	44	201	17176	8403	142	155	37	24	22249	4372449	8104	15	14	23	10	405	122	202	64	18	8	1188041	15	8191	1491	82	87	485	2254	44	7	12	2225	26505	74	9	3525	1586	18161	58	47	331	7	29	9	15	43	31	163	131	280	4	18	1036	2830	62	13	81	154	128	109	363	118	17	0	798	2928	205	35	112	50	27	40	68	119	313	936	7	267	26	17468	20	1	15	2	1	0	143	0	1420	25	17	31995	11	587	3009	88	47	38	20	4665	15	39
093A	17	30	313	3859	3985	28	43	13	15	9842	5820642	4370	6	16	21	18	1079	51	167	24	6	1	258757	4	1795	2732	34	18	123	833	15	13	14	1849	2070	12	18	5632	103774	64006	97	10	72	9	46	15	13	25	11	95	53	160	1	2	443	568970	10	14	111	78	73	28	190	58	85	20	1778	623	49	5	50	17	10	6	19	73	153	169	0	75	11	32350	16	4	0	0	0	0	77	0	919	23	2	6527	17	413	1624	24	23	29	1	202	17	15
094A	14	49	290	29942	4261	62	47	10	4	21767	5143233	4945	3	18	24	10	1349	50	118	14	12	3	289793	11	1302	3532	41	26	180	963	15	14	27	3993	7681	9	20	7624	2649	94128	100	5	44	1	44	11	14	24	27	89	77	262	0	8	454	626571	13	5	85	83	59	88	193	46	83	21	2277	637	98	4	44	22	1	3	48	87	149	305	0	68	21	25477	12	0	0	2	2	0	134	1	1145	25	5	12093	41	418	1816	49	50	58	3	517	16	22
098A	50	58	295	23683	11476	134	125	45	30	20267	2211980	9843	18	51	26	26	2270	144	357	113	31	14	1000482	15	5104	5161	92	96	703	3499	24	19	11	4197	10896	75	11	14399	1139	73994	91	40	487	4	175	41	31	5595	35	126	129	425	20	10	1136	86919	55	41	101	227	152	154	503	150	101	2	4291	3559	203	50	110	60	38	48	76	153	391	750	16	373	36	23956	32	5	10	14	0	2	107	3	1842	4	41	23806	20	817	4447	66	58	81	24	28312	26	25
