sample ID	Acidobacteria	Actinobacteria	Aquificae	Armatimonadetes	Bacteroidetes	Balneolaeota	Calditrichaeota	Candidatus Bipolaricaulota	Candidatus Cloacimonetes	Candidatus Gracilibacteria	Candidatus Korarchaeota	Candidatus Micrarchaeota	Candidatus Saccharibacteria	Chlamydiae	Chlorobi	Chloroflexi	Chrysiogenetes	Coprothermobacterota	Crenarchaeota	Cyanobacteria	Deferribacteres	Deinococcus-Thermus	Dictyoglomi	Elusimicrobia	Euryarchaeota	Fibrobacteres	Firmicutes	Fusobacteria	Gemmatimonadetes	Ignavibacteriae	Kiritimatiellaeota	Lentisphaerae	Nitrospirae	Planctomycetes	Proteobacteria	Spirochaetes	Synergistetes	Tenericutes	Thaumarchaeota	Thermodesulfobacteria	Thermotogae	Verrucomicrobia	candidate division Zixibacteria
081A	371	31427	134	83	1882654	38	15	10	6	11	0	0	91	89	431	418	31	11	184	2112	245	674	29	54	1554	88	1407775	1342	54	68	78	92	122	1709	103415	6832	209	1636	75	111	383	1043	17
082A	201	30805	101	62	3569209	23	19	4	18	1	0	0	71	99	249	274	7	18	78	1662	140	272	13	114	1007	45	1314544	1007	30	86	20	39	103	875	49749	3428	193	881	62	69	265	1538	16
083A	99	63410	52	9	5256706	17	8	1	5	2	2	0	69	110	136	173	4	8	64	1124	54	161	17	20	565	40	1287564	6744	12	18	9	21	55	480	123910	789	63	557	53	43	176	402	28
084A	210	29234	101	33	1790901	44	27	3	9	4	1	0	76	134	280	350	20	33	137	1597	140	449	45	47	1231	56	2017512	1058	49	97	41	54	84	951	961413	1431	190	893	48	57	277	605	18
085A	284	23438	156	83	1595552	2	10	1	6	1	0	0	96	152	519	519	8	65	325	1848	308	242	22	12	1503	45	1036511	852	74	89	69	10	97	1067	148955	1312	57	482	162	19	196	23572	1
086A	62	12271	75	7	4965817	5	8	0	6	4	0	0	170	85	57	128	8	1	118	893	65	109	42	21	685	32	1671741	1436	5	18	14	20	37	374	137479	963	71	887	59	43	361	420	24
091A	238	25894	155	43	4396153	20	23	1	15	2	1	0	143	122	202	421	18	15	119	1467	82	485	44	44	1143	74	1272587	1586	58	29	20	43	81	1069	42400	2928	205	1124	60	50	313	4849	20
093A	336	5824	43	30	5864298	16	21	4	0	0	0	0	77	51	167	125	6	4	73	929	34	123	15	50	465	12	846346	103774	97	46	32	25	111	649	76799	623	49	467	37	17	153	326	1
094A	309	31386	47	44	5183575	12	24	0	0	2	2	0	134	50	118	146	12	11	87	1150	41	180	15	66	579	9	958237	2649	100	44	52	24	85	709	110261	637	98	503	55	22	149	663	3
098A	355	29453	125	61	2262158	32	26	5	10	14	0	2	107	144	357	556	31	15	153	1882	92	703	24	34	1459	75	1143155	1139	91	175	61	5595	101	1500	107770	3559	203	1202	99	60	391	28557	24
099A	65	33309	88	4	5538875	5	4	4	3	4	0	1	780	80	91	127	2	7	90	781	80	176	22	23	632	60	1015657	490121	20	23	11	14	37	381	125806	2957	158	671	19	32	173	272	10
100A	526	56933	144	96	1564334	64	13	5	16	0	0	0	293	119	549	715	26	13	140	2015	252	1037	10	26	1971	114	1093638	34673	186	83	63	88	114	2259	98539	1377	430	750	68	46	274	1807	6
101A	124	80457	53	15	5146024	20	16	9	13	1	0	0	33	67	173	182	12	4	73	1201	34	319	3	28	659	16	1204883	2353	31	28	19	36	61	671	52274	691	148	484	41	42	120	452	12
107A	154	16522	69	16	2579206	16	10	0	2	6	0	0	94	60	206	294	20	20	60	1018	36	327	10	14	817	49	460216	526	40	50	49	34	62	790	3557612	690	189	471	29	31	190	627	4
108A	397	23943	92	68	1057480	27	54	8	1	5	0	0	41	101	415	478	12	11	132	1769	113	574	20	20	1312	30	585566	758	74	139	38	51	79	1554	2712907	1248	309	1760	36	52	277	907	7
109A	184	64030	90	44	2456299	66	6	0	15	2	0	1	147	160	411	429	21	10	93	1598	70	365	22	26	1230	29	1190256	6039	80	91	49	60	79	1437	593274	1078	108	749	61	23	310	749	1
10A	307	160427	160	73	1276090	32	33	5	16	11	0	0	112	140	309	499	26	14	184	2052	136	635	57	53	1552	57	2230962	1806	56	83	60	57	111	1437	102671	2034	198	1896	106	67	478	6210	28
116A	51	21906	43	9	6237575	0	10	2	12	3	1	0	52	34	76	115	2	3	41	884	36	106	6	22	442	8	923025	19870	21	18	11	10	33	503	77151	4367	96	417	17	32	138	419	0
118A	108	15159	56	9	4552433	3	14	1	7	6	0	0	150	53	111	146	7	11	89	878	92	141	19	28	631	14	2075201	666	10	43	12	9	21	452	50592	6405	52	523	37	23	179	297	6
119A	292	55016	72	54	2554766	6	14	4	4	1	0	1	109	52	268	581	31	65	68	1391	63	680	5	79	1238	57	878372	876	87	63	43	76	78	1371	2133332	6814	237	598	58	40	229	1049	13
11A	275	38175	85	84	1324986	26	15	3	9	0	1	1	165	56	382	321	10	23	103	1879	223	294	15	34	1587	92	1124318	715	50	35	53	28	140	1520	176540	1141	107	659	95	127	174	606	7
120A	273	39484	87	61	2461984	35	35	4	6	3	0	0	95	130	367	425	27	9	112	1682	88	598	32	70	1322	55	1635328	14861	75	130	54	51	115	1306	109357	5958	153	770	68	62	241	624	18
13A	95	32210	91	16	3059524	46	4	1	0	0	0	1	89	89	251	224	7	7	157	1380	313	267	20	18	1113	86	1349800	28715	33	97	90	58	41	895	61050	1106	76	601	30	13	300	599	1
15A	377	67230	159	59	2182279	21	32	11	2	5	0	0	142	100	329	422	18	56	117	2237	127	536	26	52	1276	72	1414243	1133	43	109	34	92	81	1234	212336	1414	178	1503	71	58	325	693	9
18A	287	39067	99	103	3081439	54	16	6	1	3	1	0	93	103	355	362	37	19	78	1592	125	523	10	32	1128	68	753881	6719	72	77	59	561	118	1336	71832	1075	261	674	41	40	294	8449	9
1A	460	140108	104	37	603197	9	20	9	20	5	1	0	142	171	489	563	22	18	75	2494	217	553	35	108	1682	100	1322354	892	113	111	85	599	150	1858	294307	1157	221	1029	48	73	282	2433	17
20A	224	131327	62	31	3029762	37	5	30	22	0	0	0	151	93	303	246	18	10	83	1415	90	254	29	173	888	64	1181729	1597	47	50	48	60	79	1080	131628	875	122	572	46	70	218	560	6
21A	356	46758	111	103	2446577	37	19	8	6	9	0	1	101	69	511	414	16	21	203	1978	300	618	29	58	2816	53	709496	991	102	109	68	571	114	1557	79328	1547	624	1519	61	63	342	886	16
24A	405	38140	122	65	3077561	19	39	11	11	17	0	2	87	161	369	597	25	10	160	2329	94	830	53	53	1469	53	1375626	1283	73	60	76	156	134	1591	74343	1365	223	1808	75	60	340	159180	20
25A	131	39093	65	46	3630733	0	16	2	7	3	0	3	138	131	178	152	21	6	151	1385	148	189	11	29	851	32	1358961	1004	23	88	7	23	69	710	86504	1101	74	811	115	39	251	402	14
28A	394	21588	104	85	649643	33	16	23	63	0	8	0	52	145	612	487	17	38	137	2145	244	471	26	243	1570	130	471325	782	71	90	70	55	131	1841	58191	1430	117	776	96	109	322	709	16
29A	542	23939	100	48	727419	91	14	36	66	1	0	2	434	123	487	393	9	7	151	2186	192	423	15	282	1721	133	439234	980	83	63	48	911	101	1658	354300	1319	196	644	94	82	205	666	20
31A	272	20083	63	85	1354724	17	12	3	5	1	0	0	174	127	670	467	4	6	58	2209	316	330	16	127	2520	99	723791	905	67	111	58	92	101	1590	85776	1243	116	867	70	72	386	1020	22
34A	303	369826	107	32	2331759	41	28	3	12	4	0	0	143	154	301	335	17	37	99	1819	99	489	22	49	1294	98	1706263	936	40	123	48	41	79	987	104624	1332	140	938	36	33	267	776	21
35A	539	17163	105	37	836341	36	14	1	36	2	2	0	82	126	469	296	15	55	60	1889	94	396	58	300	2543	188	626798	5248	73	69	71	5167	143	1740	787158	1357	113	598	73	171	393	717	22
37A	451	32826	109	56	479055	23	34	6	98	1	6	1	83	105	507	377	30	21	114	1939	259	497	39	213	7374	125	1101303	1371	98	46	43	3276	153	1739	572181	1301	168	726	98	54	218	654	11
39A	178	46834	125	35	2588145	63	9	0	3	0	2	0	426	215	248	287	12	5	160	1643	118	240	16	46	1326	42	1273745	1513	32	106	33	35	80	973	100264	1484	206	1121	43	71	400	636	21
3A	481	92667	125	49	829304	22	22	4	7	0	0	0	76	157	627	647	18	50	207	2103	293	431	23	74	1906	94	973453	861	119	128	79	38	142	1785	71896	1681	152	744	72	114	289	835	9
6A	202	40647	118	50	3075557	10	33	3	12	0	0	0	61	84	257	308	28	49	114	1674	124	397	19	61	1063	72	1427746	997	28	140	16	36	79	966	101916	1332	114	1024	67	47	295	750	9
7A	160	43489	116	29	1504627	24	10	2	12	6	0	0	469	119	316	419	27	55	129	1770	140	541	65	84	1361	51	2445213	1524	24	79	37	41	60	1024	66334	1689	131	1167	93	44	340	846	29
