ID	ERR1135178_reads	ERR1135179_reads	ERR1135180_reads	ERR1135181_reads	ERR1135182_reads	ERR1135183_reads	ERR1135184_reads	ERR1135185_reads	ERR1135186_reads	ERR1135187_reads	ERR1135188_reads	ERR1135189_reads	ERR1135190_reads	ERR1135191_reads	ERR1135192_reads	ERR1135193_reads	ERR1135194_reads	ERR1135195_reads	ERR1135196_reads	ERR1135197_reads	ERR1135198_reads	ERR1135199_reads	ERR1135200_reads	ERR1135201_reads	ERR1135202_reads	ERR1135203_reads	ERR1135204_reads	ERR1135205_reads	ERR1135206_reads	ERR1135207_reads	ERR1135208_reads	ERR1135209_reads	ERR1135210_reads	ERR1135211_reads	ERR1135212_reads	ERR1135213_reads	ERR1135214_reads	ERR1135215_reads	ERR1135216_reads	ERR1135217_reads	ERR1135218_reads	ERR1135219_reads	ERR1135220_reads	ERR1135221_reads	ERR1135222_reads	ERR1135223_reads	ERR1135224_reads	ERR1135225_reads	ERR1135226_reads	ERR1135227_reads	ERR1135228_reads	ERR1135229_reads	ERR1135230_reads	ERR1135231_reads	ERR1135232_reads	ERR1135233_reads	ERR1135234_reads	ERR1135235_reads	ERR1135236_reads	ERR1135237_reads	ERR1135238_reads	ERR1135239_reads	ERR1135240_reads	ERR1135241_reads	ERR1135242_reads	ERR1135243_reads	ERR1135244_reads	ERR1135245_reads	ERR1135246_reads	ERR1135247_reads	ERR1135248_reads	ERR1135249_reads	ERR1135250_reads	ERR1135251_reads	ERR1135252_reads	ERR1135253_reads	ERR1135254_reads	ERR1135255_reads	ERR1135256_reads	ERR1135257_reads	ERR1135258_reads	ERR1135259_reads	ERR1135260_reads	ERR1135261_reads	ERR1135262_reads	ERR1135263_reads	ERR1135264_reads	ERR1135265_reads	ERR1135266_reads	ERR1135267_reads	ERR1135268_reads	ERR1135269_reads	ERR1135270_reads	ERR1135271_reads	ERR1135272_reads	ERR1135273_reads	ERR1135274_reads	ERR1135275_reads	ERR1135276_reads	ERR1135277_reads	ERR1135278_reads	ERR1135279_reads	ERR1135280_reads	ERR1135281_reads	ERR1135282_reads	ERR1135283_reads	ERR1135284_reads	ERR1135285_reads	ERR1135286_reads	ERR1135287_reads	ERR1135288_reads	ERR1135289_reads	ERR1135290_reads	ERR1135291_reads	ERR1135292_reads	ERR1135293_reads	ERR1135294_reads	ERR1135295_reads	ERR1135296_reads	ERR1135297_reads	ERR1135298_reads	ERR1135299_reads	ERR1135300_reads	ERR1135301_reads	ERR1135302_reads	ERR1135303_reads	ERR1135304_reads	ERR1135305_reads	ERR1135306_reads	ERR1135307_reads	ERR1135308_reads	ERR1135309_reads	ERR1135310_reads	ERR1135311_reads	ERR1135312_reads	ERR1135313_reads	ERR1135314_reads	ERR1135315_reads	ERR1135316_reads	ERR1135317_reads	ERR1135318_reads	ERR1135319_reads	ERR1135320_reads	ERR1135321_reads	ERR1135322_reads	ERR1135323_reads	ERR1135324_reads	ERR1135325_reads	ERR1135326_reads	ERR1135327_reads	ERR1135328_reads	ERR1135329_reads	ERR1135330_reads	ERR1135331_reads	ERR1135332_reads	ERR1135333_reads	ERR1135334_reads	ERR1135335_reads	ERR1135336_reads	ERR1135337_reads	ERR1135338_reads	ERR1135339_reads	ERR1135340_reads	ERR1135341_reads	ERR1135342_reads	ERR1135343_reads	ERR1135344_reads	ERR1135345_reads	ERR1135346_reads	ERR1135347_reads	ERR1135348_reads	ERR1135349_reads	ERR1135350_reads	ERR1135351_reads	ERR1135352_reads	ERR1135353_reads	ERR1135354_reads	ERR1135355_reads	ERR1135356_reads	ERR1135357_reads	ERR1135358_reads	ERR1135359_reads	ERR1135360_reads	ERR1135361_reads	ERR1135362_reads	ERR1135363_reads	ERR1135364_reads	ERR1135365_reads	ERR1135366_reads	ERR1135379_reads	ERR1135380_reads	ERR1135381_reads	ERR1135382_reads	ERR1135383_reads	ERR1135384_reads	ERR1135385_reads	ERR1135386_reads	ERR1135387_reads	ERR1135388_reads	ERR1135389_reads	ERR1135390_reads	ERR1135391_reads	ERR1135392_reads	ERR1135393_reads	ERR1135394_reads	ERR1135395_reads	ERR1135396_reads	ERR1135397_reads	ERR1135398_reads	ERR1135399_reads	ERR1135400_reads	ERR1135401_reads	ERR1135402_reads	ERR1135403_reads	ERR1135404_reads	ERR1135405_reads	ERR1135406_reads	ERR1135407_reads	ERR1135408_reads	ERR1135409_reads	ERR1135410_reads	ERR1135411_reads	ERR1135412_reads	ERR1135413_reads	ERR1135414_reads	ERR1135415_reads	ERR1135416_reads	ERR1135417_reads	ERR1135418_reads	ERR1135419_reads	ERR1135420_reads	ERR1135421_reads	ERR1135422_reads	ERR1135423_reads	ERR1135424_reads	ERR1135425_reads	ERR1135426_reads	ERR1135427_reads	ERR1135428_reads	ERR1135429_reads	ERR1135430_reads	ERR1135431_reads	ERR1135432_reads	ERR1135433_reads	ERR1135434_reads	ERR1135435_reads	ERR1135436_reads	ERR1135437_reads	ERR1135438_reads	ERR1135440_reads	ERR1135441_reads	ERR1135442_reads	ERR1135443_reads	ERR1135444_reads	ERR1135445_reads	ERR1135446_reads	ERR1135447_reads	ERR1135448_reads	ERR1135449_reads	ERR1135450_reads	ERR1135451_reads	ERR1135452_reads	ERR1135454_reads	ERR1135455_reads	ERR1135456_reads	ERR1135457_reads	ERR1135458_reads	ERR1135459_reads	ERR1135460_reads	ERR1135461_reads	ERR1135462_reads	ERR1135463_reads	ERR1135464_reads	ERR1135465_reads	ERR1135466_reads	ERR1135467_reads	ERR1135468_reads	ERR1135469_reads	ERR1135470_reads	ERR1135471_reads	ERR1135472_reads
Methanobacteria	102	2260	5542	12194	9720	16306	3189	0.0	0.0	11356	11838	21309	29058	14906	17328	10518	46562	39068	0.0	2287	5326	3520	2483	4752	6916	290	13809	224	1168	695	0.0	3373	6566	6369	4706	22521	849	2531	2112	689	1222	3442	1897	0.0	0.0	5619	12613	765	4449	5115	3224	17888	6595	1014	2311	932	4207	6436	724	2035	4872	1679	1464	946	1685	2157	1386	15655	1891	385	3160	0.0	5813	8707	5611	8122	104	5305	0.0	12106	14698	8404	11624	0.0	1740	0.0	0.0	0.0	0.0	0.0	0.0	3920	1722	0.0	0.0	0.0	0.0	0.0	194	0.0	1989	13731	9519	12671	9694	37606	14525	11352	18303	4288	8923	4505	15331	6053	2086	1539	3255	4361	286	1046	26801	22673	915	3092	3756	5139	8842	4566	2819	5134	4763	12658	5925	13557	100	0.0	1128	1559	1641	1847	18592	26685	4880	7177	11702	1071	5723	7149	1760	8177	12383	4645	2321	2171	201	2182	1578	3315	7317	0.0	1729	318	2681	0.0	1470	9514	167	1482	2339	1144	7920	100	6693	927	4809	18410	6266	410	2984	2803	0.0	52314	8607	383	13842	6498	1525	1202	2527	25115	36638	13730	76309	67962	22593	92447	31662	51081	75386	98231	4562	14244	8359	24121	6577	5592	14098	13051	27077	17850	0.0	51177	9795	33146	26049	60116	26082	31666	85283	25579	103581	10016	56891	82174	17577	29727	58788	23159	57997	44655	82019	97718	66323	69660	66776	28878	90798	7682	6110	12421	14127	33256	31545	20114	20739	16076	14894	11851	12681	8803	40957	38472	35674	40536	39951	26440	28750	39073	35306	27280	32265	22869	68702	38116	57245	85136	5649	15748	37757	13129	20435	17469	28334	37218	9368	8997	30820	14551	5480	23684	7856
Actinobacteria	41	0.0	1137	845	1231	0.0	0.0	983	1492	8232	409	18643	9478	13805	7910	14016	24311	0.0	12678	2346	14245	3435	1806	1171	1614	2010	2518	125001	1273	0.0	0.0	0.0	0.0	3732	0.0	4118	3203	3058	6199	7084	6848	1983	1577	7839	3298	7771	11156	3017	627	4314	2682	264	97	1429	1065	0.0	1229	1925	1265	654	848	9311	2620	4867	4293	2778	1277	4419	10123	2188	11990	1379	1115	1404	0.0	0.0	838	180	747	0.0	761	0.0	0.0	0.0	278	0.0	0.0	0.0	32	0.0	14447	4015	259	1107	226	193	1035	747	673	0.0	7020	2243	4020	5437	2220	1283	1346	95	290	806	1844	5678	1237	4051	1913	2433	4302	2276	1859	1170	181	622	1002	1860	716	707	3445	864	657	1230	2175	845	547	1271	1162	1069	41	849	2451	388	2020	1432	2896	3098	1738	2811	3527	1498	1105	3404	3594	311	2143	906	1043	2979	6257	2190	3297	1448	2121	3328	3784	4711	1281	97	2905	1021	4614	1515	3250	2367	3724	1372	2983	19060	39710	14186	2033	36356	17888	8008	1841	32400	137469	5466	9041	35195	32109	180	838	8540	243	9133	4051	566	4224	29	0.0	1489	3038	999	0.0	0.0	6268	3405	0.0	1485	2515	0.0	33	1546	4849	1456	13320	26105	1234	16918	12191	14829	19608	2987	9292	12995	10034	8779	87864	5105	73195	28126	25216	15838	1732	3853	32385	28436	3665	3117	1932	10649	10411	16129	9204	4223	2344	39601	40065	17748	17262	644	11028	17360	4240	39650	10912	16126	768	3769	13092	16667	21092	7077	46075	16163	12444	15811	10724	8652	8125	6964	760	1138	6132	8926	2447	5881	4151	0.0	4030	0.0	7730
Bacteroidia	1083080	440571	253023	149705	79651	107060	558398	480407	3623923	76925	28743	33533	160575	44479	40970	109510	75326	34748	659032	472997	78841	63143	156404	50779	16187	38746	5545	441434	86634	58424	88938	24510	62286	131221	28699	110550	1561438	1849624	1120199	734348	827889	557775	1096497	2811042	2436582	485096	321023	588870	1285433	2592161	1351197	698516	531472	1380349	1006010	712092	973404	323840	1901286	1011359	596959	393003	2781870	2251491	768287	1682476	2265996	66232	1331438	925873	797845	1854549	48371	26178	14900	48345	204589	63870	613746	192385	33505	22309	35496	478065	166385	1014900	497459	517976	900153	1142105	2040513	704232	476753	3247277	2555655	1463404	1958121	799279	1491839	55464	1546277	520524	229274	368820	254166	34180	222343	330304	312963	1312769	509199	227874	245831	1708995	583892	696098	1784177	376203	1376128	1697131	84180	97333	413785	384696	847251	1065197	953490	719641	408174	1505118	695434	454009	285149	292368	845726	1461312	387606	1429373	1137422	543563	172972	17457	607424	410643	61543	958984	401162	461203	1387886	230746	262543	592401	1066959	778592	668356	846545	2221363	1375937	1031057	1051202	346608	770271	594606	1004137	878659	302313	1013294	1540059	1562602	611927	608030	2490253	496253	767136	306946	165107	481407	451924	185763	267613	726423	205682	247946	253784	199310	202963	156741	415915	205718	16261	11926	17607	10879	11925	16278	44747	18780	10173	10011	10002	2982	6410	7151	8590	7604	12982	14347	10119	5241	4891	28596	13521	5806	20610	31622	11546	6598	22637	14338	84566	28861	32253	13571	57587	65909	15391	10710	18794	12532	32224	27682	20557	24300	28310	21638	21823	7621	13985	12979	10344	12537	16216	15095	7205	5867	9157	10144	9250	8177	3858	9792	10418	24509	10901	11947	12575	12057	18731	7379	5943	1648	12757	45376	19897	37496	8297	67293	27386	60016	166506	7004	9738	22589	25024	112593	26299	18553	15418	24320	22203	29029
Chlamydiia	0.0	2835	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1123	0.0	0.0	198	412	0.0	175	508	113	0.0	0.0	0.0	0.0	0.0	0.0	406	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1743	0.0	1102	0.0	765	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1088	198	0.0	0.0	0.0	0.0	0.0	1090	0.0	0.0	0.0	246	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36	0.0	0.0	0.0	0.0	0.0	111	660	0.0	0.0	0.0	0.0	0.0	0.0	0.0	198	418	0.0	0.0	198	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	647	198	0.0	38	852	0.0	0.0	0.0	0.0	0.0	0.0	0.0	226	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	174	0.0	0.0	0.0	0.0	75	545	29	284	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	198	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Deferribacteres	0.0	5948	0.0	0.0	62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1151	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	389	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	143	0.0	0.0	174	363	0.0	429	3672	0.0	188	821	8891	0.0	0.0	442	824	1627	817	0.0	0.0	21	0.0	693	147	2046	1258	1893	515	0.0	534	458	1688	448	0.0	0.0	0.0	508	2121	1647	0.0	126	315	491	0.0	8464	125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	209	0.0	0.0	0.0	0.0	0.0	0.0	184	918	0.0	0.0	0.0	22	0.0	925	21	677	0.0	0.0	0.0	0.0	1186	4448	289	1033	0.0	0.0	356	576	277	1118	22	3040	0.0	2058	186	2667	2309	3139	0.0	1485	3049	2363	0.0	391	0.0	186	0.0	43	167	63	143	265	0.0	2105	21	7307	0.0	0.0	0.0	149	427	65	0.0	0.0	0.0	1902	984	865	1498	547	2085	1321	0.0	1933	348	1245	21	871	0.0	747	0.0	547	3070	326	806	0.0	0.0	0.0	4080	1735	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	148	0.0	0.0	0.0
Deinococci	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	445	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	445	445	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	445	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fibrobacteria	0.0	0.0	72	167	24	734	0.0	0.0	0.0	0.0	170	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1596	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	569	712	0.0	47	118	0.0	0.0	0.0	1014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	167	49	0.0	266	239	0.0	0.0	0.0	0.0	240	260	216	48	95	0.0	95	262	0.0	0.0	377	0.0	0.0	24	0.0	214	167	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25	24	0.0	453	685	260	145	0.0	0.0	24	48	0.0	0.0	72	0.0	143	121	120	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacilli	260882	688596	273414	207538	179143	43756	386298	928986	267577	73520	102899	159546	65709	134751	191753	334897	75597	108686	198977	145159	57204	152109	89503	52930	83725	152304	78578	101237	22733	12344	1843	35576	12852	6349	106224	4518	685187	175214	45217	70446	73818	858267	121400	137922	26570	90346	467688	173421	151412	347873	168080	655653	145234	271048	273860	351108	292223	138411	207463	304773	239317	269994	162655	116619	278565	216215	360478	252058	359045	180881	469014	302384	162267	86190	16850	51626	64216	61860	49806	131088	108235	45701	138916	328456	296343	166594	130322	161315	521697	175733	244	14985	362139	2171	413135	1923	29306	2102	44998	354	271575	298694	169993	40052	74278	413557	152833	39947	74028	77268	302948	97357	74750	221145	428082	208970	80990	93873	5816	168483	33738	46207	10424	5909	1881	227344	102504	258305	627197	60762	87519	207639	120441	671445	206537	269564	312892	299253	287566	210376	26686	37346	13039	29746	3525	206167	165320	105971	258090	170787	481578	118226	31099	26413	78055	71444	284780	237320	26498	43334	8515	69957	138285	131360	243949	117088	100938	17354	8550	119846	53785	7251	32256	11925	333970	83209	135813	66428	91763	55151	86095	144284	96677	77243	123745	54482	93799	98389	149569	235764	138995	48543	232933	101162	55431	210106	101208	168187	91108	90823	143180	2201	62226	57987	28215	16397	144036	155034	16454	65129	87293	277965	179062	399254	197406	211683	16181	138549	39135	22975	22874	46818	19596	14500	13424	11793	116182	75779	113736	79207	129513	69100	11759	64700	103630	107727	286871	6060	5121	18601	17802	7925	105017	17157	17288	37363	35324	17106	15552	22340	17976	17101	75101	125861	43976	12226	115816	21945	70081	17632	71916	5722	44055	134060	91081	36765	51469	234429	111447	58460	75181	61742	87581	89524	203831	93963	65128	104791	92717	44616	111683
Clostridia	263997	140446	148177	151437	121839	80947	121012	158336	483214	90240	72601	280356	185138	178661	359045	221132	162010	164577	363398	335901	273511	143969	167334	214741	169619	86462	145470	375115	119201	52298	69252	130275	79541	193009	103072	169482	245846	386560	201404	230641	249433	383586	243054	216291	46574	304805	309078	212319	328591	235527	277168	251389	191719	159224	198792	127158	282458	267310	227538	180578	155253	133540	242080	87848	238380	199667	232891	137822	290638	291083	247014	320899	63788	77203	138385	62162	47604	102222	204695	115609	69541	157348	111581	306017	137305	258719	129488	193384	369996	288454	30141	204276	136998	89282	233036	177369	277786	176284	273320	22323	689750	360967	286724	399390	254583	288012	397951	191436	267061	245262	439088	221935	311448	587870	404178	478051	907428	327491	356743	514188	173965	182576	352788	297223	277340	243143	420453	184052	221289	268286	479003	337322	206028	267314	282189	406966	270904	313742	322696	224367	144270	168449	154063	266315	144843	398990	295073	190466	334312	160736	555458	295915	539192	308596	275688	312927	828003	458380	352239	364920	270298	343046	412676	464333	313305	189061	462006	410609	444143	292060	379827	330714	385393	264506	318513	160799	202027	232086	109082	129221	185884	193395	131184	110160	209906	91287	108729	217118	133555	123714	101042	104153	104507	116861	75476	159178	108905	109560	103391	116595	40329	53698	30689	43653	41179	30676	64267	187206	73837	44460	56487	74732	61817	61104	112368	89583	82773	137660	142757	192051	211591	136346	113413	141609	131805	225452	128606	136707	166239	210030	172924	255915	143636	130589	123077	151099	114358	51295	46962	48642	45752	109619	201684	55398	59406	37782	44529	37370	30571	84471	104332	89034	143532	141038	96661	121477	76097	95282	105025	68910	59153	82636	144048	148849	142990	99229	135132	87081	109325	119920	247930	212991	272408	234516	133414	225639	231047	143467	214803	223719	286323
Erysipelotrichia	4470	4428	1370	1416	0.0	2008	2559	13110	15221	0.0	0.0	2086	4393	0.0	17025	938	26	4077	72240	9730	15401	1027	182	887	77	0.0	0.0	3750	302	0.0	0.0	379	0.0	1262	102	706	16647	20106	19377	28645	31357	14215	12375	33159	34774	38386	27056	11051	71161	16440	27610	16097	14525	7767	9504	9404	11439	11833	6581	6370	4673	4107	11266	17537	12242	11241	17171	12525	14961	29814	8928	13359	523	903	2980	1294	13185	4409	30234	14442	1525	1406	2462	4183	1018	4756	1536	1932	12829	2478	29531	69536	5368	12953	14213	23026	17035	20228	9534	931	38517	11842	16353	53761	13340	16734	25777	17720	19680	22033	24894	4318	5445	19815	10635	20326	20935	10662	13553	13475	7291	17089	19640	22388	25991	12486	33568	7443	9082	15055	39360	13354	7577	11764	9242	13648	5048	14310	14595	7710	3533	5812	15553	13204	8356	37893	14555	2928	15664	6246	29889	4595	25564	9744	10528	17952	41128	17406	20694	24037	13470	9297	17735	33303	9676	14084	15763	10787	84964	15140	24750	16641	51998	12010	24918	6351	7650	11055	1281	2065	4734	4969	4861	4415	5123	1892	2292	4105	3526	3294	1258	888	4338	3826	1120	4516	875	990	1920	1763	603	3052	154	1088	484	178	642	1459	1444	870	2732	1608	975	4667	662	1870	2244	1513	2196	12073	5239	1081	3950	3352	6330	490	1060	1388	8780	7362	3522	4597	2043	705	642	2222	1414	0.0	0.0	208	232	475	2722	1158	285	0.0	0.0	0.0	0.0	1353	1371	1444	707	516	1577	1203	1051	889	3091	52	504	226	1769	2562	969	1429	5008	1529	2705	1821	1373	1096	2558	2439	1635	6495	2326	3448	3397	4223	4567
