ID	ERR1135178_reads	ERR1135179_reads	ERR1135180_reads	ERR1135181_reads	ERR1135182_reads	ERR1135183_reads	ERR1135184_reads	ERR1135185_reads	ERR1135186_reads	ERR1135187_reads	ERR1135188_reads	ERR1135189_reads	ERR1135190_reads	ERR1135191_reads	ERR1135192_reads	ERR1135193_reads	ERR1135194_reads	ERR1135195_reads	ERR1135196_reads	ERR1135197_reads	ERR1135198_reads	ERR1135199_reads	ERR1135200_reads	ERR1135201_reads	ERR1135202_reads	ERR1135203_reads	ERR1135204_reads	ERR1135205_reads	ERR1135206_reads	ERR1135207_reads	ERR1135208_reads	ERR1135209_reads	ERR1135210_reads	ERR1135211_reads	ERR1135212_reads	ERR1135213_reads	ERR1135214_reads	ERR1135215_reads	ERR1135216_reads	ERR1135217_reads	ERR1135218_reads	ERR1135219_reads	ERR1135220_reads	ERR1135221_reads	ERR1135222_reads	ERR1135223_reads	ERR1135224_reads	ERR1135225_reads	ERR1135226_reads	ERR1135227_reads	ERR1135228_reads	ERR1135229_reads	ERR1135230_reads	ERR1135231_reads	ERR1135232_reads	ERR1135233_reads	ERR1135234_reads	ERR1135235_reads	ERR1135236_reads	ERR1135237_reads	ERR1135238_reads	ERR1135239_reads	ERR1135240_reads	ERR1135241_reads	ERR1135242_reads	ERR1135243_reads	ERR1135244_reads	ERR1135245_reads	ERR1135246_reads	ERR1135247_reads	ERR1135248_reads	ERR1135249_reads	ERR1135250_reads	ERR1135251_reads	ERR1135252_reads	ERR1135253_reads	ERR1135254_reads	ERR1135255_reads	ERR1135256_reads	ERR1135257_reads	ERR1135258_reads	ERR1135259_reads	ERR1135260_reads	ERR1135261_reads	ERR1135262_reads	ERR1135263_reads	ERR1135264_reads	ERR1135265_reads	ERR1135266_reads	ERR1135267_reads	ERR1135268_reads	ERR1135269_reads	ERR1135270_reads	ERR1135271_reads	ERR1135272_reads	ERR1135273_reads	ERR1135274_reads	ERR1135275_reads	ERR1135276_reads	ERR1135277_reads	ERR1135278_reads	ERR1135279_reads	ERR1135280_reads	ERR1135281_reads	ERR1135282_reads	ERR1135283_reads	ERR1135284_reads	ERR1135285_reads	ERR1135286_reads	ERR1135287_reads	ERR1135288_reads	ERR1135289_reads	ERR1135290_reads	ERR1135291_reads	ERR1135292_reads	ERR1135293_reads	ERR1135294_reads	ERR1135295_reads	ERR1135296_reads	ERR1135297_reads	ERR1135298_reads	ERR1135299_reads	ERR1135300_reads	ERR1135301_reads	ERR1135302_reads	ERR1135303_reads	ERR1135304_reads	ERR1135305_reads	ERR1135306_reads	ERR1135307_reads	ERR1135308_reads	ERR1135309_reads	ERR1135310_reads	ERR1135311_reads	ERR1135312_reads	ERR1135313_reads	ERR1135314_reads	ERR1135315_reads	ERR1135316_reads	ERR1135317_reads	ERR1135318_reads	ERR1135319_reads	ERR1135320_reads	ERR1135321_reads	ERR1135322_reads	ERR1135323_reads	ERR1135324_reads	ERR1135325_reads	ERR1135326_reads	ERR1135327_reads	ERR1135328_reads	ERR1135329_reads	ERR1135330_reads	ERR1135331_reads	ERR1135332_reads	ERR1135333_reads	ERR1135334_reads	ERR1135335_reads	ERR1135336_reads	ERR1135337_reads	ERR1135338_reads	ERR1135339_reads	ERR1135340_reads	ERR1135341_reads	ERR1135342_reads	ERR1135343_reads	ERR1135344_reads	ERR1135345_reads	ERR1135346_reads	ERR1135347_reads	ERR1135348_reads	ERR1135349_reads	ERR1135350_reads	ERR1135351_reads	ERR1135352_reads	ERR1135353_reads	ERR1135354_reads	ERR1135355_reads	ERR1135356_reads	ERR1135357_reads	ERR1135358_reads	ERR1135359_reads	ERR1135360_reads	ERR1135361_reads	ERR1135362_reads	ERR1135363_reads	ERR1135364_reads	ERR1135365_reads	ERR1135366_reads	ERR1135379_reads	ERR1135380_reads	ERR1135381_reads	ERR1135382_reads	ERR1135383_reads	ERR1135384_reads	ERR1135385_reads	ERR1135386_reads	ERR1135387_reads	ERR1135388_reads	ERR1135389_reads	ERR1135390_reads	ERR1135391_reads	ERR1135392_reads	ERR1135393_reads	ERR1135394_reads	ERR1135395_reads	ERR1135396_reads	ERR1135397_reads	ERR1135398_reads	ERR1135399_reads	ERR1135400_reads	ERR1135401_reads	ERR1135402_reads	ERR1135403_reads	ERR1135404_reads	ERR1135405_reads	ERR1135406_reads	ERR1135407_reads	ERR1135408_reads	ERR1135409_reads	ERR1135410_reads	ERR1135411_reads	ERR1135412_reads	ERR1135413_reads	ERR1135414_reads	ERR1135415_reads	ERR1135416_reads	ERR1135417_reads	ERR1135418_reads	ERR1135419_reads	ERR1135420_reads	ERR1135421_reads	ERR1135422_reads	ERR1135423_reads	ERR1135424_reads	ERR1135425_reads	ERR1135426_reads	ERR1135427_reads	ERR1135428_reads	ERR1135429_reads	ERR1135430_reads	ERR1135431_reads	ERR1135432_reads	ERR1135433_reads	ERR1135434_reads	ERR1135435_reads	ERR1135436_reads	ERR1135437_reads	ERR1135438_reads	ERR1135440_reads	ERR1135441_reads	ERR1135442_reads	ERR1135443_reads	ERR1135444_reads	ERR1135445_reads	ERR1135446_reads	ERR1135447_reads	ERR1135448_reads	ERR1135449_reads	ERR1135450_reads	ERR1135451_reads	ERR1135452_reads	ERR1135454_reads	ERR1135455_reads	ERR1135456_reads	ERR1135457_reads	ERR1135458_reads	ERR1135459_reads	ERR1135460_reads	ERR1135461_reads	ERR1135462_reads	ERR1135463_reads	ERR1135464_reads	ERR1135465_reads	ERR1135466_reads	ERR1135467_reads	ERR1135468_reads	ERR1135469_reads	ERR1135470_reads	ERR1135471_reads	ERR1135472_reads
Methanobacteriales	102	2260	5542	12194	9720	16306	3189	0.0	0.0	11356	11838	21309	29058	14906	17328	10518	46562	39068	0.0	2287	5326	3520	2483	4752	6916	290	13809	224	1168	695	0.0	3373	6566	6369	4706	22521	849	2531	2112	689	1222	3442	1897	0.0	0.0	5619	12613	765	4449	5115	3224	17888	6595	1014	2311	932	4207	6436	724	2035	4872	1679	1464	946	1685	2157	1386	15655	1891	385	3160	0.0	5813	8707	5611	8122	104	5305	0.0	12106	14698	8404	11624	0.0	1740	0.0	0.0	0.0	0.0	0.0	0.0	3920	1722	0.0	0.0	0.0	0.0	0.0	194	0.0	1989	13731	9519	12671	9694	37606	14525	11352	18303	4288	8923	4505	15331	6053	2086	1539	3255	4361	286	1046	26801	22673	915	3092	3756	5139	8842	4566	2819	5134	4763	12658	5925	13557	100	0.0	1128	1559	1641	1847	18592	26685	4880	7177	11702	1071	5723	7149	1760	8177	12383	4645	2321	2171	201	2182	1578	3315	7317	0.0	1729	318	2681	0.0	1470	9514	167	1482	2339	1144	7920	100	6693	927	4809	18410	6266	410	2984	2803	0.0	52314	8607	383	13842	6498	1525	1202	2527	25115	36638	13730	76309	67962	22593	92447	31662	51081	75386	98231	4562	14244	8359	24121	6577	5592	14098	13051	27077	17850	0.0	51177	9795	33146	26049	60116	26082	31666	85283	25579	103581	10016	56891	82174	17577	29727	58788	23159	57997	44655	82019	97718	66323	69660	66776	28878	90798	7682	6110	12421	14127	33256	31545	20114	20739	16076	14894	11851	12681	8803	40957	38472	35674	40536	39951	26440	28750	39073	35306	27280	32265	22869	68702	38116	57245	85136	5649	15748	37757	13129	20435	17469	28334	37218	9368	8997	30820	14551	5480	23684	7856
Actinomycetales	0.0	0.0	1302	1271	1853	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1544	1261	0.0	0.0	1261	0.0	42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	123	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	400	0.0	1606	0.0	0.0	0.0	1261	0.0	3718	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1261	0.0	0.0	0.0	0.0	0.0	1261	808	0.0	0.0	87	536	45	43	0.0	0.0	0.0	1503	0.0	0.0	0.0	0.0	0.0	0.0	2116	0.0	0.0	1692	1261	1348	718	255	1857	1386	1261	8871	5946	3212	4179	14852	9608	1261	0.0	2997	6423	1606	0.0	0.0	1261	0.0	4618	4580	0.0	1606	0.0	532	605	1606	1606	2866	0.0	0.0	1261	0.0	0.0	0.0	8816	18825	1606	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3212	4125	14417	4127	0.0	4051	1606	5112	2608	0.0	1261	426	0.0	0.0	0.0	1261	0.0	0.0	0.0	307
Bifidobacteriales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4589	186	10375	4336	7696	3887	7849	13059	0.0	99	0.0	6102	1724	924	550	921	1146	1279	67976	18	0.0	0.0	0.0	0.0	2073	0.0	2242	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1598	195	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	121	0.0	0.0	0.0	0.0	5113	0.0	0.0	0.0	0.0	0.0	0.0	3995	0.0	4593	0.0	51	323	0.0	0.0	0.0	103	0.0	0.0	434	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1483	836	1076	0.0	808	165	0.0	0.0	0.0	0.0	0.0	3025	30	1674	579	0.0	0.0	478	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69	0.0	572	374	0.0	52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10375	21666	7556	1160	20737	9558	4256	739	18324	75487	3065	5107	19503	18315	103	0.0	4475	138	5056	2278	15	2324	0.0	0.0	849	1733	0.0	0.0	0.0	3488	1942	0.0	847	633	0.0	0.0	0.0	2288	0.0	7087	14657	0.0	9124	6476	3914	8579	390	3716	1675	1814	4243	50117	1728	39220	15434	14383	9034	462	2102	16721	14437	2020	1169	1102	5872	5709	8543	4641	1322	1337	22588	22375	10123	9846	367	2902	2766	1711	22616	6079	9047	438	2150	7467	9507	12031	2819	24406	3457	5477	8925	4057	4327	2696	2822	434	171	3336	5091	1396	3354	1843	0.0	2299	0.0	4293
Coriobacteriales	31	0.0	209	0.0	0.0	0.0	0.0	756	1148	144	63	349	1443	241	843	197	1089	0.0	9617	1804	2729	317	143	160	0.0	0.0	212	4481	955	0.0	0.0	0.0	0.0	75	0.0	143	2464	2352	4768	5448	5267	1525	1213	3875	2274	5977	8580	2320	483	3318	2063	203	75	1099	819	0.0	782	1481	973	503	653	266	2015	3744	3302	2136	982	3398	2399	1683	3029	1061	0.0	0.0	0.0	0.0	0.0	0.0	553	0.0	0.0	0.0	0.0	0.0	213	0.0	0.0	0.0	25	0.0	11111	3088	199	852	174	148	796	574	518	0.0	3400	598	1641	4182	618	764	1036	73	223	620	1418	288	911	859	690	1871	3309	1106	1430	900	140	478	771	1430	551	544	2650	665	505	884	1673	650	421	978	893	822	31	653	1793	298	783	393	2228	1491	1337	2162	2713	508	850	718	2764	239	1648	697	802	2292	4813	1684	2536	1114	1631	2560	2910	3624	985	75	2234	785	3549	1166	2499	1820	2865	1055	2294	669	1328	723	0.0	0.0	870	420	419	211	3297	71	67	772	0.0	0.0	0.0	122	0.0	207	0.0	141	93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	117	0.0	0.0	0.0	0.0	0.0	25	324	0.0	431	321	184	0.0	0.0	0.0	1594	474	130	0.0	145	360	386	0.0	64	128	0.0	0.0	0.0	65	129	0.0	63	96	0.0	0.0	0.0	0.0	64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63	0.0	133	0.0	196	204	0.0	0.0	0.0	0.0	0.0	0.0	419	401	76	126	707	0.0	0.0	218	0.0	0.0	0.0	0.0	0.0	0.0	63	0.0	0.0	0.0	0.0
Bacteroidales	1083080	440571	253023	149705	79651	107060	558398	480407	3623923	76925	28743	33533	160575	44479	40970	109510	75326	34748	659032	472997	78841	63143	156404	50779	16187	38746	5545	441434	86634	58424	88938	24510	62286	131221	28699	110550	1561438	1849624	1120199	734348	827889	557775	1096497	2811042	2436582	485096	321023	588870	1285433	2592161	1351197	698516	531472	1380349	1006010	712092	973404	323840	1901286	1011359	596959	393003	2781870	2251491	768287	1682476	2265996	66232	1331438	925873	797845	1854549	48371	26178	14900	48345	204589	63870	613746	192385	33505	22309	35496	478065	166385	1014900	497459	517976	900153	1142105	2040513	704232	476753	3247277	2555655	1463404	1958121	799279	1491839	55464	1546277	520524	229274	368820	254166	34180	222343	330304	312963	1312769	509199	227874	245831	1708995	583892	696098	1784177	376203	1376128	1697131	84180	97333	413785	384696	847251	1065197	953490	719641	408174	1505118	695434	454009	285149	292368	845726	1461312	387606	1429373	1137422	543563	172972	17457	607424	410643	61543	958984	401162	461203	1387886	230746	262543	592401	1066959	778592	668356	846545	2221363	1375937	1031057	1051202	346608	770271	594606	1004137	878659	302313	1013294	1540059	1562602	611927	608030	2490253	496253	767136	306946	165107	481407	451924	185763	267613	726423	205682	247946	253784	199310	202963	156741	415915	205718	16261	11926	17607	10879	11925	16278	44747	18780	10173	10011	10002	2982	6410	7151	8590	7604	12982	14347	10119	5241	4891	28596	13521	5806	20610	31622	11546	6598	22637	14338	84566	28861	32253	13571	57587	65909	15391	10710	18794	12532	32224	27682	20557	24300	28310	21638	21823	7621	13985	12979	10344	12537	16216	15095	7205	5867	9157	10144	9250	8177	3858	9792	10418	24509	10901	11947	12575	12057	18731	7379	5943	1648	12757	45376	19897	37496	8297	67293	27386	60016	166506	7004	9738	22589	25024	112593	26299	18553	15418	24320	22203	29029
Chlamydiales	0.0	2835	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1123	0.0	0.0	198	412	0.0	175	508	113	0.0	0.0	0.0	0.0	0.0	0.0	406	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1743	0.0	1102	0.0	765	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1088	198	0.0	0.0	0.0	0.0	0.0	1090	0.0	0.0	0.0	246	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36	0.0	0.0	0.0	0.0	0.0	111	660	0.0	0.0	0.0	0.0	0.0	0.0	0.0	198	418	0.0	0.0	198	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	647	198	0.0	38	852	0.0	0.0	0.0	0.0	0.0	0.0	0.0	226	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	174	0.0	0.0	0.0	0.0	75	545	29	284	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	198	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Deferribacterales	0.0	5948	0.0	0.0	62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1151	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	389	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	143	0.0	0.0	174	363	0.0	429	3672	0.0	188	821	8891	0.0	0.0	442	824	1627	817	0.0	0.0	21	0.0	693	147	2046	1258	1893	515	0.0	534	458	1688	448	0.0	0.0	0.0	508	2121	1647	0.0	126	315	491	0.0	8464	125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	209	0.0	0.0	0.0	0.0	0.0	0.0	184	918	0.0	0.0	0.0	22	0.0	925	21	677	0.0	0.0	0.0	0.0	1186	4448	289	1033	0.0	0.0	356	576	277	1118	22	3040	0.0	2058	186	2667	2309	3139	0.0	1485	3049	2363	0.0	391	0.0	186	0.0	43	167	63	143	265	0.0	2105	21	7307	0.0	0.0	0.0	149	427	65	0.0	0.0	0.0	1902	984	865	1498	547	2085	1321	0.0	1933	348	1245	21	871	0.0	747	0.0	547	3070	326	806	0.0	0.0	0.0	4080	1735	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	148	0.0	0.0	0.0
Deinococcales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	512	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	512	512	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	512	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fibrobacterales	0.0	0.0	72	167	24	734	0.0	0.0	0.0	0.0	170	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1596	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	569	712	0.0	47	118	0.0	0.0	0.0	1014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	167	49	0.0	266	239	0.0	0.0	0.0	0.0	240	260	216	48	95	0.0	95	262	0.0	0.0	377	0.0	0.0	24	0.0	214	167	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25	24	0.0	453	685	260	145	0.0	0.0	24	48	0.0	0.0	72	0.0	143	121	120	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacillales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	582	2498	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3837	3793	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15196	22042	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
