ID	ERR1135178_reads	ERR1135179_reads	ERR1135180_reads	ERR1135181_reads	ERR1135182_reads	ERR1135183_reads	ERR1135184_reads	ERR1135185_reads	ERR1135186_reads	ERR1135187_reads	ERR1135188_reads	ERR1135189_reads	ERR1135190_reads	ERR1135191_reads	ERR1135192_reads	ERR1135193_reads	ERR1135194_reads	ERR1135195_reads	ERR1135196_reads	ERR1135197_reads	ERR1135198_reads	ERR1135199_reads	ERR1135200_reads	ERR1135201_reads	ERR1135202_reads	ERR1135203_reads	ERR1135204_reads	ERR1135205_reads	ERR1135206_reads	ERR1135207_reads	ERR1135208_reads	ERR1135209_reads	ERR1135210_reads	ERR1135211_reads	ERR1135212_reads	ERR1135213_reads	ERR1135214_reads	ERR1135215_reads	ERR1135216_reads	ERR1135217_reads	ERR1135218_reads	ERR1135219_reads	ERR1135220_reads	ERR1135221_reads	ERR1135222_reads	ERR1135223_reads	ERR1135224_reads	ERR1135225_reads	ERR1135226_reads	ERR1135227_reads	ERR1135228_reads	ERR1135229_reads	ERR1135230_reads	ERR1135231_reads	ERR1135232_reads	ERR1135233_reads	ERR1135234_reads	ERR1135235_reads	ERR1135236_reads	ERR1135237_reads	ERR1135238_reads	ERR1135239_reads	ERR1135240_reads	ERR1135241_reads	ERR1135242_reads	ERR1135243_reads	ERR1135244_reads	ERR1135245_reads	ERR1135246_reads	ERR1135247_reads	ERR1135248_reads	ERR1135249_reads	ERR1135250_reads	ERR1135251_reads	ERR1135252_reads	ERR1135253_reads	ERR1135254_reads	ERR1135255_reads	ERR1135256_reads	ERR1135257_reads	ERR1135258_reads	ERR1135259_reads	ERR1135260_reads	ERR1135261_reads	ERR1135262_reads	ERR1135263_reads	ERR1135264_reads	ERR1135265_reads	ERR1135266_reads	ERR1135267_reads	ERR1135268_reads	ERR1135269_reads	ERR1135270_reads	ERR1135271_reads	ERR1135272_reads	ERR1135273_reads	ERR1135274_reads	ERR1135275_reads	ERR1135276_reads	ERR1135277_reads	ERR1135278_reads	ERR1135279_reads	ERR1135280_reads	ERR1135281_reads	ERR1135282_reads	ERR1135283_reads	ERR1135284_reads	ERR1135285_reads	ERR1135286_reads	ERR1135287_reads	ERR1135288_reads	ERR1135289_reads	ERR1135290_reads	ERR1135291_reads	ERR1135292_reads	ERR1135293_reads	ERR1135294_reads	ERR1135295_reads	ERR1135296_reads	ERR1135297_reads	ERR1135298_reads	ERR1135299_reads	ERR1135300_reads	ERR1135301_reads	ERR1135302_reads	ERR1135303_reads	ERR1135304_reads	ERR1135305_reads	ERR1135306_reads	ERR1135307_reads	ERR1135308_reads	ERR1135309_reads	ERR1135310_reads	ERR1135311_reads	ERR1135312_reads	ERR1135313_reads	ERR1135314_reads	ERR1135315_reads	ERR1135316_reads	ERR1135317_reads	ERR1135318_reads	ERR1135319_reads	ERR1135320_reads	ERR1135321_reads	ERR1135322_reads	ERR1135323_reads	ERR1135324_reads	ERR1135325_reads	ERR1135326_reads	ERR1135327_reads	ERR1135328_reads	ERR1135329_reads	ERR1135330_reads	ERR1135331_reads	ERR1135332_reads	ERR1135333_reads	ERR1135334_reads	ERR1135335_reads	ERR1135336_reads	ERR1135337_reads	ERR1135338_reads	ERR1135339_reads	ERR1135340_reads	ERR1135341_reads	ERR1135342_reads	ERR1135343_reads	ERR1135344_reads	ERR1135345_reads	ERR1135346_reads	ERR1135347_reads	ERR1135348_reads	ERR1135349_reads	ERR1135350_reads	ERR1135351_reads	ERR1135352_reads	ERR1135353_reads	ERR1135354_reads	ERR1135355_reads	ERR1135356_reads	ERR1135357_reads	ERR1135358_reads	ERR1135359_reads	ERR1135360_reads	ERR1135361_reads	ERR1135362_reads	ERR1135363_reads	ERR1135364_reads	ERR1135365_reads	ERR1135366_reads	ERR1135379_reads	ERR1135380_reads	ERR1135381_reads	ERR1135382_reads	ERR1135383_reads	ERR1135384_reads	ERR1135385_reads	ERR1135386_reads	ERR1135387_reads	ERR1135388_reads	ERR1135389_reads	ERR1135390_reads	ERR1135391_reads	ERR1135392_reads	ERR1135393_reads	ERR1135394_reads	ERR1135395_reads	ERR1135396_reads	ERR1135397_reads	ERR1135398_reads	ERR1135399_reads	ERR1135400_reads	ERR1135401_reads	ERR1135402_reads	ERR1135403_reads	ERR1135404_reads	ERR1135405_reads	ERR1135406_reads	ERR1135407_reads	ERR1135408_reads	ERR1135409_reads	ERR1135410_reads	ERR1135411_reads	ERR1135412_reads	ERR1135413_reads	ERR1135414_reads	ERR1135415_reads	ERR1135416_reads	ERR1135417_reads	ERR1135418_reads	ERR1135419_reads	ERR1135420_reads	ERR1135421_reads	ERR1135422_reads	ERR1135423_reads	ERR1135424_reads	ERR1135425_reads	ERR1135426_reads	ERR1135427_reads	ERR1135428_reads	ERR1135429_reads	ERR1135430_reads	ERR1135431_reads	ERR1135432_reads	ERR1135433_reads	ERR1135434_reads	ERR1135435_reads	ERR1135436_reads	ERR1135437_reads	ERR1135438_reads	ERR1135440_reads	ERR1135441_reads	ERR1135442_reads	ERR1135443_reads	ERR1135444_reads	ERR1135445_reads	ERR1135446_reads	ERR1135447_reads	ERR1135448_reads	ERR1135449_reads	ERR1135450_reads	ERR1135451_reads	ERR1135452_reads	ERR1135454_reads	ERR1135455_reads	ERR1135456_reads	ERR1135457_reads	ERR1135458_reads	ERR1135459_reads	ERR1135460_reads	ERR1135461_reads	ERR1135462_reads	ERR1135463_reads	ERR1135464_reads	ERR1135465_reads	ERR1135466_reads	ERR1135467_reads	ERR1135468_reads	ERR1135469_reads	ERR1135470_reads	ERR1135471_reads	ERR1135472_reads
Euryarchaeota	120	2664	6531	14370	11455	19216	3758	0.0	0.0	13383	13950	25112	34243	17566	20420	12395	54872	46039	0.0	2695	6277	4148	2926	5600	8150	342	16274	264	1377	819	0.0	3975	7738	7505	5546	26540	1000	2983	2489	812	1440	4056	2236	0.0	0.0	6622	14864	901	5243	6028	3800	21081	7772	1195	2723	1099	4957	7584	854	2399	5742	1979	1725	1115	1986	2542	1633	18449	2229	454	3724	0.0	6850	10260	6612	9571	122	6252	0.0	14267	17321	9903	13699	0.0	2050	0.0	0.0	0.0	0.0	0.0	0.0	4620	2030	0.0	0.0	0.0	0.0	0.0	229	0.0	2344	16182	11217	14932	11424	44317	17117	13377	21569	5053	10516	5309	18067	7134	2458	1814	3836	5139	337	1233	31584	26720	1078	3644	4427	6056	10420	5380	3322	6051	5613	14917	6982	15977	118	0.0	1330	1838	1933	2177	21910	31447	5751	8458	13790	1263	6745	8425	2074	9636	14593	5473	2735	2559	237	2571	1860	3907	8622	0.0	2038	375	3160	0.0	1732	11212	196	1747	2757	1348	9333	118	7888	1093	5667	21696	7385	483	3516	3303	0.0	61650	10143	452	16312	7658	1797	1416	2978	29597	43176	16180	89926	80090	26625	108945	37312	60197	88839	115761	5376	16786	9851	28425	7750	6590	16614	15381	31909	21035	0.0	60310	11543	39061	30698	70844	30737	37317	100502	30144	122066	11804	67044	96839	20714	35032	69279	27291	68347	52624	96656	115157	78159	82091	78693	34032	107002	9053	7200	14637	16648	39191	37174	23703	24440	18945	17552	13966	14944	10374	48266	45338	42040	47770	47081	31158	33881	46046	41606	32148	38023	26950	80962	44918	67460	100329	6657	18558	44495	15472	24082	20586	33391	43860	11040	10602	36320	17147	6458	27911	9258
Actinobacteria	41	0.0	1137	845	1231	0.0	0.0	983	1492	8232	409	18643	9478	13805	7910	14016	24311	0.0	12678	2346	14245	3435	1806	1171	1614	2010	2518	125001	1273	0.0	0.0	0.0	0.0	3732	0.0	4118	3203	3058	6199	7084	6848	1983	1577	7839	3298	7771	11156	3017	627	4314	2682	264	97	1429	1065	0.0	1229	1925	1265	654	848	9311	2620	4867	4293	2778	1277	4419	10123	2188	11990	1379	1115	1404	0.0	0.0	838	180	747	0.0	761	0.0	0.0	0.0	278	0.0	0.0	0.0	32	0.0	14447	4015	259	1107	226	193	1035	747	673	0.0	7020	2243	4020	5437	2220	1283	1346	95	290	806	1844	5678	1237	4051	1913	2433	4302	2276	1859	1170	181	622	1002	1860	716	707	3445	864	657	1230	2175	845	547	1271	1162	1069	41	849	2451	388	2020	1432	2896	3098	1738	2811	3527	1498	1105	3404	3594	311	2143	906	1043	2979	6257	2190	3297	1448	2121	3328	3784	4711	1281	97	2905	1021	4614	1515	3250	2367	3724	1372	2983	19060	39710	14186	2033	36356	17888	8008	1841	32400	137469	5466	9041	35195	32109	180	838	8540	243	9133	4051	566	4224	29	0.0	1489	3038	999	0.0	0.0	6268	3405	0.0	1485	2515	0.0	33	1546	4849	1456	13320	26105	1234	16918	12191	14829	19608	2987	9292	12995	10034	8779	87864	5105	73195	28126	25216	15838	1732	3853	32385	28436	3665	3117	1932	10649	10411	16129	9204	4223	2344	39601	40065	17748	17262	644	11028	17360	4240	39650	10912	16126	768	3769	13092	16667	21092	7077	46075	16163	12444	15811	10724	8652	8125	6964	760	1138	6132	8926	2447	5881	4151	0.0	4030	0.0	7730
Bacteroidetes	1208778	491702	282388	167079	88895	119485	623203	536161	4044502	85853	32078	37425	179211	49641	45725	122219	84068	38781	735516	527891	87991	70472	174556	56673	18066	43243	6189	492665	96689	65205	99259	27354	69514	146450	32030	123380	1742652	2064284	1250205	819574	923970	622508	1223752	3137281	2719363	541395	358280	657212	1434615	2892997	1508011	779583	593153	1540547	1122763	794735	1086374	361423	2121942	1128733	666240	438613	3104723	2512791	857451	1877737	2528979	73919	1485960	1033327	890440	2069781	53985	29216	16629	53955	228333	71283	684975	214712	37393	24898	39616	533547	185695	1132686	555192	578090	1004622	1274654	2277328	785962	532083	3624144	2852255	1633241	2185373	892041	1664976	61901	1725732	580934	255883	411624	283663	38147	248147	368637	349285	1465124	568295	254320	274362	1907335	651656	776884	1991241	419864	1535836	1894093	93949	108629	461807	429343	945580	1188820	1064149	803160	455545	1679796	776143	506699	318243	326299	943877	1630906	432591	1595260	1269427	606647	193047	19483	677919	458300	68686	1070280	447720	514728	1548959	257525	293013	661153	1190787	868953	745923	944792	2479166	1535623	1150717	1173200	386834	859666	663613	1120674	980633	337398	1130893	1718792	1743951	682944	678596	2779262	553847	856167	342570	184269	537277	504372	207322	298671	810729	229552	276722	283238	222441	226519	174932	464185	229593	18148	13310	19650	12141	13309	18167	49940	20959	11353	11173	11163	3329	7154	7981	9587	8486	14489	16012	11293	5850	5458	31915	15090	6480	23002	35292	12886	7364	25265	16002	94380	32211	35996	15146	64270	73558	17177	11953	20976	13986	35964	30895	22943	27120	31595	24150	24355	8505	15608	14485	11544	13993	18097	16847	8041	6548	10220	11322	10324	9126	4306	10928	11627	27353	12167	13334	14035	13456	20905	8235	6633	1840	14238	50643	22206	41848	9260	75103	30565	66981	185830	7816	10869	25211	27929	125660	29351	20706	17207	27143	24780	32398
Chlamydiae	0.0	2835	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1123	0.0	0.0	198	412	0.0	175	508	113	0.0	0.0	0.0	0.0	0.0	0.0	406	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1743	0.0	1102	0.0	765	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1088	198	0.0	0.0	0.0	0.0	0.0	1090	0.0	0.0	0.0	246	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36	0.0	0.0	0.0	0.0	0.0	111	660	0.0	0.0	0.0	0.0	0.0	0.0	0.0	198	418	0.0	0.0	198	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	647	198	0.0	38	852	0.0	0.0	0.0	0.0	0.0	0.0	0.0	226	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	174	0.0	0.0	0.0	0.0	75	545	29	284	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	198	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Deferribacteres	0.0	5948	0.0	0.0	62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1151	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	389	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	143	0.0	0.0	174	363	0.0	429	3672	0.0	188	821	8891	0.0	0.0	442	824	1627	817	0.0	0.0	21	0.0	693	147	2046	1258	1893	515	0.0	534	458	1688	448	0.0	0.0	0.0	508	2121	1647	0.0	126	315	491	0.0	8464	125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	209	0.0	0.0	0.0	0.0	0.0	0.0	184	918	0.0	0.0	0.0	22	0.0	925	21	677	0.0	0.0	0.0	0.0	1186	4448	289	1033	0.0	0.0	356	576	277	1118	22	3040	0.0	2058	186	2667	2309	3139	0.0	1485	3049	2363	0.0	391	0.0	186	0.0	43	167	63	143	265	0.0	2105	21	7307	0.0	0.0	0.0	149	427	65	0.0	0.0	0.0	1902	984	865	1498	547	2085	1321	0.0	1933	348	1245	21	871	0.0	747	0.0	547	3070	326	806	0.0	0.0	0.0	4080	1735	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	148	0.0	0.0	0.0
Deinococcus_Thermus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	445	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	445	445	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	445	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fibrobacteres	0.0	0.0	72	167	24	734	0.0	0.0	0.0	0.0	170	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1596	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	569	712	0.0	47	118	0.0	0.0	0.0	1014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	167	49	0.0	266	239	0.0	0.0	0.0	0.0	240	260	216	48	95	0.0	95	262	0.0	0.0	377	0.0	0.0	24	0.0	214	167	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25	24	0.0	453	685	260	145	0.0	0.0	24	48	0.0	0.0	72	0.0	143	121	120	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Firmicutes	811281	1034867	507380	461826	337796	133418	706036	1436699	1371787	165743	167792	421429	377504	300621	565530	692171	331381	267303	1578612	906784	522027	442781	349908	373560	241269	301799	216428	1170032	252560	60826	69669	156853	112889	340030	199959	162888	1327081	966148	871102	803011	809644	1585375	534257	1274719	709821	1222251	1673459	691315	1132681	1442737	1036332	1810699	498758	897477	882039	745185	879641	556522	891229	734500	607046	674641	972836	1681190	1293161	1093712	1299469	637004	1452358	1036430	1295461	1262622	218249	156679	146817	111815	125338	165760	827779	641283	173330	196443	243548	639654	422010	553915	315985	381353	1057298	570378	1208333	646076	694266	739197	2074999	1245995	660516	349462	752813	43720	2286575	1088255	588354	902892	441690	763096	736772	257739	368691	738601	1207627	429367	545024	1212614	1151212	1037964	1520031	653365	586846	934800	261703	322009	469922	558727	412920	867574	1144933	768566	1073513	642790	1024151	796566	558781	1171568	755810	943068	747639	930288	1012833	646278	240455	223434	430707	519485	276520	980213	818146	519792	870999	412240	1411598	552945	901329	489195	508978	620609	1445264	898753	724109	680719	436231	616979	719594	1047162	883627	423538	888874	648275	843739	705403	694682	626615	880497	696994	839318	289551	493410	405237	216616	203488	447187	387626	259931	211718	447883	143728	217376	417735	321210	347459	230002	166326	328052	220728	125813	356271	208821	266078	186064	198935	179563	55197	89169	97904	76470	48034	200509	325703	92212	105401	140545	341966	235045	450882	301436	314023	94243	269226	174509	238538	236736	175763	152304	152216	180183	219476	275421	201311	273536	401330	328578	343624	145942	186890	218577	247655	386883	53120	48216	65550	62700	111142	298050	71085	71839	71257	76564	56222	49365	102328	114951	100094	227760	258274	194813	140036	184200	110654	183751	82218	125387	81860	195563	290120	223026	145003	180066	315028	236752	214346	302962	257405	338797	305706	336946	306548	279118	237853	292794	253717	377297
Fusobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10484	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1191	0.0	0.0	432	0.0	218	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Proteobacteria	23059	9568	22858	15246	15735	13817	8608	156921	135424	17598	10441	43596	17516	62203	27095	40160	13498	18250	141386	82551	87800	2995	6001	72130	5009	11210	7585	70201	22445	7422	15613	2139	9633	71580	21974	125289	1436	5454	6962	10312	8190	3023	14780	24379	2888	14188	6269	7513	0.0	3512	4372	14156	7439	5165	9017	30832	15632	16535	6212	11905	20877	590	16025	171	7369	2922	33203	8038	8273	6829	11890	23263	5570	9834	40849	10468	3011	25028	17347	9327	27375	50725	25048	9143	11361	8245	6395	9276	9476	14505	626	3352	1953	2725	1691	6231	8079	5568	3343	277	2411	5852	18515	13581	8538	16356	19546	27984	35175	37739	17992	29437	16807	13102	38869	13272	22225	4393	13730	44998	14075	20212	16196	9299	18068	33063	42615	28120	54405	16444	20687	30419	32404	21771	42300	25877	20787	30924	48598	34272	64992	62813	36571	34104	15188	26062	37601	28278	22704	18519	10542	18268	8382	10631	29639	27103	16593	13406	20052	32678	6269	6623	18974	7111	13487	18635	15408	16020	25172	14776	14343	14491	21434	34553	11543	24708	12364	10518	20992	23517	17392	4467	23129	3973	11153	13827	18689	18826	33621	264618	6676	19022	212571	14927	22363	36495	41933	10744	186700	22336	1200	19175	2351	16653	4435	3176	7066	6022	6600	11026	16226	6299	5168	6519	5113	3270	9209	99497	33280	37508	207378	70520	25971	352231	36122	201036	49288	90746	159862	51063	49763	81847	109138	53393	89586	225784	113162	16688	18931	128277	109010	150410	40289	26707	22870	39527	41811	10357	10344	43755	94399	96012	25614	213202	9900	22034	76837	128451	56249	20575	101065	44669	71097	55244	438033	57940	90413	19358	10976	32962	3973	2748	8364	8390	6889	8755	6527	4927	4592	9461	11805
