Sample	Acidobacteria	Actinobacteria	Aquificae	Armatimonadetes	Bacteroidetes	Balneolaeota	Calditrichaeota	Candidatus Bipolaricaulota	Candidatus Cloacimonetes	Candidatus Gracilibacteria	Candidatus Korarchaeota	Candidatus Micrarchaeota	Candidatus Saccharibacteria	Chlamydiae	Chlorobi	Chloroflexi	Chrysiogenetes	Coprothermobacterota	Crenarchaeota	Cyanobacteria	Deferribacteres	Deinococcus-Thermus	Dictyoglomi	Elusimicrobia	Euryarchaeota	Fibrobacteres	Firmicutes	Fusobacteria	Gemmatimonadetes	Ignavibacteriae	Kiritimatiellaeota	Lentisphaerae	Nitrospirae	Planctomycetes	Proteobacteria	Spirochaetes	Synergistetes	Tenericutes	Thaumarchaeota	Thermodesulfobacteria	Thermotogae	Verrucomicrobia	candidate division Zixibacteria
ERR1135178	1508	63816	620	258	667390	158	151	20	91	56	25	3	303	9176	1514	1844	128	57	606	10314	746	2091	117	235	28030	390	1206581	4329	321	251	241	380	387	5586	216354	126133	1267	7846	420	336	1280	2476	52
ERR1135179	544	19346	615	106	458749	135	72	11	96	58	4	4	262	121927	918	1173	38	56	728	9792	643	523	183	364	7969	494	1223330	5605	77	363	101	101	265	2802	141767	26941	511	10865	487	344	1678	980	37
ERR1135180	1357	65602	808	345	465902	125	164	30	77	58	8	5	557	7933	1689	2235	163	81	827	10711	581	2345	162	337	29699	5675	915342	4712	338	345	351	975	465	6548	209374	43600	1685	8885	428	428	1859	2800	80
ERR1135181	1357	65249	758	318	411084	141	154	20	82	56	11	5	274	815	1594	2351	114	73	768	10199	547	2340	158	439	35077	12652	819345	4728	339	354	309	774	443	6153	204521	34274	2115	9673	376	408	1686	2801	82
ERR1135182	1485	66735	650	368	412770	138	122	41	67	29	5	5	298	680	1524	2367	123	67	642	9000	514	2552	110	216	27107	5504	688929	3821	293	354	295	644	421	6255	199693	20492	2813	6495	334	427	1395	3139	56
ERR1135183	1563	64910	720	357	495502	137	123	27	77	42	7	6	277	744	1857	2437	151	53	676	11245	531	2527	148	292	25654	23568	587327	4764	299	373	370	647	434	6537	204804	37036	2294	7607	476	381	1686	3276	51
ERR1135184	1216	51940	566	242	573378	131	106	16	69	40	20	10	288	846	1458	2213	122	56	658	9477	609	1905	126	278	21019	1404	1068883	4045	288	322	263	485	415	5569	166257	23499	1251	7568	368	362	1383	2284	52
ERR1135185	1153	57364	480	200	519305	159	85	41	81	33	8	6	340	441	1384	2314	92	47	526	7657	544	1692	76	177	8966	1435	1751285	3024	345	279	267	365	393	5592	478842	187429	1505	6202	284	274	1103	2229	62
ERR1135186	1295	51441	485	241	967621	231	112	27	116	23	18	4	313	973	1673	1666	79	93	387	9944	913	1651	104	228	6010	437	1824712	3042	315	214	219	185	366	5257	432127	4948	904	4133	347	292	982	2177	28
ERR1135187	2170	100056	768	419	457064	199	166	48	75	35	3	7	270	641	2100	2848	190	60	719	10383	557	3382	144	824	33853	3012	534449	2932	581	377	566	1635	603	10175	247658	21377	4283	5800	370	505	1406	5086	122
