sample_id	Acidimicrobiia	Acidithiobacillia	Acidobacteriia	Actinobacteria	Alphaproteobacteria	Anaerolineae	Aquificae	Archaeoglobi	Ardenticatenia	Bacilli	Bacteroidia	Betaproteobacteria	Blastocatellia	Caldilineae	Calditrichae	Candidatus Brocadiae	Chitinophagia	Chlamydiia	Chlorobia	Chloroflexia	Chrysiogenetes	Chthonomonadetes	Clostridia	Coprothermobacteria	Coriobacteriia	Cytophagia	Deferribacteres	Dehalococcoidia	Deinococci	Deltaproteobacteria	Dictyoglomia	Elusimicrobia	Endomicrobia	Epsilonproteobacteria	Erysipelotrichia	Fibrobacteria	Fimbriimonadia	Flavobacteriia	Fusobacteriia	Gammaproteobacteria	Gemmatimonadetes	Gloeobacteria	Halobacteria	Hydrogenophilalia	Ignavibacteria	Kiritimatiellae	Ktedonobacteria	Lentisphaeria	Limnochordia	Methanobacteria	Methanococci	Methanomicrobia	Methanopyri	Methylacidiphilae	Mollicutes	Negativicutes	Nitriliruptoria	Nitrososphaeria	Nitrospira	Oligoflexia	Opitutae	Phycisphaerae	Planctomycetia	Rubrobacteria	Saprospiria	Spartobacteria	Sphingobacteriia	Spirochaetia	Synergistia	Tepidiformia	Thermococci	Thermodesulfobacteria	Thermoleophilia	Thermomicrobia	Thermoplasmata	Thermoprotei	Thermotogae	Tissierellia	Unclassified Acidobacteria Phylum	Unclassified Actinobacteria Phylum	Unclassified Armatimonadetes Phylum	Unclassified Bacteroidetes Phylum	Unclassified Balneolaeota Phylum	Unclassified Candidatus Bipolaricaulota Phylum	Unclassified Candidatus Cloacimonetes Phylum	Unclassified Candidatus Gracilibacteria Phylum	Unclassified Candidatus Korarchaeota Phylum	Unclassified Candidatus Micrarchaeota Phylum	Unclassified Candidatus Saccharibacteria Phylum	Unclassified Chloroflexi Phylum	Unclassified Cyanobacteria Phylum	Unclassified Elusimicrobia Phylum	Unclassified Euryarchaeota Phylum	Unclassified Firmicutes Phylum	Unclassified Kiritimatiellaeota Phylum	Unclassified Planctomycetes Phylum	Unclassified Proteobacteria Phylum	Unclassified Tenericutes Phylum	Unclassified Thaumarchaeota Phylum	Unclassified Verrucomicrobia Phylum	Unclassified candidate division Zixibacteria Phylum	Verrucomicrobiae	Vicinamibacteria	Zetaproteobacteria
FT00001	0	0	1	115	114	1	32	0	0	5167	17304	418	0	0	0	2	25	0	996	0	0	0	3721	0	41	85	1	2	3	78	3	1	0	21	48	0	0	84	24	5466	0	0	6	0	0	0	0	0	0	4	1	1	0	1	3	209	0	5	0	0	2	0	5	1	2	0	31	13	2	0	2	0	0	0	0	89	3	13	0	1	0	98	0	0	0	0	0	0	0	0	27	0	0	41	0	3	41	0	0	0	0	3687	0	0
FT00002	1	2	10	525	303	3	14	1	1	2270	43887	543	0	0	1	0	42	2	487	3	0	0	14471	1	203	77	2	4	20	381	1	0	0	73	198	2	1	177	26	7984	1	0	13	0	2	0	1	3	0	164	3	11	1	1	21	781	1	4	3	3	4	2	16	2	5	0	46	28	9	0	2	1	3	0	2	40	10	64	0	9	1	258	0	0	0	0	0	0	0	0	47	0	1	330	0	16	75	0	1	0	0	2563	0	1
FT00003	1	0	2	312	120	0	2	1	0	1877	13577	243	1	1	1	0	17	1	308	2	0	0	4602	0	146	95	0	0	6	87	0	0	0	25	93	0	0	56	8	2853	1	0	8	0	1	0	0	15	0	3	1	3	0	1	12	361	0	3	0	1	3	1	5	0	0	0	17	4	2	0	0	0	1	0	18	39	3	6	0	3	0	86	0	0	0	0	0	0	1	0	27	0	0	73	0	7	47	1	0	0	0	1295	0	0
FT00004	0	1	0	142	76	0	14	0	0	1987	27511	255	0	2	0	1	14	1	505	1	0	0	5054	0	57	91	0	1	3	72	1	0	0	24	56	1	0	76	26	3420	1	0	5	0	0	0	0	0	0	2	0	3	2	0	8	316	0	3	0	1	1	4	2	0	2	0	11	7	8	0	1	0	0	0	1	34	2	8	0	1	1	114	0	0	0	0	0	0	0	0	26	0	0	85	0	11	31	0	0	0	0	1314	1	0
FT00005	2	6	33	1637	966	10	33	6	0	5199	109356	1386	1	6	4	4	237	16	634	3	2	2	76592	2	822	631	13	26	33	529	1	1	2	313	720	3	0	1061	66	12817	5	4	43	0	6	6	1	37	2	109	7	45	8	3	50	9612	5	14	7	18	19	11	49	8	10	0	343	142	27	4	18	7	4	2	30	84	23	65	0	13	1	969	0	1	8	0	0	0	8	0	182	1	2	1179	2	107	381	3	1	3	0	1887	0	2
FT00006	0	2	5	621	217	4	23	0	1	3214	51090	442	0	0	1	0	29	1	639	2	0	0	13130	0	203	75	3	6	16	158	0	0	1	69	239	1	0	134	26	5497	2	0	7	0	0	0	0	3	0	10	1	9	2	0	15	1204	0	1	0	0	6	2	5	1	1	0	36	23	9	0	4	1	1	2	3	72	5	17	1	6	0	252	1	0	0	0	0	0	1	0	56	0	1	229	2	19	70	1	0	5	0	3818	4	0
FT00007	2	0	3	582	356	2	22	2	2	3326	93503	708	0	4	0	0	65	2	608	4	1	1	16449	1	214	189	2	3	17	251	3	1	0	149	230	4	2	210	22	4097	2	0	14	0	0	0	1	6	3	123	3	6	5	2	18	1832	2	5	4	5	2	3	16	6	3	0	53	40	26	0	2	0	1	0	35	56	4	26	0	3	0	497	1	0	0	1	0	0	0	0	68	0	0	353	0	25	82	1	2	2	0	4607	0	1
FT00008	2	0	5	407	238	4	19	0	1	6422	33041	554	0	1	0	0	27	2	630	0	1	0	13236	1	170	44	2	5	7	231	4	0	3	170	193	0	1	139	13	8285	1	1	14	0	3	1	0	2	1	90	1	6	4	1	11	445	2	2	1	2	4	3	5	1	5	1	41	25	5	1	2	3	0	3	3	56	8	42	0	6	0	148	0	0	0	0	0	0	1	0	48	0	0	246	1	12	88	0	0	2	2	2657	1	1
FT00009	4	5	14	3314	610	8	31	4	1	4494	89085	940	2	5	2	0	61	4	701	5	3	2	37765	0	652	182	9	13	30	304	3	2	3	246	975	8	0	340	40	27982	3	1	19	0	4	2	0	24	2	200	3	20	1	3	38	697	5	4	3	12	9	13	21	5	4	0	108	72	22	2	11	0	7	3	13	72	25	73	0	20	3	644	0	3	1	0	0	0	3	1	109	1	1	909	2	35	243	1	0	5	2	1252	0	1
FT00010	0	0	3	320	214	0	14	0	0	3790	12267	550	0	3	0	0	33	0	924	0	2	0	8147	1	154	70	0	4	16	62	0	0	0	39	134	0	1	98	38	6911	1	1	9	0	0	0	0	6	0	26	2	2	4	0	14	424	0	5	0	3	1	2	4	0	2	0	30	18	0	0	4	0	1	0	16	86	3	8	0	2	0	53	0	0	1	0	0	0	1	0	55	0	0	153	0	17	51	0	0	1	2	3794	0	0
