sample_id	Acidobacteria	Actinobacteria	Aquificae	Armatimonadetes	Bacteroidetes	Balneolaeota	Calditrichaeota	Candidatus Bipolaricaulota	Candidatus Cloacimonetes	Candidatus Gracilibacteria	Candidatus Korarchaeota	Candidatus Micrarchaeota	Candidatus Saccharibacteria	Chlamydiae	Chlorobi	Chloroflexi	Chrysiogenetes	Coprothermobacterota	Crenarchaeota	Cyanobacteria	Deferribacteres	Deinococcus-Thermus	Dictyoglomi	Elusimicrobia	Euryarchaeota	Fibrobacteres	Firmicutes	Fusobacteria	Gemmatimonadetes	Ignavibacteriae	Kiritimatiellaeota	Lentisphaerae	Nitrospirae	Planctomycetes	Proteobacteria	Spirochaetes	Synergistetes	Tenericutes	Thaumarchaeota	Thermodesulfobacteria	Thermotogae	Verrucomicrobia	candidate division Zixibacteria
FT00001	1	158	32	0	17629	0	0	0	0	0	0	0	0	0	996	3	0	0	89	27	1	3	3	1	14	0	9199	24	0	0	0	0	0	10	6138	13	2	3	5	0	3	3690	0
FT00002	10	744	14	2	44492	0	1	0	0	0	0	0	0	2	487	12	0	1	40	47	2	20	1	0	198	2	18114	26	1	2	0	3	3	34	9365	28	9	21	5	1	10	2568	0
FT00003	3	463	2	0	13848	0	1	0	0	0	0	0	1	1	308	3	0	0	39	27	0	6	0	0	34	0	7012	8	1	1	0	15	0	13	3376	4	2	13	3	0	3	1299	0
FT00004	1	200	14	1	27819	0	0	0	0	0	0	0	0	1	505	4	0	0	34	26	0	3	1	0	14	1	7506	26	1	0	0	0	0	18	3880	7	8	8	3	0	2	1315	0
FT00005	34	2491	33	3	112607	0	4	1	8	0	0	0	8	16	634	52	2	2	84	186	13	33	1	4	268	3	93369	66	5	6	8	37	7	171	16418	142	27	53	15	7	23	1912	0
FT00006	10	832	23	0	51617	1	1	0	0	0	0	0	1	1	639	15	0	0	72	56	3	16	0	1	37	1	18033	26	2	0	2	3	0	26	6455	23	9	16	1	1	5	3829	0
FT00007	3	810	22	3	94520	1	0	0	0	1	0	0	0	2	608	16	1	1	56	68	2	17	3	1	190	4	22219	22	2	0	0	6	4	44	5649	40	26	19	7	0	4	4613	0
FT00008	6	588	19	1	33445	0	0	0	0	0	0	0	1	2	630	15	1	1	56	49	2	7	4	3	120	0	20585	13	1	3	2	2	1	20	9569	25	5	11	2	3	8	2665	2
FT00009	16	4007	31	5	90424	0	2	3	1	0	0	0	3	4	701	38	3	0	72	110	9	30	3	6	272	8	44915	40	3	4	4	24	3	69	30343	72	22	39	4	0	25	1269	2
FT00010	3	477	14	1	12553	0	0	0	1	0	0	0	1	0	924	7	2	1	86	56	0	16	0	0	63	0	12656	38	1	0	0	6	0	23	7830	18	0	14	5	0	3	3796	2
FT00011	2	264	9	0	11774	2	1	0	0	0	0	0	0	1	412	3	0	0	50	28	1	3	2	0	101	2	10922	33	0	0	0	0	0	13	6154	4	2	8	4	0	2	2456	0
FT00012	16	6219	46	3	31291	1	0	2	2	0	0	0	1	4	1117	29	2	0	42	108	3	79	1	0	273	0	26584	31	7	2	1	8	1	77	10439	54	9	50	10	1	10	489	2
FT00013	13	671	14	1	51961	0	0	0	0	0	0	0	0	1	511	14	3	0	47	62	3	12	2	1	152	0	16937	14	0	4	0	2	1	35	6089	29	50	12	6	5	8	4810	2
FT00014	7	602	39	2	58784	1	1	0	1	0	0	0	0	1	869	8	1	0	59	74	3	13	0	3	84	1	19132	23	0	1	2	5	3	38	7159	27	15	14	4	0	3	2997	1
FT00015	7	703	16	3	40933	1	0	0	0	0	0	0	0	1	771	12	0	0	54	50	2	12	2	1	531	0	16127	69	1	1	2	2	1	37	4780	30	11	17	3	2	5	4830	0
FT00016	3	707	9	0	32016	1	1	0	0	0	0	0	2	1	413	8	0	0	43	32	2	4	0	1	20	0	13685	30	0	1	3	0	2	18	6015	15	7	12	2	2	3	5538	1
FT00017	7	885	17	0	54460	0	0	1	1	0	0	0	0	3	604	9	0	0	53	44	1	10	0	1	94	0	17417	21	2	3	0	2	2	24	6747	20	9	13	7	1	3	3000	0
FT00018	2	754	21	1	39432	0	0	0	0	0	0	0	4	1	770	11	2	0	58	50	3	10	1	1	28	0	19687	16	1	2	2	4	0	27	8989	13	7	13	7	2	8	1316	0
FT00019	1	348	17	0	22618	1	0	0	0	0	0	0	1	0	549	5	0	0	63	28	0	5	0	0	368	0	9553	8	1	0	0	0	1	8	4848	10	4	11	1	2	1	267	0
FT00020	4	1101	17	0	35075	1	1	0	0	0	0	0	3	1	494	10	0	0	50	46	2	14	0	0	207	0	16055	22	1	0	0	6	4	41	5133	14	8	10	0	1	3	2202	0
FT00021	5	844	18	0	60100	0	1	0	0	0	0	0	1	2	644	8	1	0	45	52	5	12	3	2	134	1	22030	23	2	2	3	3	3	40	5937	35	54	9	6	1	1	5784	0
FT00022	5	550	9	0	28903	0	0	0	0	0	0	0	0	0	212	4	1	0	29	23	0	6	0	0	15	0	8979	26	1	2	0	4	1	17	6351	11	2	6	4	0	5	1199	0
FT00023	2	595	11	0	19610	1	0	0	0	0	0	0	2	1	454	6	1	0	43	38	1	7	2	0	17	0	8341	11	2	2	0	3	1	12	3779	9	1	8	2	0	2	1183	2
FT00024	11	3036	21	2	79753	0	0	0	2	0	0	0	1	2	723	9	0	0	80	40	1	10	0	0	35	0	20971	56	1	1	0	0	0	32	14671	30	3	11	3	1	3	405	2
FT00025	3	337	2	1	13779	0	0	0	0	0	0	0	1	0	238	2	0	0	33	13	2	6	0	0	61	1	6704	10	1	0	0	7	1	10	4310	9	2	6	2	0	2	800	0
FT00026	9	730	4	1	27841	0	0	0	0	0	0	0	3	4	227	9	1	0	24	58	1	13	0	0	39	0	16935	15	3	0	1	1	1	38	6183	32	6	10	11	3	3	5148	0
FT00027	4	690	16	0	50736	0	1	2	1	0	0	0	2	1	636	10	1	0	40	68	2	6	1	0	99	2	20669	13	4	1	1	6	2	30	3939	22	8	13	2	2	3	3941	3
FT00028	10	3667	19	3	50636	1	0	1	0	0	0	0	3	1	477	19	0	1	58	47	5	18	1	0	39	2	23472	27	5	3	2	2	3	28	6968	12	3	13	5	0	2	599	2
FT00030	1	335	25	0	32037	0	0	0	0	0	0	0	1	2	932	3	0	0	74	34	0	6	1	0	262	1	11855	5	0	0	0	2	1	18	6447	19	0	3	0	0	1	203	0
FT00032	6	893	13	0	80579	0	0	0	0	0	0	0	3	2	374	13	2	0	72	70	0	24	0	0	165	1	26894	26	2	1	3	2	1	42	6649	33	26	18	4	1	5	5196	1
FT00033	6	557	11	0	38552	0	0	0	0	0	0	0	0	1	433	12	3	1	67	42	0	4	1	0	274	1	13749	38	0	2	3	3	1	22	6630	15	0	13	4	0	3	2507	1
FT00034	4	1119	9	1	50335	0	0	0	0	0	0	0	1	4	543	11	2	0	52	54	4	38	1	0	84	2	19293	12	1	1	0	2	0	31	7036	32	16	17	8	1	4	7676	2
FT00035	4	698	17	1	40464	1	0	0	1	0	0	0	0	1	734	17	0	0	58	42	1	9	0	1	84	0	15104	12	1	1	1	6	2	18	4725	20	2	19	3	0	4	1589	0
FT00036	1	415	15	0	22461	1	0	0	0	0	0	0	2	4	456	10	1	0	43	46	0	8	2	0	35	0	9381	4	3	0	0	0	0	25	3615	18	3	13	5	0	1	535	0
FT00037	4	380	18	0	18096	0	0	0	2	0	0	0	0	2	721	7	0	0	76	41	0	8	1	1	43	0	11561	17	1	0	1	9	1	8	5261	24	3	12	6	0	4	469	0
FT00038	8	797	22	0	52922	1	2	1	1	0	0	0	1	4	871	13	3	0	60	68	1	20	1	0	129	2	21858	13	3	1	0	1	2	34	8432	39	29	15	5	0	5	2345	0
FT00039	4	595	32	3	23264	1	0	0	1	0	0	0	0	0	924	13	1	0	72	46	1	14	0	0	74	1	12517	5	2	1	0	6	1	22	5610	14	8	8	7	1	5	2701	0
FT00040	4	378	16	1	19839	0	0	0	0	0	0	0	1	2	612	1	0	0	76	48	0	9	1	3	30	0	9143	5	1	0	0	3	2	14	4281	16	2	12	7	0	2	189	0
FT00041	5	432	9	2	25419	0	0	1	0	0	0	0	0	1	286	5	0	0	31	40	0	5	1	0	38	1	8454	28	1	1	0	1	0	20	5341	6	3	13	1	0	3	1641	0
FT00042	3	461	11	2	23327	0	0	0	0	1	0	0	0	1	294	4	0	1	49	47	1	12	1	0	77	1	11174	16	1	2	0	5	2	21	3524	17	6	14	2	1	4	1310	1
FT00043	1	355	15	1	16659	0	0	0	0	0	0	0	5	1	586	7	0	0	43	30	0	6	2	1	84	0	8355	18	1	1	0	1	3	7	3686	8	2	4	1	0	2	744	0
FT00044	10	1818	24	2	52293	0	0	0	1	0	0	0	1	5	560	41	1	0	52	92	5	23	3	0	240	0	39884	19	6	3	9	5	1	86	8799	58	11	42	5	4	11	7706	1
FT00045	5	818	16	4	59519	0	1	0	0	0	0	0	1	1	793	15	0	0	61	52	3	15	1	0	329	1	25540	27	3	2	0	2	9	38	11899	25	6	18	3	1	3	1270	3
FT00046	2	326	9	1	28715	0	0	0	0	0	0	0	0	0	313	2	0	0	20	24	1	4	0	1	25	1	9313	21	2	0	0	7	1	19	3532	15	3	5	5	0	3	1065	0
FT00047	23	3239	18	7	103400	2	0	1	0	1	0	0	3	13	521	43	0	1	49	112	8	47	4	2	436	12	68370	61	8	4	7	144	4	102	25020	69	23	47	4	3	16	3525	1
FT00048	6	645	18	1	42878	0	0	0	1	0	0	0	0	1	554	11	1	0	49	54	1	10	0	1	278	2	15954	17	0	1	1	1	2	25	11121	22	5	12	4	1	10	7380	0
FT00049	5	778	19	0	40511	0	1	0	1	0	0	0	0	2	643	12	1	0	56	55	3	11	2	3	149	1	18007	15	4	0	1	9	1	29	13817	30	21	11	2	0	1	2613	1
FT00050	7	731	27	0	182016	0	0	0	0	0	0	0	9	2	842	12	2	0	81	71	5	11	1	1	41	3	29964	15	0	0	3	6	4	44	11229	30	11	20	9	1	2	1663	0
FT00051	7	523	10	0	21868	1	1	0	0	0	0	0	0	1	199	6	0	0	22	25	0	13	1	0	199	1	11055	13	2	3	0	1	0	22	4998	23	0	6	2	2	4	1099	1
FT00052	0	336	11	1	19486	0	0	0	0	0	0	0	1	0	308	3	0	0	29	35	0	1	1	0	88	0	7900	41	1	1	0	3	0	14	3079	10	3	7	4	0	4	531	0
FT00053	4	403	32	0	44559	0	0	0	1	0	0	0	0	2	851	10	0	0	78	29	0	6	1	1	32	1	13236	15	0	2	0	1	1	20	4494	13	1	5	3	0	4	922	1
FT00054	3	275	13	0	14393	0	0	0	1	0	0	0	0	1	716	3	0	0	77	29	0	4	1	0	28	0	8721	3	1	0	0	4	3	14	2757	12	5	9	3	0	1	2159	0
FT00055	1	272	8	1	18858	0	0	0	0	0	0	0	1	1	669	0	0	0	31	39	2	4	2	0	153	1	8189	2	0	1	0	1	1	16	3336	10	1	8	7	1	0	914	0
FT00056	4	526	8	0	31669	0	0	1	0	0	0	0	0	2	452	10	0	0	50	41	1	9	0	1	85	2	12343	31	2	2	1	5	2	24	6302	17	8	10	5	1	1	3085	0
FT00057	2	2390	19	2	30576	0	0	0	0	0	0	0	1	0	352	5	0	0	34	34	2	15	0	0	36	0	14386	23	0	1	1	3	3	18	5466	24	19	12	6	0	1	3204	0
FT00058	10	917	14	4	59820	2	0	0	0	0	0	0	4	1	333	6	0	0	64	68	5	14	0	0	190	2	21482	30	7	0	3	1	4	51	5615	26	69	14	4	0	3	8973	0
FT00059	4	583	5	0	27274	1	0	0	0	0	0	0	1	2	280	8	1	0	26	25	2	5	0	0	16	0	9329	8	2	0	0	9	0	16	6004	12	0	6	5	0	1	1187	0
FT00061	9	546	12	1	22658	0	0	0	0	0	0	0	1	2	540	5	0	0	44	53	1	8	0	2	151	0	17559	11	2	1	2	5	2	24	8578	20	6	10	1	1	6	3204	0
FT00062	5	517	6	1	35193	0	0	0	0	0	0	0	0	2	267	5	1	0	16	29	1	10	1	0	202	0	11781	10	0	0	2	6	1	15	5583	19	2	15	0	1	2	2368	0
FT00063	56	6142	19	17	140355	3	2	0	0	1	0	0	9	11	461	108	2	1	60	241	11	123	3	5	524	6	110668	72	13	7	12	80	27	253	10841	143	79	140	5	7	29	8172	1
FT00064	4	891	15	1	59032	0	1	0	1	0	0	0	0	3	618	11	1	1	54	55	3	8	3	1	112	1	22035	25	1	2	2	4	2	34	6409	34	4	14	3	2	3	5053	1
FT00065	3	515	21	1	17254	0	0	0	0	0	0	0	0	0	853	11	1	0	66	52	2	7	1	0	54	0	8575	16	2	1	0	2	2	23	4087	10	5	9	7	0	0	1441	0
FT00066	13	1270	10	2	43447	0	1	1	1	0	0	0	2	1	400	22	0	0	23	48	3	25	2	0	54	1	19760	25	1	1	1	4	5	37	5845	25	10	12	1	4	5	1381	0
FT00068	3	1645	8	3	46259	1	1	1	1	0	0	0	4	2	311	9	3	0	32	60	4	58	0	1	120	0	22445	26	4	2	0	3	3	55	8309	36	69	15	4	1	3	15044	0
FT00069A	3	721	7	1	29985	0	0	0	0	0	0	0	0	2	350	2	0	0	50	35	0	10	0	0	89	0	12087	37	0	0	0	3	3	20	4873	10	7	7	2	2	4	5936	0
FT00069B	12	1180	15	1	67305	0	0	0	0	0	0	0	1	2	1045	11	0	1	81	76	4	19	0	1	125	3	29359	30	3	5	2	2	3	53	6586	33	61	11	7	1	5	8650	0
FT00070A	3	366	12	0	18134	0	0	0	1	1	0	0	0	1	498	5	0	0	80	40	3	5	1	1	54	0	13288	37	2	2	0	0	2	17	8366	16	1	10	3	0	2	3944	0
FT00070B	2	495	25	1	29665	0	0	0	0	0	0	0	2	1	629	8	1	0	44	54	3	11	1	0	36	2	19626	14	1	1	0	1	0	25	12035	15	3	16	4	0	4	231	0
FT00071A	3	723	20	0	51782	0	0	0	0	0	0	0	4	1	601	8	0	0	48	54	2	14	1	0	162	1	20855	19	0	2	4	16	3	30	4247	31	8	15	9	0	3	3825	1
FT00071B	10	1108	36	1	73088	1	0	1	1	0	0	0	4	1	1180	11	1	0	55	85	4	21	1	3	52	1	30192	26	2	1	0	12	4	46	12271	35	22	27	3	1	4	1100	3
FT00072	6	542	12	2	31871	3	2	0	0	0	0	0	0	2	645	9	0	0	62	43	1	9	2	0	29	0	24215	14	4	0	0	1	2	32	12455	25	7	9	7	0	5	2584	0
FT00073	2	608	6	1	41887	0	0	0	0	0	0	0	1	1	144	2	0	0	12	41	0	4	1	1	27	0	13212	7	0	0	0	0	2	17	3005	26	1	8	4	0	3	1530	0
FT00074	1	531	24	1	33925	0	0	0	0	0	0	0	0	1	769	10	0	0	39	34	0	4	0	1	535	0	12254	38	1	1	0	1	2	14	12369	7	3	6	1	0	2	2756	2
FT00075	1	657	16	3	40203	0	1	0	0	0	0	0	0	1	820	5	0	2	83	49	1	2	0	0	32	0	13454	13	1	0	2	6	2	24	6827	20	8	15	5	1	3	3187	0
FT00076	5	610	9	2	40270	0	1	0	0	0	0	0	0	1	421	13	1	0	58	52	3	9	0	0	111	1	16268	14	2	0	1	3	3	27	5728	36	8	13	5	0	3	2091	1
FT00077	16	1034	14	2	85270	1	0	0	0	0	0	0	1	4	395	20	2	0	54	68	2	29	2	2	246	4	28033	50	6	2	5	4	4	75	7081	41	14	13	0	2	13	5614	2
FT00078	2	510	23	0	45892	0	0	0	0	0	0	0	1	0	848	8	0	0	63	44	0	7	1	0	24	0	15658	36	2	0	0	2	1	19	11516	15	3	13	2	0	3	5176	2
FT00079	5	668	13	1	50201	0	1	0	0	0	0	0	6	1	613	9	1	0	62	49	2	9	1	1	88	2	24905	56	2	3	0	2	3	28	9794	20	21	11	6	2	6	7543	0
FT00081	3	658	16	3	53279	1	0	0	0	0	0	0	1	3	530	7	1	0	64	70	1	20	1	0	122	2	17920	22	1	1	0	5	3	33	8965	19	29	15	9	1	1	2395	2
FT00082	3	543	32	1	37175	0	2	0	0	0	0	0	1	1	989	8	1	0	60	37	0	5	2	1	128	1	16305	17	1	1	0	1	0	23	10973	24	20	8	5	2	6	4176	1
FT00083	4	664	24	0	21700	2	0	0	0	0	0	0	1	2	889	5	0	0	73	53	0	5	0	1	80	0	8851	10	0	0	0	2	0	20	24987	12	8	10	7	0	1	1370	1
FT00084	4	2094	8	1	25829	1	0	0	0	0	0	0	0	0	402	7	0	1	47	41	0	13	0	1	41	1	10713	4	0	2	0	14	4	17	12296	18	4	5	3	0	4	3069	0
FT00085	6	524	15	0	24772	0	0	0	0	0	0	0	0	3	409	7	1	0	46	41	0	7	0	0	56	1	18015	4	3	0	1	2	1	22	9048	14	35	15	7	0	5	2173	0
FT00086	1	358	20	0	29666	0	0	0	0	0	0	0	1	0	590	3	0	0	55	51	2	6	1	1	24	0	10422	2	0	0	0	2	0	13	2492	9	3	1	4	1	1	1940	0
FT00087	3	559	15	2	26752	1	0	0	0	0	0	0	0	1	406	5	0	1	50	84	0	7	2	1	197	0	10080	28	1	2	1	0	2	28	4886	17	7	9	23	0	2	1518	0
FT00088	2	526	12	0	20881	0	0	0	0	0	0	0	1	3	389	6	0	0	43	32	0	4	0	0	15	0	8217	13	0	1	3	1	0	12	2252	6	3	6	5	0	5	4309	0
FT00089	4	1969	13	2	32471	1	0	0	0	0	0	0	1	3	478	4	2	0	64	65	3	8	2	1	23	2	14658	22	2	2	0	2	0	25	8923	20	11	7	6	1	3	868	0
FT00090	7	967	17	0	30672	0	0	0	0	0	0	0	0	0	599	6	0	0	81	67	1	12	0	0	48	0	16687	56	0	0	1	0	0	24	9559	26	32	8	8	1	3	2263	1
FT00091	2	373	18	2	22925	0	0	0	0	0	0	0	1	0	614	4	0	0	45	33	1	4	1	0	41	0	8654	9	1	1	0	0	0	17	7366	18	4	9	5	1	1	1333	0
FT00092	31	2126	18	8	87965	2	1	0	0	0	0	0	9	7	343	52	2	0	37	125	5	76	2	4	248	7	55266	38	7	6	5	40	8	127	8232	63	88	50	5	2	16	5953	2
FT00093	3	192	14	0	10377	0	0	0	0	0	0	0	0	0	440	0	0	0	44	39	0	1	0	0	61	1	7140	4	0	0	0	1	0	13	4708	8	1	9	4	0	0	2008	0
FT00094	3	298	15	0	23442	0	0	0	0	0	0	0	0	3	493	5	1	0	33	33	0	4	3	0	294	1	6992	36	1	4	1	0	0	14	3544	10	10	5	6	0	3	1414	0
FT00095	1	370	13	0	16147	0	0	0	0	0	0	0	0	2	656	5	0	0	34	35	1	6	0	1	127	1	8581	7	0	0	2	18	1	18	3671	17	3	13	3	0	2	550	1
FT00096	2	439	25	1	29411	0	1	0	1	0	0	0	1	2	876	5	0	0	78	33	1	8	0	0	39	2	13045	67	1	1	2	2	0	21	5046	16	7	11	3	1	7	12783	0
FT00097	12	1772	25	7	68194	0	0	1	0	0	0	0	0	6	750	17	2	0	100	101	3	40	1	0	153	4	32040	36	7	2	6	4	4	69	5278	37	41	35	4	0	12	2577	0
FT00098	2	360	7	0	25790	0	1	0	0	0	0	0	0	3	256	7	1	0	42	33	0	5	2	0	14	0	12105	23	0	0	1	8	1	29	5316	13	3	18	2	0	2	498	0
FT00099	10	761	12	1	61241	1	0	0	0	1	0	0	0	1	455	10	0	0	52	58	1	11	1	0	97	0	17438	14	0	0	2	11	3	35	8538	14	8	16	12	0	3	1505	0
FT00100	0	510	9	1	21437	1	1	0	1	0	0	0	0	0	281	5	0	1	28	30	3	4	0	0	142	0	11382	13	0	1	2	1	1	15	5415	15	5	14	0	0	5	559	0
FT00101	5	858	17	1	58256	0	1	0	2	0	0	0	3	3	627	13	0	0	67	66	3	10	2	1	54	0	22755	11	5	0	1	1	8	30	11162	37	7	22	6	0	9	2774	0
FT00102	5	357	8	1	36902	0	0	0	0	0	0	0	1	1	338	4	0	0	27	45	0	4	0	0	30	0	10310	11	0	0	0	2	0	21	8513	22	2	11	7	0	5	679	0
